Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Svetlana Abrosimova,SEA,F,19,329,19,329,6.9,.401,.388,.367,.245,4.5,10.4,17.6,3.3,0.8,26.9,21.7,71,93,,-1.2,0.8,-0.4,-0.054
Jessica Adair,MIN,C,19,168,19,168,6.4,.439,.351,.000,.946,8.2,14.0,4.9,0.9,2.0,21.1,17.3,86,98,,-0.1,0.3,0.1,.029
Danielle Adams,SAS,F-C,34,686,34,686,22.0,.547,.500,.350,.338,10.4,13.7,8.9,1.8,2.8,10.3,27.1,110,100,,2.5,0.9,3.3,.195
Matee Ajavon,WAS,G,33,712,33,712,9.7,.423,.356,.376,.296,3.4,5.3,17.7,4.0,0.7,17.3,24.2,85,104,,-0.9,0.5,-0.4,-0.023
Nicky Anosike,LAS,F-C,10,57,10,57,6.5,.470,.250,.000,.750,0.0,12.0,11.8,2.7,2.8,36.1,12.6,77,94,,-0.1,0.1,0.0,.029
Jayne Appel-Marinelli,SAS,C,33,625,33,625,14.1,.593,.553,.012,.341,11.6,20.2,9.3,1.5,3.9,28.5,9.9,109,96,,0.9,1.2,2.1,.136
Seimone Augustus*,MIN,G-F,29,826,29,826,21.6,.576,.549,.263,.156,2.4,7.5,15.4,1.7,0.6,10.7,24.9,115,100,,3.3,1.0,4.3,.209
Mistie Bass,CON,F,32,598,32,598,19.2,.574,.529,.005,.428,11.3,13.9,9.7,2.1,1.7,15.3,19.3,111,97,,1.8,1.0,2.8,.184
Alana Beard,LAS,G-F,33,1017,33,1017,13.6,.535,.492,.277,.264,1.2,4.0,16.7,3.3,1.0,19.1,18.4,101,100,,1.3,1.3,2.6,.104
Tully Bevilaqua,SAS,G,28,157,28,157,1.5,.233,.208,.667,.167,0.7,2.6,9.5,2.3,0.5,41.1,6.3,55,105,,-0.3,0.1,-0.2,-0.061
Sue Bird,SEA,G,29,898,29,898,17.6,.572,.550,.476,.159,0.9,5.7,35.3,1.6,0.3,17.3,20.1,108,100,,2.3,1.2,3.5,.156
Chante Black,TUL,C,29,366,29,366,12.4,.547,.500,.000,.457,7.8,12.8,4.7,2.1,4.3,22.2,13.1,98,105,,0.2,0.2,0.4,.044
Shannon Bobbitt,WAS,G,28,418,28,418,7.4,.407,.381,.455,.205,3.2,5.0,29.9,1.8,0.4,26.7,14.4,85,109,,-0.4,0.0,-0.4,-0.039
DeWanna Bonner,PHO,F-G,32,1120,32,1120,21.0,.487,.409,.316,.371,5.3,11.2,13.1,2.4,1.9,10.0,28.3,104,106,,2.8,0.4,3.2,.114
Kara Braxton,NYL,C-F,34,535,34,535,14.4,.486,.483,.024,.189,13.6,16.9,12.9,1.7,3.2,24.4,25.4,85,99,,-0.7,0.7,0.0,-0.002
Rebekkah Brunson,MIN,F,31,837,31,837,21.7,.546,.505,.000,.410,16.2,19.5,7.0,2.3,2.9,11.0,19.0,117,94,,3.1,1.9,4.9,.236
Kelley Cain,NYL,C,20,136,20,136,6.8,.504,.444,.000,.611,9.6,13.0,2.3,0.8,2.4,30.5,10.8,85,103,,-0.1,0.1,0.0,.005
Dominique Canty,WAS,G,6,72,6,72,-0.6,.310,.261,.130,.435,5.1,7.0,14.8,1.5,0.0,22.6,22.6,63,109,,-0.4,0.0,-0.4,-0.208
Essence Carson,NYL,G,34,927,34,927,14.4,.470,.446,.266,.137,3.7,7.5,11.6,2.1,2.2,12.3,23.1,95,103,,0.4,0.8,1.2,.053
Sydney Carter,CHI,G,1,9,1,9,3.8,.333,.333,.333,.000,0.0,0.0,0.0,5.9,0.0,14.3,35.0,62,96,,-0.1,0.0,0.0,-0.211
Swin Cash*,CHI,F,34,1021,34,1021,11.7,.465,.414,.332,.286,6.7,12.1,13.7,1.8,1.5,19.6,21.2,91,99,,-0.1,1.5,1.4,.054
Iziane Castro Marques,WAS,F-G,11,132,11,132,1.8,.303,.274,.113,.132,3.7,5.7,11.2,1.2,0.0,12.5,22.3,68,110,,-0.5,0.0,-0.6,-0.168
Tamika Catchings*,IND,F,34,1036,34,1036,27.3,.552,.486,.285,.350,7.1,15.1,21.3,3.6,2.4,9.9,26.3,116,91,,5.0,2.8,7.8,.301
Tina Charles,CON,C,33,1096,33,1096,23.3,.538,.500,.010,.232,12.9,18.3,10.3,0.8,3.4,11.8,25.1,109,97,,3.5,1.9,5.5,.200
Shameka Christon,SAS,G,34,695,34,695,14.4,.519,.474,.681,.276,2.9,5.7,9.9,1.4,1.9,7.1,18.3,110,104,,1.7,0.4,2.1,.119
Alysha Clark,SEA,F,23,238,23,238,12.0,.653,.632,.377,.321,7.4,12.1,5.7,1.1,0.4,23.9,16.0,102,98,,0.3,0.4,0.7,.112
Marissa Coleman,LAS,G-F,34,548,34,548,8.2,.425,.379,.474,.172,5.2,9.0,9.3,1.9,1.1,16.1,11.7,95,100,,0.2,0.7,0.8,.059
Monique Currie,WAS,F,34,820,34,820,17.2,.520,.439,.251,.514,4.2,9.4,14.7,2.3,0.7,13.1,25.2,103,105,,1.7,0.4,2.1,.104
Jessica Davenport,IND,C,34,514,34,514,17.0,.533,.472,.017,.453,8.1,13.5,8.3,2.4,4.3,19.2,23.8,97,94,,0.4,1.2,1.6,.124
Erika de Souza,ATL,F-C,15,449,15,449,18.5,.540,.523,.000,.152,12.5,16.1,9.7,2.3,4.1,16.1,18.6,103,92,,0.7,1.1,1.8,.163
Scholanda Dorrell,TUL,G,26,385,26,385,7.1,.436,.398,.442,.265,3.7,5.1,5.8,3.3,0.7,16.5,17.4,83,108,,-0.4,0.0,-0.4,-0.042
Katie Douglas,IND,G-F,32,990,32,990,20.5,.543,.503,.425,.216,4.0,7.4,14.5,2.6,0.9,9.8,25.1,110,98,,3.3,1.5,4.8,.194
Victoria Dunlap,SEA,F,5,28,5,28,15.6,.451,.300,.100,1.000,33.7,24.1,6.7,0.0,0.0,17.2,29.8,98,100,,0.0,0.0,0.1,.103
Candice Dupree,PHO,F,13,345,13,345,17.0,.527,.483,.007,.252,5.0,9.8,10.6,1.2,1.6,14.2,23.3,101,110,,0.5,-0.1,0.5,.053
Dawn Evans,LAS,G,3,15,3,15,-1.3,.200,.200,.800,.000,0.0,0.0,28.2,3.4,0.0,28.6,20.1,54,103,,-0.1,0.0,-0.1,-0.212
Sylvia Fowles,CHI,C,25,778,25,778,27.5,.667,.638,.000,.541,15.1,21.0,5.5,2.2,3.4,14.8,20.7,123,94,,3.8,1.7,5.5,.285
Briana Gilbreath-Butler,PHO,G,11,258,11,258,10.4,.485,.437,.521,.268,5.8,8.5,8.0,1.0,1.5,15.0,15.3,100,111,,0.2,-0.1,0.1,.014
Sasha Goodlett,IND,C,26,197,26,197,16.9,.483,.446,.000,.270,10.9,12.6,6.0,2.2,3.0,9.8,21.4,102,97,,0.3,0.4,0.7,.134
Alexis Gray-Lawson,PHO,G,19,318,19,318,5.5,.375,.324,.373,.255,4.7,6.5,12.5,1.1,0.7,13.7,17.5,84,112,,-0.3,-0.2,-0.6,-0.070
Kalana Greene,CON,G,34,605,34,605,12.3,.506,.459,.182,.380,3.4,6.1,14.6,3.3,0.9,16.0,12.2,104,98,,0.7,1.0,1.7,.112
Kelsey Griffin,CON,F,31,375,31,375,9.7,.417,.359,.152,.343,8.9,14.0,6.2,2.5,2.1,19.2,16.5,85,95,,-0.4,0.7,0.4,.042
