Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Natalie Achonwa,IND,F,34,883,34,883,18.7,.580,.527,.000,.365,10.6,15.4,9.4,1.7,2.2,11.2,17.5,117,107,,2.3,0.9,3.2,.145
Kayla Alexander,IND,C,30,257,30,257,11.8,.584,.541,.000,.279,8.9,14.7,3.3,0.8,3.3,21.7,15.5,100,108,,0.1,0.2,0.3,.048
Lindsay Allen,LVA,G,24,358,24,358,9.8,.443,.390,.219,.329,0.9,4.7,27.5,2.1,0.0,20.1,12.5,96,110,,0.0,0.2,0.2,.020
Rebecca Allen,NYL,F-G,28,291,28,291,9.9,.478,.426,.376,.248,5.1,9.6,4.6,1.6,3.3,12.5,19.9,92,108,,-0.2,0.3,0.1,.011
Ariel Atkins,WAS,G,29,652,29,652,17.8,.544,.513,.453,.183,5.1,6.3,15.9,3.1,1.3,11.5,23.9,108,106,,1.3,0.7,2.0,.123
Seimone Augustus*,MIN,G-F,33,864,33,864,12.6,.512,.499,.198,.102,0.7,4.2,17.0,0.8,0.8,10.3,20.4,102,107,,0.6,0.9,1.5,.069
Rachel Banham,CON,G,33,424,33,424,14.0,.578,.526,.609,.286,1.6,4.0,15.9,1.8,0.6,10.7,17.1,121,106,,1.3,0.5,1.7,.163
Alana Beard,LAS,G-F,30,766,30,766,8.7,.435,.400,.038,.162,5.6,7.7,9.5,3.0,0.7,12.6,9.9,99,102,,0.1,1.4,1.5,.079
Hind Ben Abdelkader,IND,G,14,142,14,142,-0.6,.312,.256,.674,.186,0.8,5.7,11.8,1.5,0.6,21.8,19.1,61,112,,-0.7,0.1,-0.7,-0.188
Monique Billings,ATL,F,32,353,32,353,12.4,.495,.441,.000,.344,11.5,13.8,5.4,2.0,0.2,11.6,14.9,106,101,,0.4,0.7,1.0,.117
Sue Bird,SEA,G,31,824,31,824,19.1,.604,.587,.543,.117,0.7,3.8,40.7,2.2,0.2,18.5,17.5,121,105,,2.9,1.1,3.9,.192
Kelsey Bone,LVA,C,32,344,32,344,6.7,.506,.500,.000,.225,6.2,11.3,16.7,0.4,0.5,25.4,14.7,91,111,,-0.3,0.2,-0.1,-0.010
DeWanna Bonner,PHO,F-G,34,1120,34,1120,20.5,.566,.512,.383,.293,5.3,13.1,17.2,2.0,1.0,9.6,23.6,114,105,,3.2,1.5,4.7,.169
Brittany Boyd,NYL,G,30,613,30,613,13.4,.497,.444,.160,.314,1.9,11.1,42.1,3.1,0.4,29.6,20.2,92,104,,-0.5,0.9,0.4,.025
Imani McGee-Stafford,ATL,C,29,305,29,305,12.3,.459,.453,.000,.174,14.0,18.0,9.5,2.1,2.9,19.9,16.5,93,97,,-0.2,0.8,0.6,.078
Jessica Breland,ATL,F,34,899,34,899,14.5,.454,.428,.000,.152,7.1,16.6,12.4,2.2,5.7,15.6,17.7,92,94,,-0.6,2.7,2.1,.094
Lexie Brown,CON,G,22,124,22,124,5.6,.393,.375,.659,.159,0.9,8.0,13.0,2.4,0.7,17.5,19.9,81,103,,-0.3,0.2,-0.1,-0.024
Rebekkah Brunson,MIN,F,25,691,25,691,11.7,.498,.462,.304,.310,6.4,14.7,13.0,1.5,1.6,17.1,14.2,101,101,,0.3,1.3,1.6,.093
Liz Cambage,DAL,C,32,945,32,945,30.7,.643,.602,.078,.485,9.3,19.0,16.5,0.8,4.5,13.4,30.1,121,104,,4.8,1.4,6.2,.260
Jordin Canada,SEA,G,33,543,33,543,11.1,.446,.385,.302,.357,2.0,5.2,29.3,2.8,0.1,21.0,22.2,92,103,,-0.5,0.9,0.4,.029
Essence Carson,LAS,G,34,786,34,786,11.9,.535,.519,.466,.069,1.5,6.9,6.3,2.0,1.3,8.1,15.7,103,103,,0.5,1.3,1.8,.091
Tina Charles,NYL,C,33,1088,33,1088,18.4,.534,.501,.171,.219,6.6,12.3,16.9,1.1,1.6,13.2,29.2,101,109,,0.9,0.9,1.7,.064
Saniya Chong,DAL,G,5,43,5,43,6.3,.273,.167,.167,.500,2.7,5.4,15.7,3.5,0.0,12.0,8.3,87,107,,0.0,0.0,0.0,.013
Karima Christmas-Kelly,DAL,F-G,6,167,6,167,13.5,.650,.517,.310,1.103,7.7,11.5,7.9,0.6,0.9,18.8,13.6,123,111,,0.5,0.1,0.5,.128
Alysha Clark,SEA,F,31,813,31,813,11.7,.599,.564,.428,.225,4.6,7.7,10.3,2.0,0.4,15.9,12.6,114,104,,1.3,1.2,2.5,.123
Natasha Cloud,WAS,G,27,715,27,715,13.5,.535,.515,.407,.132,1.0,7.2,27.4,1.5,0.5,17.2,16.8,108,109,,1.0,0.5,1.6,.087
Alaina Coates,CHI,C,32,364,32,364,12.7,.595,.568,.000,.541,13.1,16.4,5.5,0.8,1.5,15.7,13.3,116,112,,0.7,0.1,0.8,.090
Nia Coffey,LVA,F,28,386,28,386,6.2,.443,.387,.036,.496,6.1,9.5,6.8,1.2,1.3,18.5,22.8,82,109,,-1.0,0.3,-0.7,-0.073
Marissa Coleman,NYL,G-F,21,384,21,384,7.3,.417,.400,.374,.052,3.9,7.6,9.1,1.3,1.1,10.0,15.4,88,111,,-0.4,0.2,-0.2,-0.018
Sydney Colson,MIN,G,2,17,2,17,6.3,.444,.429,.286,.286,7.1,7.1,40.4,0.0,5.0,33.7,31.7,76,105,,-0.1,0.0,-0.1,-0.167
Kahleah Copper,CHI,G-F,33,524,33,524,10.8,.514,.456,.314,.275,4.0,8.1,6.3,1.0,0.9,12.3,22.2,98,115,,0.0,-0.1,0.0,-0.001
Monique Currie,WAS,F,32,508,32,508,11.3,.522,.445,.337,.413,4.2,11.3,8.5,1.3,1.0,15.8,21.8,99,107,,0.2,0.5,0.7,.052
Damiris Dantas,ATL,F,19,255,19,255,12.2,.486,.459,.216,.186,7.3,9.8,10.8,1.6,0.0,8.7,19.6,103,103,,0.2,0.4,0.6,.094
Kaela Davis,DAL,F,27,453,27,453,4.4,.419,.382,.285,.271,3.4,7.1,12.5,1.0,0.2,17.8,18.6,85,112,,-0.8,0.2,-0.6,-0.053
Elena Delle Donne,WAS,F-G,29,933,29,933,27.3,.592,.542,.268,.275,5.5,13.5,13.6,1.5,3.6,5.1,26.2,124,104,,4.6,1.3,5.9,.253
