Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Svetlana Abrosimova,MIN,F,31,777,31,777,14.4,.493,.455,.297,.264,5.0,9.1,17.4,3.6,0.6,20.6,24.9,89,96,,-0.1,1.2,1.1,.056
Mactabene Amachree,WAS,F,3,3,3,3,26.0,.532,.000,.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,32.7,127,110,,0.0,0.0,0.0,.320
Chantelle Anderson,SAS,C,34,669,34,669,8.3,.512,.466,.000,.258,5.9,9.1,3.8,0.7,1.8,21.7,19.4,86,106,,-0.3,-0.1,-0.4,-0.024
Janeth Arcain,HOU,G,34,1079,34,1079,13.9,.495,.426,.053,.309,2.6,6.2,9.7,3.0,0.5,14.0,19.3,97,99,,1.2,1.1,2.3,.086
Elena Baranova,NYL,F,33,953,33,953,18.4,.553,.511,.360,.233,6.1,16.5,12.7,1.6,4.1,18.5,18.1,103,95,,1.8,1.5,3.3,.138
Suzy Batkovic-Brown,SEA,C,29,461,29,461,17.7,.499,.443,.040,.333,7.6,13.1,11.3,2.1,4.1,13.8,23.8,100,95,,0.9,0.8,1.7,.144
Jacqueline Batteast,MIN,F,8,46,8,46,-5.6,.000,.000,.000,.000,0.0,7.2,11.2,0.0,1.8,33.3,9.8,18,102,,-0.3,0.0,-0.2,-0.203
Ashley Battle,SEA,F,2,8,2,8,2.7,.500,.500,.000,.000,0.0,16.1,0.0,0.0,0.0,33.3,17.7,63,97,,0.0,0.0,0.0,-0.090
Alana Beard,WAS,G-F,30,1015,30,1015,17.1,.465,.419,.248,.257,3.3,9.0,19.2,2.6,0.9,12.2,26.6,94,99,,1.0,1.0,2.0,.080
Jenni Benningfield,IND,F,10,52,10,52,7.6,.461,.375,.250,.500,7.6,8.0,15.1,1.2,1.9,29.1,13.6,86,99,,0.0,0.1,0.0,.023
Tully Bevilaqua,IND,G,31,873,31,873,12.7,.535,.525,.716,.272,1.8,5.0,18.6,4.2,0.0,21.9,13.7,98,94,,0.8,1.6,2.4,.110
Sue Bird,SEA,G,30,1020,30,1020,17.6,.561,.519,.350,.235,2.8,4.5,32.2,1.6,0.5,21.1,19.1,108,103,,3.0,0.4,3.4,.133
Kara Braxton,DET,C-F,33,455,33,455,16.1,.480,.462,.005,.286,11.0,13.6,8.0,2.2,2.7,18.0,29.5,88,92,,-0.2,1.0,0.8,.070
Coretta Brown,IND,G,6,23,6,23,11.1,.600,.600,1.000,.000,0.0,6.0,27.2,2.6,0.0,37.5,17.9,85,96,,0.0,0.0,0.0,.035
Jessica Brungo,CON,F,12,48,12,48,-4.5,.111,.111,.444,.000,2.7,7.8,6.4,0.0,0.0,18.2,11.2,37,101,,-0.2,0.0,-0.2,-0.152
