Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Natalie Achonwa,IND,F,18,364,18,364,14.2,.542,.496,.087,.278,8.6,16.4,14.7,1.3,2.4,20.4,19.7,100,111,,0.2,0.1,0.3,.032
Jaylyn Agnew,ATL,F,12,71,12,71,0.1,.436,.367,.867,.333,0.0,4.1,5.9,0.0,0.0,22.5,13.7,76,115,,-0.1,0.0,-0.2,-0.093
Bella Alarie,DAL,C-F,22,309,22,309,10.1,.414,.371,.197,.182,8.2,11.9,5.5,2.3,4.8,13.4,11.9,94,107,,-0.1,0.3,0.2,.023
Kayla Alexander,MIN,C,16,89,16,89,13.7,.552,.533,.000,.267,12.4,10.3,5.8,1.2,3.2,15.2,19.9,106,108,,0.1,0.1,0.2,.085
Julie Allemand,IND,G,22,716,22,716,13.1,.639,.619,.687,.224,1.3,8.4,27.5,1.8,1.0,27.9,12.6,110,113,,1.0,-0.1,1.0,.055
Lindsay Allen,LVA,G,21,284,21,284,10.5,.497,.470,.258,.152,2.6,4.6,25.0,1.2,0.3,18.5,13.4,104,104,,0.3,0.4,0.6,.088
Kristine Anigwe,LAS,F-C,17,197,17,197,15.4,.605,.604,.000,.491,11.3,14.1,3.2,2.8,3.3,19.9,18.7,104,97,,0.2,0.5,0.7,.134
Ariel Atkins,WAS,G,22,682,22,682,17.0,.578,.526,.426,.279,3.1,5.7,13.6,3.1,0.5,13.0,22.0,108,106,,1.3,0.7,2.0,.118
Seimone Augustus*,LAS,G-F,21,332,21,332,14.1,.550,.545,.200,.055,1.1,6.9,11.9,1.8,0.6,6.6,16.7,109,103,,0.5,0.5,1.0,.120
Rachel Banham,MIN,G,20,339,20,339,14.2,.607,.582,.510,.192,0.7,4.5,22.2,1.4,0.6,15.1,17.6,118,109,,1.0,0.2,1.1,.135
Monique Billings,ATL,F,22,596,22,596,13.0,.469,.400,.000,.394,11.0,18.2,6.8,2.0,2.6,17.4,17.7,95,105,,-0.1,0.7,0.6,.042
Sue Bird,SEA,G,11,257,11,257,18.7,.637,.633,.590,.048,0.5,4.3,34.8,1.4,0.7,17.5,17.9,120,102,,0.9,0.4,1.3,.196
DeWanna Bonner,CON,F-G,22,732,22,732,21.5,.535,.460,.305,.353,5.2,13.8,16.6,2.6,1.5,11.4,27.4,108,99,,1.7,1.5,3.2,.175
Brittany Brewer,ATL,F,5,33,5,33,11.4,.667,.667,.000,.000,3.4,8.8,0.0,4.5,10.4,40.0,6.6,80,96,,0.0,0.1,0.1,.065
Kalani Brown,ATL,C,10,61,10,61,11.7,.547,.522,.000,.435,5.6,11.4,0.0,0.8,1.4,15.4,23.2,96,110,,0.0,0.0,0.0,.015
Lexie Brown,MIN,G,17,374,17,374,10.3,.448,.405,.468,.216,1.0,5.4,16.5,4.3,0.0,16.5,17.4,93,103,,-0.1,0.6,0.4,.046
Cierra Burdick,LVA,F,13,28,13,28,1.4,.286,.286,.000,.000,4.3,10.2,9.6,0.0,0.0,12.5,12.5,71,104,,-0.1,0.0,0.0,-0.044
Kennedy Burke,IND,G-F,22,403,22,403,13.0,.546,.508,.378,.331,5.7,5.8,10.4,1.8,1.6,15.7,19.0,103,115,,0.4,-0.2,0.2,.021
Jordin Canada,SEA,G,20,483,20,483,14.8,.500,.428,.083,.432,2.5,5.5,33.2,3.1,0.0,20.3,18.3,105,99,,0.6,1.0,1.7,.138
Emma Cannon,LVA,F,1,0,1,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,
Bridget Carleton,MIN,F,22,568,22,568,11.9,.634,.623,.451,.275,4.7,8.5,14.2,1.4,0.0,19.1,11.1,119,108,,1.2,0.4,1.5,.108
Chennedy Carter,ATL,G,16,406,16,406,19.7,.550,.500,.143,.299,2.2,5.1,26.3,1.7,1.1,14.5,31.9,104,111,,0.7,0.1,0.9,.086
Kaila Charles,CON,G-F,21,376,21,376,10.6,.511,.469,.309,.320,6.9,8.4,8.0,2.2,1.7,14.7,15.1,102,103,,0.2,0.6,0.8,.085
Karima Christmas-Kelly,MIN,F-G,2,25,2,25,10.1,.428,.143,.429,1.143,4.9,14.7,5.5,6.2,3.8,27.5,26.0,76,92,,-0.1,0.1,0.0,-0.030
Layshia Clarendon,NYL,G,19,496,19,496,12.3,.584,.513,.277,.396,1.3,5.3,32.1,1.8,0.0,25.5,22.3,97,108,,0.1,0.3,0.4,.031
Alysha Clark,SEA,F,22,633,22,633,18.2,.693,.677,.456,.170,3.7,8.6,14.0,2.6,1.5,10.7,12.5,133,97,,2.2,1.5,3.6,.229
Alaina Coates,WAS,C,20,197,20,197,11.6,.550,.529,.000,.765,11.9,17.1,7.1,1.9,1.9,20.9,13.5,105,104,,0.2,0.3,0.5,.093
Nia Coffey,PHO,F,15,230,15,230,5.9,.492,.513,.553,.158,2.6,9.3,7.7,1.1,1.8,14.7,9.2,96,106,,0.0,0.2,0.2,.039
Napheesa Collier,MIN,F,22,752,22,752,22.6,.605,.562,.188,.292,9.9,16.2,16.6,2.8,3.5,17.0,21.1,116,100,,2.4,1.4,3.8,.201
Sydney Colson,CHI,G,17,110,17,110,7.0,.588,.523,.409,.364,1.2,3.9,17.0,2.7,0.0,35.4,16.0,89,106,,-0.1,0.1,0.0,.003
Te'a Cooper,LAS,G,20,345,20,345,10.9,.543,.500,.283,.301,0.7,3.6,17.9,1.9,0.0,18.5,20.9,98,104,,0.1,0.4,0.5,.059
Kahleah Copper,CHI,G-F,22,688,22,688,14.5,.562,.536,.229,.214,3.9,10.6,10.6,1.5,0.6,15.6,22.4,101,106,,0.6,0.7,1.3,.076
Lauren Cox,IND,F,14,183,14,183,12.3,.504,.453,.140,.349,6.6,15.1,16.3,1.7,1.7,18.2,14.7,103,111,,0.1,0.1,0.2,.041
Sophie Cunningham,PHO,G,21,396,21,396,6.2,.510,.451,.560,.275,2.7,3.2,6.1,1.4,0.6,12.8,13.2,99,110,,0.1,0.2,0.3,.027
Crystal Dangerfield,MIN,G,21,629,21,629,17.2,.586,.536,.388,.243,1.0,4.0,21.0,1.5,0.1,15.6,24.6,110,110,,1.6,0.3,1.9,.121
Damiris Dantas,MIN,F,22,586,22,586,19.3,.579,.552,.409,.250,7.7,14.0,16.8,2.2,0.8,14.1,21.7,114,104,,1.7,0.8,2.5,.169
Kaela Davis,ATL,F,2,2,2,2,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,118,,0.0,0.0,0.0,-0.029
Diamond DeShields,CHI,G,13,224,13,224,7.0,.489,.452,.217,.217,1.7,6.2,13.2,2.7,0.4,24.8,24.1,81,105,,-0.6,0.3,-0.3,-0.059
