Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Jessica Adair,MIN,C,31,321,31,321,16.9,.530,.485,.000,.476,16.2,16.8,4.9,1.3,5.0,17.8,21.1,103,95,,0.6,0.6,1.2,.154
Danielle Adams,SAS,F-C,23,480,23,480,20.2,.547,.507,.435,.309,8.4,12.0,5.4,1.3,2.5,9.4,27.7,104,98,,1.2,0.8,1.9,.159
Matee Ajavon,WAS,G,34,1065,34,1065,14.6,.494,.433,.301,.315,3.3,4.7,20.7,2.9,0.7,17.2,26.1,97,107,,1.0,0.2,1.2,.047
Nicky Anosike,WAS,F-C,34,924,34,924,13.4,.444,.347,.005,.560,10.6,16.5,9.1,2.9,2.4,18.0,16.1,94,101,,0.2,1.1,1.2,.054
Jayne Appel-Marinelli,SAS,C,31,452,31,452,12.8,.495,.478,.034,.281,10.2,18.5,9.0,1.9,3.6,18.7,12.6,99,92,,0.3,1.1,1.4,.128
Seimone Augustus*,MIN,G-F,34,997,34,997,21.7,.562,.532,.131,.162,2.3,7.2,13.5,1.6,1.3,8.4,24.0,115,99,,3.9,1.4,5.4,.215
Miranda Ayim,TUL,F,3,42,3,42,5.0,.405,.444,.000,.222,11.5,10.6,9.1,2.5,1.9,28.8,15.1,72,107,,-0.1,0.0,-0.1,-0.094
Alison Bales,ATL,C,34,687,34,687,15.0,.538,.507,.118,.222,5.8,13.3,8.9,1.1,5.9,9.2,10.6,116,97,,1.4,1.2,2.6,.151
Tully Bevilaqua,SAS,G,34,494,34,494,10.8,.550,.524,.512,.220,2.3,5.7,17.6,2.5,0.3,21.8,10.7,103,99,,0.5,0.7,1.2,.094
Sue Bird,SEA,G,34,1123,34,1123,19.7,.569,.536,.407,.176,1.7,5.7,29.8,2.3,0.4,15.4,22.3,111,98,,3.6,1.7,5.3,.189
Angie Bjorklund,CHI,F,7,43,7,43,-1.6,.325,.227,.455,.273,0.0,2.8,7.2,1.2,0.0,14.0,15.1,70,104,,-0.1,0.0,-0.1,-0.067
Shannon Bobbitt,IND,G,31,439,31,439,11.3,.476,.430,.383,.261,3.5,5.8,20.8,3.7,0.0,22.4,17.6,92,99,,0.0,0.6,0.6,.058
DeWanna Bonner,PHO,F-G,34,857,34,857,19.7,.566,.493,.366,.355,8.8,16.2,5.0,2.0,3.2,9.5,18.1,117,101,,2.8,1.0,3.8,.178
Rebekkah Brunson,MIN,F,34,938,34,938,18.6,.549,.511,.000,.414,12.3,19.3,6.6,1.6,1.7,13.9,17.5,112,95,,2.5,2.0,4.5,.192
Liz Cambage,TUL,C,33,659,33,659,20.8,.586,.511,.019,.538,9.9,15.0,6.2,2.2,3.6,19.6,27.9,101,104,,1.2,0.4,1.6,.098
Dominique Canty,CHI,G,22,331,22,331,4.5,.361,.323,.064,.300,3.0,5.0,23.3,1.6,0.5,20.4,21.4,76,102,,-0.9,0.3,-0.6,-0.076
Essence Carson,NYL,G,32,725,32,725,18.9,.511,.475,.195,.252,5.1,7.7,13.6,2.8,2.4,11.5,24.9,104,98,,1.6,1.2,2.7,.151
Swin Cash*,SEA,F,34,1128,34,1128,14.8,.513,.442,.323,.357,6.3,13.5,13.8,1.6,1.5,17.6,22.8,98,96,,1.1,2.2,3.3,.118
Iziane Castro Marques,ATL,F-G,34,672,34,672,7.9,.423,.391,.291,.258,2.5,4.9,13.2,1.0,0.5,15.0,22.3,85,105,,-0.8,0.4,-0.4,-0.025
Tamika Catchings*,IND,F,33,1040,33,1040,24.6,.561,.479,.240,.422,7.7,13.9,21.1,3.4,2.4,13.8,23.7,114,94,,4.1,2.3,6.5,.248
Tina Charles,CON,C,34,1136,34,1136,22.3,.498,.468,.006,.247,12.4,18.6,11.0,1.2,4.1,11.1,26.5,102,94,,2.4,2.6,4.9,.173
Joy Cheek,WAS,F,3,16,3,16,-2.3,.338,.250,.250,.250,0.0,11.7,0.0,0.0,5.0,31.1,18.3,51,105,,-0.1,0.0,-0.1,-0.199
Felicia Chester,NYL,F,4,27,4,27,6.4,.258,.333,.000,.667,17.6,18.3,0.0,2.0,0.0,0.0,6.5,95,98,,0.0,0.0,0.0,.068
Marissa Coleman,WAS,G-F,34,918,34,918,11.6,.496,.480,.518,.133,5.9,11.1,9.8,1.4,1.2,15.5,17.2,99,107,,0.7,0.2,1.0,.043
Sydney Colson,NYL,G,16,86,16,86,2.6,.486,.425,.350,.300,0.0,4.3,17.9,2.5,2.0,42.9,20.8,66,99,,-0.4,0.1,-0.3,-0.123
Monique Currie,WAS,F,4,77,4,77,23.2,.559,.443,.229,.457,10.7,13.7,11.7,4.9,0.0,19.2,30.7,103,100,,0.2,0.1,0.3,.155
Jessica Davenport,IND,C,34,717,34,717,21.0,.568,.529,.011,.380,8.9,14.1,4.9,2.0,5.2,14.7,24.4,104,95,,1.6,1.4,3.0,.167
Erika de Souza,ATL,F-C,32,877,32,877,17.7,.515,.499,.003,.160,10.7,15.6,6.0,2.1,3.7,13.4,20.2,101,96,,1.2,1.7,2.9,.132
Scholanda Dorrell,SAS,G,32,518,32,518,7.7,.439,.394,.342,.284,2.0,5.6,3.8,2.3,1.1,9.8,17.2,85,99,,-0.4,0.7,0.3,.023
Katie Douglas,IND,G-F,32,940,32,940,19.5,.574,.557,.420,.196,4.2,8.3,19.0,2.3,0.7,14.4,22.5,109,100,,2.6,1.2,3.8,.164
Victoria Dunlap,WAS,F,26,219,26,219,13.7,.458,.447,.035,.298,9.1,12.2,9.6,4.4,1.8,18.9,16.5,90,100,,-0.1,0.3,0.2,.039
Candice Dupree,PHO,F,34,1075,34,1075,19.7,.601,.550,.017,.319,9.8,15.1,9.6,0.9,1.8,14.0,19.3,116,105,,3.8,0.5,4.3,.161
Shyra Ely-Gash,IND,F,33,355,33,355,6.4,.423,.381,.220,.266,6.8,12.7,4.4,0.9,1.4,17.0,19.3,82,100,,-0.5,0.4,-0.1,-0.007
Marie Ferdinand-Harris,PHO,G,34,593,34,593,7.3,.415,.369,.208,.150,2.9,5.0,10.5,1.6,0.9,13.4,23.4,84,108,,-0.8,0.0,-0.8,-0.054
Sylvia Fowles,CHI,C,34,1175,34,1175,26.4,.637,.591,.000,.452,10.7,17.9,4.0,1.8,4.5,15.3,24.3,115,93,,4.7,2.7,7.4,.252
Kerri Gardin,WAS,F,28,391,28,391,6.3,.300,.237,.136,.492,6.6,11.9,11.5,3.3,2.6,26.6,11.3,68,101,,-0.9,0.4,-0.5,-0.046
Alexis Gray-Lawson,PHO,G,27,308,27,308,10.3,.546,.488,.518,.337,2.0,3.8,17.1,1.0,0.0,18.1,16.4,105,111,,0.5,-0.1,0.4,.050
Kalana Greene,CON,G,33,781,33,781,11.1,.498,.476,.277,.271,3.7,9.1,9.8,2.0,1.2,13.5,12.2,101,97,,0.7,1.3,2.0,.102
Kelsey Griffin,CON,F,34,441,34,441,14.5,.450,.374,.209,.452,11.4,13.3,6.4,2.9,1.8,8.6,15.2,105,95,,0.7,0.9,1.6,.144
Becky Hammon*,SAS,G,33,1050,33,1050,19.7,.586,.534,.483,.278,0.5,5.4,33.9,2.4,0.5,21.0,25.0,103,99,,2.1,1.5,3.7,.140
Lindsey Harding,ATL,G,34,1037,34,1037,13.4,.512,.471,.106,.290,1.9,6.0,23.9,1.6,0.4,18.8,17.3,100,103,,1.2,0.9,2.1,.081
Amber Harris,MIN,F,27,278,27,278,12.0,.460,.398,.000,.373,10.4,12.9,5.9,0.6,3.5,11.9,17.6,101,99,,0.3,0.4,0.8,.109
Allison Hightower,CON,G,25,231,25,231,6.9,.416,.375,.321,.214,1.9,3.9,8.7,2.5,0.3,10.3,13.1,90,100,,0.0,0.3,0.3,.045
Doneeka Lewis,TUL,G,5,101,5,101,4.8,.360,.360,.605,.000,3.6,6.9,27.6,2.1,0.8,23.2,25.3,70,109,,-0.4,0.0,-0.4,-0.178
Roneeka Hodges,SAS,G,28,273,28,273,16.0,.598,.584,.899,.056,1.3,7.6,8.9,0.9,0.6,4.2,16.1,117,101,,0.8,0.3,1.1,.158
Ebony Hoffman,LAS,F,34,752,34,752,13.4,.529,.491,.252,.203,7.3,11.5,8.5,2.6,1.0,17.4,18.2,99,104,,0.7,0.5,1.2,.061
Quanitra Hollingsworth,NYL,C,31,524,31,524,11.2,.570,.524,.000,.515,12.3,16.2,3.0,1.6,1.7,25.8,14.7,98,98,,0.4,0.9,1.2,.093
Amber Holt,TUL,F,26,666,26,666,8.0,.397,.339,.347,.208,5.1,7.6,17.6,1.4,0.4,13.4,17.4,88,111,,-0.4,-0.2,-0.7,-0.039
Alexis Hornbuckle,MIN,G,29,208,29,208,4.2,.459,.453,.531,.125,3.5,9.5,10.5,2.5,1.3,38.3,11.8,73,96,,-0.4,0.4,0.0,.001
Charde Houston,MIN,F,27,210,27,210,8.5,.426,.400,.271,.141,5.7,13.4,10.4,2.3,0.9,18.9,23.7,83,95,,-0.3,0.4,0.1,.019
Ify Ibekwe,SEA,F,3,8,3,8,-11.5,.000,.000,.000,.000,0.0,24.4,0.0,0.0,0.0,33.3,18.1,0,92,,-0.1,0.0,-0.1,-0.372
Sandora Irvin,ATL,F,30,248,30,248,9.5,.398,.339,.085,.339,14.6,17.5,8.0,1.2,4.6,19.1,14.1,90,97,,-0.1,0.4,0.4,.058
Lauren Jackson*,SEA,F-C,13,322,13,322,17.5,.517,.448,.336,.321,4.7,12.9,2.5,2.2,2.8,10.0,25.4,101,93,,0.5,0.8,1.3,.157
Tiffany Jackson-Jones,TUL,F,34,1152,34,1152,15.8,.529,.456,.003,.471,10.5,15.7,12.0,1.8,1.5,19.2,19.6,99,106,,1.3,0.3,1.6,.057
Briann January,IND,G,10,286,10,286,10.4,.504,.407,.314,.500,2.2,3.0,29.2,2.8,0.0,27.9,19.3,93,102,,0.0,0.3,0.3,.044
Temeka Johnson,PHO,G,30,717,30,717,11.8,.534,.509,.382,.129,1.5,4.9,27.5,1.7,0.5,24.1,14.3,103,108,,0.9,0.0,1.0,.053
Asjha Jones,CON,F,34,971,34,971,15.3,.472,.447,.022,.170,7.4,12.6,12.5,1.1,1.3,11.8,24.8,96,98,,0.6,1.5,2.2,.090
Marion Jones,TUL,G,14,91,14,91,0.4,.220,.190,.190,.190,5.3,4.2,5.7,4.1,1.8,18.0,13.9,52,106,,-0.4,0.0,-0.4,-0.157
