Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Natalie Achonwa,MIN,F,21,253,21,253,13.6,.525,.426,.016,.459,5.8,10.6,15.0,2.4,1.7,15.1,15.5,108,98,,0.4,0.5,0.9,.141
Bella Alarie,DAL,C-F,31,407,31,407,14.1,.556,.500,.031,.313,11.5,14.5,6.0,2.3,4.4,19.8,9.9,113,102,,0.6,0.6,1.2,.116
Lindsay Allen,IND,G,32,571,32,571,13.6,.517,.474,.309,.243,1.8,5.0,28.2,1.5,0.4,15.6,15.6,107,113,,0.9,-0.2,0.7,.049
Rebecca Allen,NYL,F-G,25,615,25,615,14.3,.493,.454,.583,.171,3.7,8.6,7.8,3.2,4.0,8.3,18.6,97,101,,0.3,0.9,1.2,.075
Jillian Alleyne,WAS,C-F,2,8,2,8,6.6,.000,.000,.000,.000,13.5,28.7,0.0,6.4,0.0,0.0,11.3,35,90,,0.0,0.0,0.0,-0.083
Ariel Atkins,WAS,G,30,918,30,918,17.4,.543,.490,.465,.298,4.0,5.2,16.2,2.7,1.5,12.0,25.0,104,107,,1.7,0.5,2.3,.098
Rachel Banham,MIN,G,27,341,27,341,10.2,.509,.504,.581,.062,1.1,5.8,21.1,1.2,1.0,15.9,21.0,95,103,,0.1,0.4,0.5,.054
Monique Billings,ATL,F,31,740,31,740,17.7,.534,.495,.010,.381,12.2,15.0,6.9,2.5,3.9,15.4,16.6,106,104,,1.2,0.8,1.9,.105
Sue Bird,SEA,G,30,832,30,832,16.9,.583,.567,.650,.098,1.1,5.4,30.4,1.7,0.3,15.5,16.8,114,104,,2.2,0.8,3.0,.145
DeWanna Bonner,CON,F-G,32,1022,32,1022,19.1,.524,.449,.345,.345,2.7,12.6,19.1,2.1,2.2,12.9,24.1,108,92,,2.5,2.8,5.3,.208
Brittany Boyd,CHI,G,2,22,2,22,3.1,.410,.375,.500,.500,0.0,5.2,25.5,4.6,0.0,45.0,18.0,63,98,,-0.1,0.0,-0.1,-0.111
Crystal Bradford,ATL,F,24,440,24,440,18.5,.507,.505,.424,.204,7.2,11.5,14.3,3.2,1.9,9.9,23.2,102,104,,0.6,0.4,1.1,.096
Jessica Breland,IND,F,26,544,26,544,11.7,.403,.386,.089,.106,7.8,17.7,16.6,1.5,6.1,20.3,19.4,81,104,,-1.1,0.6,-0.5,-0.037
Kalani Brown,ATL,C,1,5,1,5,4.2,.333,.333,.000,.000,0.0,11.1,0.0,0.0,0.0,0.0,26.5,71,111,,0.0,0.0,0.0,-0.164
Lexie Brown,CHI,G,17,162,17,162,4.5,.368,.368,.868,.000,0.0,4.2,16.8,2.2,0.0,17.4,12.7,80,104,,-0.2,0.2,-0.1,-0.016
Kennedy Burke,SEA,G-F,23,176,23,176,11.1,.523,.500,.321,.286,4.7,6.2,6.4,1.7,1.4,14.9,19.4,95,104,,0.0,0.2,0.2,.045
Liz Cambage,LVA,C,25,595,25,595,25.0,.589,.552,.054,.388,7.7,19.0,9.5,1.8,5.6,12.7,25.7,109,91,,1.6,1.7,3.4,.227
Jordin Canada,SEA,G,29,542,29,542,14.1,.489,.399,.097,.438,3.5,7.0,24.7,2.0,0.6,15.3,17.2,105,103,,0.8,0.6,1.4,.106
Bridget Carleton,MIN,F,32,618,32,618,10.3,.525,.500,.540,.146,4.6,7.2,11.3,2.1,0.8,15.6,12.7,103,101,,0.5,0.9,1.4,.091
DiJonai Carrington,CON,G-F,24,220,24,220,5.5,.384,.348,.256,.183,8.8,13.5,9.1,3.2,1.3,19.9,23.2,77,92,,-0.6,0.6,0.0,-0.002
Chennedy Carter,ATL,G,11,280,11,280,16.6,.521,.458,.068,.303,1.8,2.8,23.6,1.5,1.3,13.3,27.2,101,112,,0.4,-0.1,0.3,.048
Kaila Charles,CON,G-F,30,488,30,488,9.5,.449,.406,.248,.180,8.7,10.9,10.9,1.6,2.2,15.3,16.0,97,96,,0.2,1.1,1.3,.106
Tina Charles,WAS,C,27,900,27,900,24.9,.538,.496,.258,.242,8.8,16.4,14.3,1.4,2.2,9.1,32.3,106,104,,2.4,0.8,3.2,.143
Natasha Cloud,WAS,G,27,852,27,852,13.4,.504,.452,.457,.264,1.4,6.6,33.4,2.2,0.4,20.3,15.4,104,107,,1.0,0.5,1.5,.070
Nia Coffey,LAS,F,32,805,32,805,11.9,.557,.534,.543,.163,2.6,9.0,6.3,1.7,4.5,16.0,16.4,96,99,,0.2,1.4,1.6,.079
Charli Collier,DAL,C,28,345,28,345,10.6,.499,.465,.000,.267,10.1,17.1,2.8,0.6,1.3,11.9,14.1,104,106,,0.4,0.3,0.6,.072
Napheesa Collier,MIN,F,29,1003,29,1003,17.8,.524,.467,.209,.287,6.1,11.4,15.6,1.9,3.1,13.2,23.3,103,98,,1.6,1.9,3.5,.139
Te'a Cooper,LAS,G,31,682,31,682,9.1,.480,.426,.289,.328,0.7,4.7,12.2,2.1,0.8,16.3,24.1,85,102,,-1.1,0.9,-0.2,-0.012
Kahleah Copper,CHI,G-F,32,986,32,986,13.7,.543,.493,.225,.292,4.4,7.7,9.7,1.4,0.6,12.4,21.9,103,104,,1.3,1.0,2.3,.093
Sophie Cunningham,PHO,G,30,524,30,524,11.8,.575,.556,.578,.200,2.1,6.5,9.9,1.4,1.1,9.8,14.4,112,106,,1.0,0.4,1.4,.103
Crystal Dangerfield,MIN,G,31,623,31,623,11.7,.491,.451,.348,.188,1.6,5.9,22.7,1.7,0.3,15.1,20.8,97,102,,0.3,0.8,1.1,.069
Damiris Dantas,MIN,F,24,572,24,572,9.1,.496,.474,.583,.137,3.2,10.1,14.9,0.9,1.0,19.2,18.2,91,102,,-0.3,0.8,0.5,.036
Elena Delle Donne,WAS,F-G,3,52,3,52,30.7,.635,.537,.185,.444,6.2,14.3,8.4,0.0,1.7,5.8,29.7,125,108,,0.3,0.0,0.3,.266
Diamond DeShields,CHI,G,32,860,32,860,11.7,.499,.431,.256,.355,1.8,7.5,14.2,2.2,1.1,14.2,21.9,96,101,,0.2,1.2,1.4,.066
Blake Dietrick,ATL,G,9,141,9,141,3.8,.389,.389,.593,.000,2.2,5.5,11.1,1.8,0.6,15.6,10.0,85,110,,-0.1,0.0,-0.1,-0.026
Skylar Diggins-Smith,PHO,G,32,1040,32,1040,21.9,.589,.514,.344,.504,2.0,5.5,28.7,1.7,1.9,14.6,25.0,114,105,,4.0,0.9,4.9,.188
Stefanie Dolson,CHI,C,24,480,24,480,12.2,.580,.551,.322,.130,3.9,10.0,10.2,0.6,3.1,16.3,17.1,103,103,,0.5,0.6,1.1,.091
Chelsea Dungee,DAL,G,14,64,14,64,-5.1,.235,.235,.588,.000,1.7,2.7,2.3,0.0,1.4,10.5,13.2,54,112,,-0.2,0.0,-0.3,-0.159
Sylvia Fowles,MIN,C,31,934,31,934,26.8,.667,.640,.000,.326,8.6,20.0,8.7,3.0,5.1,16.2,21.6,116,90,,3.1,2.9,6.0,.257
Kysre Gondrezick,IND,G,19,173,19,173,2.7,.377,.370,.609,.087,2.0,6.5,16.4,2.1,0.0,26.3,16.7,70,111,,-0.5,0.0,-0.6,-0.129
Aleah Goodman,CON,G,1,3,1,3,6.0,,,,,0.0,0.0,46.1,0.0,0.0,,0.0,224,104,,0.0,0.0,0.0,.206
Haley Gorecki,PHO,G,3,6,3,6,-12.6,.000,.000,1.000,.000,0.0,18.9,0.0,0.0,0.0,50.0,15.4,0,101,,-0.1,0.0,-0.1,-0.375
Allisha Gray,DAL,G,25,694,25,694,17.6,.551,.500,.339,.269,5.3,10.8,10.4,1.9,2.7,11.2,19.5,111,104,,1.6,0.7,2.3,.134
Chelsea Gray,LVA,G,32,926,32,926,15.3,.519,.495,.218,.110,1.9,5.5,31.0,2.0,0.8,20.5,20.5,98,101,,0.6,1.4,2.0,.087
Reshanda Gray,NYL,F,15,210,15,210,10.0,.583,.547,.141,.406,7.3,14.5,4.4,0.9,1.5,21.8,20.8,94,105,,0.0,0.2,0.2,.030
Brittney Griner,PHO,C,30,983,30,983,28.4,.626,.580,.021,.316,8.7,16.4,16.9,0.6,4.7,11.9,26.2,119,100,,4.7,1.5,6.3,.255
Arella Guirantes,LAS,G,25,291,25,291,4.8,.371,.305,.284,.274,2.4,6.8,8.9,1.4,1.3,10.1,19.1,77,103,,-0.7,0.3,-0.4,-0.051
Megan Gustafson,WAS,C,11,109,11,109,15.8,.612,.594,.063,.281,10.9,21.0,0.0,0.9,0.8,20.0,18.6,101,105,,0.1,0.1,0.2,.073
Dearica Hamby,LVA,F,29,710,29,710,19.7,.596,.564,.155,.485,5.5,15.0,10.8,2.2,0.5,13.2,20.3,111,96,,1.8,1.5,3.3,.187
Linnae Harper,MIN,G,1,5,1,5,-5.7,,,,,0.0,12.0,0.0,0.0,0.0,,0.0,,103,,0.0,0.0,0.0,.049
Isabelle Harrison,DAL,F,28,665,28,665,19.7,.572,.538,.004,.250,7.4,14.4,8.6,2.4,2.6,13.6,20.6,109,102,,1.5,0.9,2.4,.143
Mikiah Herbert Harrigan,SEA,F,1,1,1,1,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,111,,0.0,0.0,0.0,-0.001
Tyasha Harris,DAL,G,32,522,32,522,10.5,.451,.406,.413,.210,1.9,5.7,25.3,1.3,1.7,17.0,16.0,98,108,,0.3,0.2,0.5,.039
Bria Hartley,PHO,G,6,51,6,51,16.1,.688,.688,.438,.000,4.7,4.4,17.6,1.0,0.0,23.8,19.1,107,109,,0.1,0.0,0.1,.078
Bernadett Hatar,IND,C,7,106,7,106,7.4,.530,.483,.000,.241,7.6,10.0,3.3,1.5,2.4,25.5,18.2,86,111,,-0.1,0.0,-0.1,-0.046
Tianna Hawkins,ATL,F,28,433,28,433,8.6,.503,.460,.524,.183,3.3,11.2,6.1,1.3,2.9,19.0,17.1,89,107,,-0.3,0.3,0.0,-0.002
Tiffany Hayes,ATL,G,21,595,21,595,19.6,.564,.508,.350,.313,2.4,6.3,18.2,2.8,0.6,10.2,22.5,112,107,,1.8,0.3,2.1,.140
Shyla Heal,CHI,G,4,31,4,31,-13.4,.376,.125,.375,.750,3.8,5.6,13.3,0.0,0.0,48.4,29.7,50,109,,-0.3,0.0,-0.3,-0.410
Ruthy Hebard,CHI,F,30,505,30,505,16.8,.566,.529,.014,.246,9.7,15.0,7.4,2.0,3.1,10.5,15.1,114,98,,1.1,0.9,2.1,.165
Natisha Hiedeman,CON,G,32,644,32,644,14.2,.558,.531,.656,.256,1.4,5.9,15.5,2.3,0.9,12.1,17.7,112,96,,1.5,1.4,3.0,.184
Myisha Hines-Allen,WAS,F,18,462,18,462,18.7,.484,.444,.191,.260,7.5,15.6,19.0,2.7,2.0,11.8,26.5,98,102,,0.3,0.6,0.9,.079
Natasha Howard,NYL,F,13,357,13,357,17.5,.554,.528,.205,.176,9.3,15.1,13.4,2.4,1.5,20.5,30.3,91,103,,-0.3,0.4,0.2,.018
Sabrina Ionescu,NYL,G,30,899,30,899,14.9,.529,.470,.557,.265,2.8,10.9,35.2,1.0,1.4,22.4,21.6,100,106,,0.9,0.6,1.5,.065
Briann January,CON,G,29,877,29,877,8.6,.550,.506,.425,.228,1.3,3.0,15.8,1.5,0.4,22.1,12.4,103,99,,0.8,1.5,2.3,.104
Moriah Jefferson,DAL,G,29,500,29,500,13.1,.529,.527,.340,.034,2.7,6.7,23.9,2.5,0.9,21.1,16.8,100,105,,0.4,0.4,0.8,.060
Stella Johnson,WAS,G,6,31,6,31,6.3,.615,.500,.625,.500,10.5,5.5,10.6,0.0,2.8,33.9,21.5,93,113,,0.0,0.0,0.0,-0.026
Brionna Jones,CON,F,32,980,32,980,22.6,.610,.571,.009,.303,13.3,15.0,10.9,2.4,1.7,15.4,21.5,117,93,,3.6,2.6,6.1,.250
Jazmine Jones,NYL,G,27,448,27,448,6.7,.470,.416,.315,.309,3.2,8.5,11.8,1.6,1.8,20.3,21.4,83,106,,-0.8,0.3,-0.5,-0.045
Jonquel Jones,CON,C,27,856,27,856,28.3,.614,.571,.311,.324,10.1,22.3,17.6,2.1,3.8,15.5,27.2,115,88,,3.7,2.9,6.6,.307
Stephanie Jones,CON,F,18,99,18,99,9.9,.418,.414,.069,.069,14.4,13.4,5.0,1.1,1.0,9.1,15.3,99,98,,0.1,0.2,0.2,.099
Awak Kuier,DAL,F,16,142,16,142,10.3,.421,.346,.462,.359,7.1,15.9,9.7,1.8,7.5,26.2,19.1,78,99,,-0.3,0.3,-0.1,-0.025
Betnijah Laney,NYL,G-F,32,1069,32,1069,14.6,.532,.489,.242,.271,3.0,7.1,30.4,1.0,0.2,19.1,26.4,98,109,,0.8,0.2,1.0,.036
Jantel Lavender,IND,F,27,539,27,539,9.0,.442,.415,.106,.106,9.8,11.5,13.4,0.0,0.6,15.8,19.4,91,115,,-0.2,-0.4,-0.6,-0.045
Kiara Leslie,WAS,G,9,86,9,86,7.7,.454,.375,.292,.333,2.5,13.3,3.8,2.4,0.0,12.7,16.5,88,104,,-0.1,0.1,0.0,.010
Jewell Loyd,SEA,G,31,962,31,962,19.8,.544,.491,.377,.255,3.0,7.5,21.7,2.4,0.5,12.2,27.8,105,102,,2.1,1.3,3.4,.141
Marina Mabrey,DAL,G,32,773,32,773,17.3,.514,.486,.472,.131,3.3,9.3,22.6,2.1,1.2,14.2,27.6,100,105,,1.0,0.7,1.7,.086
Ezi Magbegor,SEA,F-C,30,456,30,456,19.9,.564,.522,.056,.244,12.0,14.7,9.0,2.0,5.3,12.8,20.5,110,97,,1.1,0.9,2.1,.180
Kayla McBride,MIN,G,32,1010,32,1010,15.7,.586,.526,.488,.303,1.0,6.8,11.5,1.3,0.4,8.3,18.3,115,102,,2.8,1.2,4.0,.159
Erica McCall,WAS,F,23,356,23,356,11.4,.534,.500,.014,.432,10.0,15.9,6.1,1.0,2.2,18.5,13.7,102,106,,0.3,0.3,0.6,.064
Angel McCoughtry,LVA,F-G,1,0,1,0,,.000,.000,.000,.000,,,,,,0.0,,,,,0.0,0.0,0.0,
