Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Svetlana Abrosimova,MIN,F,34,843,34,843,17.4,.544,.518,.339,.144,7.2,10.6,18.3,2.7,0.4,17.7,19.5,104,102,,1.9,0.6,2.4,.115
Chantelle Anderson,SAS,C,11,86,11,86,15.0,.554,.500,.000,.600,8.7,14.4,6.3,0.6,4.7,16.5,16.2,105,96,,0.2,0.1,0.3,.139
La'Tangela Atkinson,SAC,G-F,28,226,28,226,9.3,.524,.468,.043,.404,6.8,12.3,12.0,2.4,2.0,37.3,17.2,77,94,,-0.4,0.4,0.0,-0.003
Seimone Augustus*,MIN,G-F,34,1093,34,1093,27.4,.583,.530,.106,.297,3.9,7.4,16.6,1.9,1.5,11.2,29.1,114,103,,5.7,0.4,6.1,.224
Alison Bales,IND,C,17,169,17,169,19.2,.604,.571,.000,.190,8.6,15.8,2.3,1.3,6.2,13.3,14.1,114,88,,0.4,0.5,0.9,.216
Mistie Bass,HOU,F,19,101,19,101,4.7,.282,.281,.031,.500,17.2,17.1,8.5,2.6,5.0,22.0,21.7,63,97,,-0.5,0.1,-0.3,-0.130
Ashley Battle,NYL,F,34,757,34,757,13.5,.467,.424,.381,.238,5.2,10.0,14.4,2.4,0.2,15.1,19.5,94,97,,0.4,1.1,1.5,.077
Alana Beard,WAS,G-F,33,1169,33,1169,19.7,.514,.459,.271,.278,2.5,7.1,19.1,2.8,1.7,13.4,26.5,101,98,,2.5,1.4,3.9,.134
Tully Bevilaqua,IND,G,34,901,34,901,10.7,.564,.550,.593,.147,2.0,4.9,17.4,3.3,0.2,24.9,10.7,101,93,,0.9,1.9,2.8,.124
Sue Bird,SEA,G,29,919,29,919,15.4,.527,.509,.482,.094,1.1,3.7,26.9,2.4,0.7,18.9,17.2,105,103,,1.9,0.4,2.2,.097
Nikki Blue,WAS,G,30,420,30,420,9.4,.430,.352,.250,.343,3.7,8.9,20.7,2.7,1.0,22.9,17.0,85,98,,-0.3,0.5,0.2,.020
Lindsay Bowen,NYL,G,6,37,6,37,1.4,.450,.450,.600,.000,0.0,3.2,4.9,0.0,0.0,28.6,17.6,66,106,,-0.1,0.0,-0.1,-0.127
Kara Braxton,DET,C-F,31,545,31,545,11.7,.485,.447,.000,.309,11.7,17.4,5.3,1.3,2.4,22.5,21.8,87,92,,-0.3,1.2,0.9,.068
Rebekkah Brunson,SAC,F,33,932,33,932,21.5,.526,.473,.013,.470,16.6,20.0,5.2,2.5,3.0,13.9,19.8,109,92,,2.7,2.1,4.8,.205
Janell Burse,SEA,C,29,709,29,709,13.5,.505,.445,.005,.483,11.7,13.1,5.4,1.0,3.0,18.6,19.6,97,102,,0.8,0.4,1.2,.069
Latasha Byears,HOU,G-F,30,327,30,327,19.0,.600,.591,.000,.327,14.1,14.1,10.3,3.6,1.3,22.7,21.9,100,97,,0.6,0.5,1.0,.125
Dominique Canty,CHI,G,30,776,30,776,13.6,.444,.369,.066,.477,2.8,4.8,28.8,2.1,0.4,16.4,20.2,95,103,,0.6,0.4,1.0,.052
Jamie Carey,CON,G,33,419,33,419,8.8,.536,.525,.703,.079,0.3,4.1,11.3,0.5,0.0,13.3,12.7,105,103,,0.6,0.2,0.8,.072
Swin Cash*,DET,F,31,959,31,959,13.0,.477,.410,.010,.394,6.7,11.3,14.2,1.0,1.1,18.4,19.9,95,96,,0.7,1.5,2.2,.092
Iziane Castro Marques,SEA,F-G,34,963,34,963,17.4,.558,.511,.471,.305,2.4,6.0,17.6,1.9,0.3,14.6,20.4,110,104,,3.0,0.3,3.4,.140
Tamika Catchings*,IND,F,21,678,21,678,29.4,.548,.461,.286,.514,9.6,16.5,28.9,5.1,2.6,16.3,25.4,111,81,,2.9,2.6,5.5,.325
Cori Chambers,CON,G,1,1,1,1,-111.9,,,,,0.0,0.0,0.0,0.0,0.0,100.0,88.3,0,107,,-0.1,0.0,-0.1,-2.948
Kayte Christensen,CHI,F,23,212,23,212,3.5,.429,.417,.000,.375,9.1,11.8,5.8,2.5,1.9,27.3,16.3,75,98,,-0.4,0.3,-0.2,-0.031
Shameka Christon,NYL,G,33,1065,33,1065,11.8,.485,.419,.363,.357,3.9,8.4,12.6,1.7,1.5,17.8,20.1,92,99,,0.3,1.2,1.5,.058
Claire Coggins,CHI,G,20,196,20,196,-2.9,.311,.312,.649,.052,1.7,4.8,7.2,1.4,0.4,19.4,22.4,59,104,,-1.0,0.1,-0.9,-0.192
Stacey Dales,CHI,F,31,845,31,845,11.5,.482,.455,.640,.124,1.9,3.8,18.4,1.3,0.0,14.7,20.6,96,105,,0.7,0.1,0.8,.039
Helen Darling,SAS,G,33,684,33,684,10.4,.495,.446,.342,.292,1.3,6.2,24.9,3.5,0.1,28.1,12.7,94,96,,0.3,1.1,1.4,.080
Jessica Davenport,NYL,C,33,382,33,382,15.3,.530,.445,.007,.482,7.0,13.8,5.0,1.0,6.3,20.9,25.5,91,94,,0.1,0.7,0.8,.079
Dee Davis,HOU,G,3,19,3,19,-8.8,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,45.5,25.4,51,111,,-0.1,0.0,-0.2,-0.342
Anna DeForge,IND,G,34,795,34,795,15.3,.525,.498,.392,.119,4.3,8.3,12.6,1.7,0.4,14.0,18.7,103,94,,1.4,1.5,2.9,.145
Jennifer Derevjanik,PHO,G,23,200,23,200,7.5,.517,.450,.333,.367,2.8,6.2,16.9,1.4,0.4,31.5,10.8,92,106,,0.0,0.0,0.0,.009
Erika de Souza,CON,F-C,32,391,32,391,14.5,.534,.534,.000,.178,10.9,14.3,6.4,0.9,5.6,21.6,18.3,93,95,,0.2,0.7,0.8,.084
Tamecka Dixon,HOU,G,18,490,18,490,16.6,.489,.451,.083,.176,3.0,7.2,23.8,2.5,1.0,14.7,23.2,99,101,,0.8,0.4,1.1,.093
Shay Doron,NYL,G,7,35,7,35,9.8,.421,.409,.091,.182,0.0,5.1,0.0,4.5,0.0,7.8,17.1,81,94,,0.0,0.1,0.0,.029
Scholanda Dorrell,SAC,G,34,525,34,525,13.2,.488,.429,.188,.412,5.2,5.8,11.1,3.8,1.7,18.6,20.7,94,95,,0.3,0.9,1.2,.094
Katie Douglas,CON,G-F,34,1133,34,1133,21.0,.537,.498,.415,.252,5.0,8.0,20.5,3.0,0.7,15.0,24.6,104,97,,3.1,1.7,4.8,.168
Megan Duffy,MIN,G,5,48,5,48,2.9,.325,.167,.889,.444,4.8,6.2,21.3,1.1,0.0,27.1,13.2,78,107,,-0.1,0.0,-0.1,-0.062
Candice Dupree,CHI,F,33,1078,33,1078,19.7,.502,.446,.011,.340,8.3,13.7,9.1,1.4,3.0,13.0,25.9,99,98,,1.9,1.4,3.3,.122
Margo Dydek,CON,C,32,643,32,643,17.1,.525,.492,.027,.203,6.6,18.7,8.3,1.0,7.7,20.0,17.5,95,89,,0.4,1.7,2.0,.127
Shyra Ely-Gash,SEA,F,29,282,29,282,5.8,.430,.363,.242,.500,4.4,8.4,6.1,1.5,0.3,20.1,15.0,84,104,,-0.2,0.1,-0.1,-0.016
Barbara Farris,NYL,F-C,28,237,28,237,5.8,.407,.345,.000,.276,8.3,10.9,10.0,1.3,0.4,22.6,16.5,80,100,,-0.3,0.2,-0.1,-0.015
Marie Ferdinand-Harris,SAS,G,34,481,34,481,10.7,.437,.376,.159,.235,8.6,10.4,10.7,2.1,0.5,16.5,21.5,89,98,,-0.1,0.6,0.5,.040
Marta Fernandez,LAS,G,34,891,34,891,11.3,.462,.401,.174,.316,1.6,4.8,20.2,2.1,1.3,21.9,20.2,86,103,,-0.6,0.4,-0.2,-0.008
Cheryl Ford,DET,F,15,460,15,460,20.7,.543,.497,.000,.580,12.3,20.8,8.6,3.1,2.0,19.0,20.8,102,86,,0.9,1.4,2.3,.201
Linda Frohlich,SAC,F-C,10,51,10,51,-3.0,.474,.385,.231,.308,4.7,11.1,6.9,1.0,1.8,44.8,23.1,60,97,,-0.3,0.1,-0.2,-0.176
Katie Gearlds,SEA,G-F,33,437,33,437,12.8,.528,.482,.561,.219,4.5,7.3,9.1,1.4,1.0,13.8,14.8,107,104,,0.9,0.1,1.0,.089
Gillian Goring,WAS,C,21,156,21,156,17.4,.498,.422,.022,.467,12.2,15.6,3.7,1.7,6.3,6.9,16.6,111,96,,0.4,0.3,0.7,.176
Erin Grant,HOU,G,17,211,17,211,9.1,.456,.391,.087,.435,4.1,5.5,27.8,1.7,0.0,28.6,8.0,103,105,,0.2,0.0,0.2,.047
Yolanda Griffith*,SAC,C-F,32,738,32,738,16.5,.549,.502,.000,.535,10.1,12.6,12.7,2.4,1.5,19.8,19.6,103,96,,1.5,1.2,2.7,.146
Kamesha Hairston,CON,F,17,148,17,148,5.1,.346,.280,.293,.293,10.9,11.7,6.2,2.4,0.0,16.3,16.5,80,97,,-0.2,0.2,0.0,-0.002
Becky Hammon*,SAS,G,28,934,28,934,21.1,.590,.537,.455,.254,1.1,5.1,31.3,1.3,0.4,20.3,27.6,105,101,,3.0,0.7,3.7,.158
Lindsey Harding,MIN,G,20,602,20,602,12.7,.420,.370,.144,.321,2.9,8.6,23.0,1.7,0.8,14.5,23.1,90,103,,0.0,0.2,0.2,.015
Kristin Haynie,SAC,G,34,545,34,545,5.7,.449,.434,.331,.074,1.7,4.3,22.9,1.8,1.0,32.6,16.9,78,100,,-0.9,0.5,-0.4,-0.030
Doneeka Lewis,SEA,G,7,33,7,33,3.1,.360,.308,.231,.154,0.0,3.7,31.1,1.6,0.0,30.2,26.9,68,105,,-0.2,0.0,-0.2,-0.194
Roneeka Hodges,HOU,G,29,331,29,331,9.1,.423,.369,.604,.198,3.0,5.6,14.1,2.0,0.0,14.2,18.7,92,104,,0.1,0.1,0.2,.021
Ebony Hoffman,IND,F,34,582,34,582,11.8,.504,.453,.039,.266,8.3,14.0,8.0,1.9,2.5,22.3,14.4,93,90,,0.2,1.5,1.7,.118
Chamique Holdsclaw,LAS,F,5,150,5,150,17.3,.557,.508,.048,.286,6.9,11.1,21.1,2.1,1.6,26.8,28.3,90,100,,0.0,0.1,0.1,.029
Sandora Irvin,SAS,F,23,128,23,128,7.9,.315,.310,.095,.048,15.6,19.3,9.6,1.3,6.4,20.4,19.4,72,93,,-0.4,0.3,-0.1,-0.031
Lauren Jackson*,SEA,F-C,31,1020,31,1020,35.0,.633,.568,.245,.396,9.7,17.8,8.7,1.6,4.7,8.8,28.0,128,96,,7.9,1.6,9.5,.373
