Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Natalie Achonwa,IND,F,30,636,30,636,19.3,.562,.495,.059,.325,9.0,14.2,13.4,1.5,2.6,11.1,18.5,116,102,,2.1,0.6,2.7,.173
Kayla Alexander,CHI,C,3,20,3,20,20.9,.781,.750,.000,1.000,11.9,19.6,7.9,0.0,0.0,14.8,14.7,142,103,,0.1,0.0,0.1,.264
Rebecca Allen,NYL,F-G,24,412,24,412,13.5,.527,.510,.436,.103,3.3,8.4,7.4,1.5,3.6,9.4,19.1,101,107,,0.5,0.2,0.6,.059
Jillian Alleyne,MIN,C-F,5,14,5,14,16.0,.333,.333,.000,.000,17.7,21.9,11.6,0.0,6.2,0.0,19.2,95,97,,0.0,0.0,0.0,.087
Ariel Atkins,WAS,G,33,804,33,804,17.0,.532,.502,.483,.179,3.7,7.0,12.2,3.1,1.8,9.6,20.0,109,100,,1.9,1.1,3.0,.150
Seimone Augustus*,MIN,G-F,12,156,12,156,3.4,.342,.328,.188,.063,1.6,2.8,15.3,1.6,0.6,15.4,22.4,72,103,,-0.5,0.1,-0.4,-0.104
Rachel Banham,CON,G,29,353,29,353,4.7,.435,.417,.626,.113,0.3,4.9,11.4,1.2,0.5,17.7,18.0,82,104,,-0.5,0.3,-0.2,-0.024
Alana Beard,LAS,G-F,16,235,16,235,10.3,.491,.459,.102,.184,1.0,5.8,14.8,2.6,1.1,14.5,11.7,100,99,,0.2,0.4,0.5,.087
Kenisha Bell,MIN,G,3,11,3,11,-5.9,.000,.000,1.000,.000,0.0,5.6,12.0,0.0,0.0,50.0,8.2,26,105,,-0.1,0.0,0.0,-0.162
Alex Bentley,ATL,G,29,634,29,634,8.8,.384,.356,.421,.108,1.6,4.5,28.1,1.7,1.1,11.5,26.7,82,105,,-1.4,0.4,-1.0,-0.063
Tiffany Bias,NYL,G,12,105,12,105,2.9,.370,.304,.679,.250,0.0,3.3,16.1,1.4,0.0,20.5,16.3,74,111,,-0.2,0.0,-0.3,-0.109
Monique Billings,ATL,F,29,553,29,553,11.7,.469,.392,.007,.417,11.5,19.3,5.4,1.6,1.7,21.3,17.3,89,97,,-0.3,1.0,0.7,.049
DeWanna Bonner,PHO,F-G,34,1120,34,1120,20.6,.507,.429,.379,.331,3.6,13.4,16.2,2.1,1.5,8.4,26.7,103,99,,2.2,1.8,4.0,.144
Brittany Boyd,NYL,G,33,649,33,649,13.0,.449,.414,.128,.189,4.7,10.6,38.2,3.6,0.5,29.4,18.6,87,103,,-0.6,0.6,0.0,.002
Imani McGee-Stafford,DAL,C,29,346,29,346,14.8,.486,.472,.037,.128,14.3,19.0,10.4,2.7,4.5,22.8,19.9,90,98,,-0.2,0.6,0.4,.047
Jessica Breland,ATL,F,33,767,33,767,15.2,.425,.395,.138,.120,5.7,16.6,14.2,2.8,3.6,11.6,18.9,89,93,,-0.4,1.9,1.5,.076
Kalani Brown,LAS,C,28,377,28,377,15.9,.540,.478,.009,.407,10.3,14.8,7.4,1.2,4.9,17.9,19.2,102,97,,0.5,0.7,1.2,.128
Lexie Brown,MIN,G,33,605,33,605,13.4,.554,.526,.646,.182,1.4,4.6,12.6,2.6,0.1,15.4,19.8,102,100,,0.8,0.8,1.6,.105
Kennedy Burke,IND,G-F,31,423,31,423,11.9,.495,.444,.342,.376,5.1,6.1,8.5,2.2,1.9,13.3,16.8,99,105,,0.3,0.2,0.6,.053
Liz Cambage,LVA,C,32,807,32,807,24.3,.558,.506,.031,.398,8.7,17.6,16.8,1.2,5.2,13.6,28.1,105,93,,2.2,2.0,4.1,.204
Jordin Canada,SEA,G,30,865,30,865,14.7,.454,.401,.149,.284,1.8,5.0,31.7,4.1,0.7,19.6,21.3,92,99,,-0.1,1.4,1.3,.061
Essence Carson,PHO,G,23,425,23,425,11.5,.461,.406,.320,.289,3.1,6.9,14.4,1.5,1.5,10.5,18.0,95,104,,0.1,0.3,0.4,.042
Arica Carter,PHO,G,6,24,6,24,-8.3,.200,.200,.800,.000,0.0,0.0,6.6,2.2,0.0,28.6,13.8,36,107,,-0.1,0.0,-0.1,-0.229
Maite Cazorla,ATL,G,31,477,31,477,6.4,.444,.382,.591,.258,0.4,2.3,17.8,1.9,0.2,21.9,12.3,85,106,,-0.4,0.2,-0.2,-0.014
Tina Charles,NYL,C,33,1028,33,1028,14.8,.448,.398,.104,.235,7.1,13.8,15.0,1.1,2.3,12.0,30.2,90,106,,-0.6,0.5,-0.1,-0.005
Karima Christmas-Kelly,MIN,F-G,6,72,6,72,6.4,.396,.361,.611,.278,1.7,4.3,12.1,3.6,1.2,16.5,15.1,83,98,,-0.1,0.1,0.0,.024
Layshia Clarendon,CON,G,9,138,9,138,17.3,.536,.442,.047,.488,5.5,9.1,22.2,1.1,0.0,13.3,18.9,114,104,,0.4,0.1,0.6,.160
Alysha Clark,SEA,F,31,881,31,881,16.3,.602,.589,.447,.093,4.9,10.1,15.8,2.0,1.7,16.3,15.3,112,101,,2.0,1.1,3.1,.141
Natasha Cloud,WAS,G,34,1093,34,1093,12.2,.501,.475,.495,.215,0.7,4.7,24.1,1.7,0.5,17.5,15.5,105,104,,1.7,0.8,2.5,.090
Nia Coffey,ATL,F,28,389,28,389,10.1,.441,.417,.417,.302,6.2,10.6,6.0,1.9,2.7,11.8,20.3,88,101,,-0.3,0.5,0.2,.020
Napheesa Collier,MIN,F,34,1131,34,1131,18.5,.576,.534,.243,.296,6.6,12.1,12.6,3.0,2.5,14.4,17.9,111,95,,2.8,2.4,5.2,.185
Sydney Colson,LVA,G,33,379,33,379,13.5,.558,.494,.238,.393,0.6,3.3,24.1,4.0,0.9,22.1,14.3,103,96,,0.4,0.8,1.2,.126
Kahleah Copper,CHI,G-F,34,502,34,502,9.7,.483,.424,.240,.343,2.8,7.1,9.6,1.4,0.4,15.5,24.1,90,105,,-0.3,0.3,0.0,.003
Sophie Cunningham,PHO,G,32,389,32,389,8.1,.532,.443,.582,.430,1.8,6.7,10.6,1.5,0.8,17.6,13.9,98,104,,0.2,0.3,0.5,.053
Damiris Dantas,MIN,F,26,667,26,667,14.8,.550,.534,.519,.126,5.2,10.7,20.2,1.5,2.0,17.1,17.7,106,99,,1.2,1.0,2.2,.133
Kaela Davis,DAL,F,33,634,33,634,4.6,.401,.364,.221,.143,2.8,6.8,20.6,1.5,0.8,22.9,23.2,76,107,,-1.9,0.2,-1.8,-0.111
