Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Svetlana Abrosimova,SEA,F,34,686,34,686,13.0,.507,.496,.432,.188,4.4,9.3,17.4,3.1,0.4,19.4,20.7,97,97,,0.4,1.4,1.8,.102
Jessica Adair,MIN,C,1,14,1,14,25.2,.906,1.000,.000,4.000,30.8,33.2,0.0,0.0,0.0,0.0,8.5,198,102,,0.1,0.0,0.1,.400
Matee Ajavon,WAS,G,34,497,34,497,11.4,.444,.369,.257,.393,4.3,6.9,17.0,4.1,0.3,18.8,25.3,89,95,,-0.4,1.1,0.7,.056
Nicky Anosike,MIN,F-C,31,928,31,928,14.9,.490,.372,.000,.691,9.5,13.3,10.9,3.4,3.0,18.5,16.5,100,98,,0.7,1.7,2.4,.103
Jayne Appel-Marinelli,SAS,C,28,306,28,306,12.4,.558,.542,.042,.479,8.8,14.7,7.2,1.2,1.3,18.1,16.1,102,106,,0.3,0.2,0.5,.070
Seimone Augustus*,MIN,G-F,25,832,25,832,14.7,.488,.473,.261,.124,1.2,5.7,12.0,1.0,0.7,7.5,24.1,101,107,,0.9,0.5,1.4,.066
Alison Bales,ATL,C,34,529,34,529,14.0,.547,.459,.124,.557,6.5,13.4,7.4,2.2,5.5,16.0,11.0,111,95,,0.8,1.3,2.1,.155
Mistie Bass,CHI,F,34,642,34,642,12.9,.553,.527,.016,.372,10.5,12.7,9.7,1.6,1.9,20.6,13.7,104,103,,0.7,0.7,1.4,.088
Ashley Battle,SAS,F,5,35,5,35,1.8,.333,.333,.417,.000,14.6,16.3,4.8,0.0,0.0,20.0,20.1,71,110,,-0.1,0.0,-0.1,-0.139
Tully Bevilaqua,IND,G,34,659,34,659,9.4,.506,.492,.642,.200,3.4,6.8,13.3,3.8,0.5,23.5,11.8,94,96,,0.0,1.4,1.4,.087
Sue Bird,SEA,G,33,1005,33,1005,18.0,.554,.529,.476,.135,0.9,5.4,32.3,2.7,0.4,15.4,17.5,118,99,,3.3,1.7,5.0,.197
Abby Bishop,SEA,F,16,109,16,109,5.0,.441,.422,.533,.244,12.7,11.3,6.4,1.0,0.8,19.4,25.6,86,102,,-0.2,0.1,0.0,-0.011
Chante Black,TUL,C,34,712,34,712,13.8,.519,.537,.000,.329,13.2,18.1,5.1,1.2,6.3,20.1,12.6,98,106,,0.3,0.4,0.7,.041
Nikki Blue,NYL,G,15,77,15,77,4.1,.374,.310,.286,.333,1.7,5.0,26.0,2.8,0.0,27.2,20.0,76,102,,-0.2,0.1,-0.1,-0.065
DeWanna Bonner,PHO,F-G,32,813,32,813,19.5,.569,.498,.187,.419,9.7,13.4,7.4,1.3,3.3,10.9,19.7,116,109,,2.6,0.2,2.8,.139
Kiesha Brown,TUL,G,27,481,27,481,9.9,.489,.451,.319,.194,2.1,6.4,22.0,1.5,0.0,20.4,17.2,94,113,,0.0,-0.2,-0.2,-0.017
Rebekkah Brunson,MIN,F,30,915,30,915,17.3,.495,.429,.004,.586,14.1,19.7,4.5,2.0,2.7,12.5,18.4,105,99,,1.4,1.6,3.0,.131
Dominique Canty,CHI,G,34,884,34,884,12.4,.504,.434,.045,.561,4.8,6.1,23.0,2.0,0.7,20.0,19.9,98,105,,0.6,0.7,1.3,.057
Essence Carson,NYL,G,34,325,34,325,12.9,.460,.423,.203,.260,5.5,10.6,13.4,2.3,2.1,15.9,23.4,90,100,,-0.2,0.5,0.3,.039
Swin Cash*,SEA,F,34,1046,34,1046,14.5,.544,.482,.232,.378,7.8,11.9,11.5,1.0,1.4,18.5,22.9,104,100,,1.7,1.6,3.3,.128
Iziane Castro Marques,ATL,F-G,34,984,34,984,13.9,.518,.490,.315,.272,1.5,3.3,15.9,1.4,0.2,14.6,26.7,99,104,,0.9,0.9,1.8,.075
Tamika Catchings*,IND,F,34,1068,34,1068,27.2,.607,.539,.245,.432,6.6,14.0,25.8,3.8,2.4,15.4,25.7,117,91,,4.8,3.1,7.9,.296
Tina Charles,CON,C,34,1054,34,1054,23.2,.539,.487,.002,.359,13.8,21.3,9.0,1.2,4.2,12.7,23.3,109,96,,2.8,2.4,5.2,.197
Joy Cheek,IND,F,7,34,7,34,3.3,.545,.458,.250,.333,0.0,5.4,5.5,0.0,0.0,26.7,25.2,83,104,,-0.1,0.0,0.0,-0.042
Shameka Christon,CHI,G,10,213,10,213,13.2,.500,.449,.449,.205,1.8,7.0,20.4,0.8,0.8,9.6,20.5,107,106,,0.4,0.1,0.5,.102
Marissa Coleman,WAS,G-F,34,663,34,663,13.8,.536,.505,.540,.217,5.1,10.9,13.1,2.3,1.5,16.9,17.1,106,96,,1.0,1.4,2.5,.149
Monique Currie,WAS,F,34,891,34,891,19.8,.584,.491,.248,.510,6.5,11.8,11.7,2.9,1.3,17.8,25.5,110,95,,2.7,2.1,4.8,.215
Helen Darling,SAS,G,33,391,33,391,5.4,.427,.350,.367,.567,3.6,5.5,18.0,2.7,0.2,29.9,12.8,83,107,,-0.4,0.2,-0.3,-0.026
Jessica Davenport,IND,C,33,469,33,469,19.6,.613,.574,.042,.411,7.1,12.2,6.7,1.6,5.0,16.8,23.2,108,96,,1.1,1.0,2.1,.176
Erika de Souza,ATL,F-C,34,872,34,872,19.4,.575,.571,.000,.225,11.9,17.9,6.0,1.5,3.4,14.5,19.8,108,96,,1.8,1.9,3.7,.170
Scholanda Dorrell,TUL,G,34,836,34,836,12.3,.484,.434,.211,.360,3.8,5.6,12.5,3.1,1.2,17.1,25.4,90,110,,-0.6,0.0,-0.6,-0.027
Katie Douglas,IND,G-F,34,1014,34,1014,18.6,.569,.538,.459,.187,3.2,7.1,21.2,2.4,1.1,14.0,21.5,111,99,,2.7,1.8,4.5,.177
Candice Dupree,PHO,F,34,1014,34,1014,23.1,.700,.664,.003,.224,8.7,14.1,7.4,1.7,2.0,14.5,18.7,126,108,,4.4,0.3,4.8,.188
Marie Ferdinand-Harris,LAS,G,30,728,30,728,11.2,.489,.437,.194,.251,3.2,6.7,8.9,1.9,0.6,10.7,19.4,97,107,,0.3,0.3,0.6,.034
Sylvia Fowles,CHI,C,34,1087,34,1087,27.8,.634,.583,.003,.500,8.5,19.3,9.9,1.9,6.7,14.6,23.9,116,94,,4.2,2.7,6.9,.253
Megan Frazee,SAS,F,10,101,10,101,9.1,.471,.391,.281,.594,8.9,13.2,1.7,0.0,0.0,12.9,21.5,94,110,,0.0,0.0,0.0,-0.001
Kerri Gardin,CON,F,25,206,25,206,6.4,.343,.284,.297,.324,6.0,7.9,11.4,2.2,1.1,17.6,10.9,84,102,,-0.2,0.3,0.1,.016
Kalana Greene,NYL,G,33,519,33,519,8.3,.505,.489,.152,.174,3.5,6.7,9.9,1.3,1.1,19.5,16.6,91,104,,-0.2,0.5,0.3,.024
Kelsey Griffin,CON,F,34,679,34,679,9.6,.468,.398,.350,.387,7.1,13.3,8.0,1.7,2.0,21.1,13.1,92,99,,-0.1,1.2,1.1,.062
Sandrine Gruda,CON,F-C,28,636,28,636,19.8,.569,.496,.049,.571,9.2,11.1,9.3,1.5,2.6,13.7,22.6,111,101,,1.8,0.9,2.7,.171
Becky Hammon*,SAS,G,32,1075,32,1075,17.7,.598,.538,.492,.281,1.9,5.5,28.2,1.8,0.6,21.1,22.3,107,109,,2.5,0.3,2.8,.105
Lindsey Harding,WAS,G,34,1130,34,1130,13.7,.514,.466,.147,.303,2.0,5.9,22.0,2.2,0.5,19.0,19.9,101,99,,1.2,1.9,3.1,.111
Allison Hightower,CON,G,20,207,20,207,8.0,.403,.342,.300,.267,5.5,6.8,6.8,3.5,0.8,13.0,16.3,87,100,,-0.2,0.3,0.2,.030
Roneeka Hodges,SAS,G,34,859,34,859,9.5,.472,.451,.605,.125,3.4,8.0,8.8,0.9,0.9,12.6,17.3,93,109,,-0.1,0.2,0.1,.005
Ebony Hoffman,IND,F,34,815,34,815,11.5,.478,.446,.307,.150,6.7,10.9,9.5,2.6,1.4,15.7,18.9,94,97,,0.1,1.7,1.7,.085
Chamique Holdsclaw,SAS,F,29,840,29,840,18.6,.546,.511,.095,.220,7.8,11.7,13.2,2.7,1.0,15.3,23.7,103,104,,1.3,0.8,2.0,.096
Quanitra Hollingsworth,MIN,C,25,182,25,182,2.7,.448,.378,.000,.676,7.7,14.0,3.6,1.4,0.5,30.4,16.3,74,103,,-0.5,0.2,-0.3,-0.058
Sequoia Holmes,PHO,G,15,119,15,119,1.4,.296,.205,.282,.385,7.9,9.4,6.6,2.4,0.0,18.0,19.8,67,110,,-0.5,0.0,-0.5,-0.160
Amber Holt,TUL,F,33,697,33,697,15.1,.522,.465,.358,.338,4.4,8.4,14.6,2.1,0.8,11.8,18.9,107,111,,1.2,-0.1,1.2,.068
Charde Houston,MIN,F,34,758,34,758,17.0,.503,.478,.342,.193,4.6,10.6,12.6,2.9,2.3,14.6,26.4,96,100,,0.3,1.2,1.5,.079
Ashley Houts,WAS,G,20,110,20,110,7.8,.504,.469,.750,.125,4.9,7.6,12.9,2.9,0.0,29.3,9.9,94,98,,0.0,0.2,0.2,.078
Sandora Irvin,CHI,F,18,137,18,137,7.1,.515,.483,.233,.300,10.0,11.8,3.8,0.8,3.6,22.7,14.9,92,104,,0.0,0.1,0.1,.030
Lauren Jackson*,SEA,F-C,32,993,32,993,27.9,.592,.519,.328,.374,11.3,16.3,7.7,1.6,3.3,7.7,27.3,126,96,,6.1,2.2,8.3,.333
Briann January,IND,G,30,657,30,657,12.1,.522,.431,.337,.491,3.8,5.5,24.4,3.0,0.5,24.2,19.5,98,99,,0.4,1.1,1.5,.092
Anete Jekabsone-Zogota,CON,G,19,352,19,352,12.1,.523,.492,.588,.115,1.3,6.4,16.0,1.3,1.1,14.3,20.0,101,103,,0.4,0.4,0.8,.088
Temeka Johnson,PHO,G,34,928,34,928,12.3,.491,.461,.327,.165,2.4,6.5,24.8,1.7,0.5,17.8,17.7,101,112,,0.9,-0.2,0.7,.029
Asjha Jones,CON,F,30,774,30,774,14.0,.489,.458,.065,.148,7.0,10.7,15.5,0.9,1.3,14.1,21.8,99,103,,0.6,0.9,1.4,.074
Marion Jones,TUL,G,33,311,33,311,15.0,.564,.538,.100,.525,10.3,9.9,10.4,2.8,1.9,18.9,16.5,105,110,,0.4,0.0,0.5,.058
Crystal Kelly,SAS,F,26,242,26,242,8.2,.562,.450,.020,.920,6.9,7.8,4.6,1.5,0.3,24.7,18.0,95,109,,0.0,0.0,0.1,.012
Cathrine Kraayeveld,CHI,F,34,722,34,722,8.2,.467,.436,.544,.133,4.1,8.0,10.0,1.6,2.2,20.1,15.3,88,104,,-0.5,0.7,0.2,.011
Alison Lacey,SEA,G,21,144,21,144,-1.3,.215,.157,.771,.143,2.6,6.8,10.0,2.2,0.6,17.7,14.2,60,100,,-0.5,0.2,-0.3,-0.073
Jennifer Lacy,TUL,F,24,402,24,402,12.0,.504,.443,.312,.397,7.1,10.4,8.1,2.3,1.5,17.0,20.9,95,110,,0.1,0.0,0.1,.013
Natasha Lacy,TUL,G,16,293,16,293,13.8,.525,.494,.150,.463,1.9,7.3,32.3,3.8,0.9,28.3,19.3,92,107,,-0.1,0.2,0.0,.006
Crystal Langhorne,WAS,F-C,34,1158,34,1158,21.6,.632,.591,.016,.387,11.4,18.4,6.7,1.4,0.5,17.0,20.8,116,96,,4.0,2.5,6.5,.224
Ivory Latta,TUL,G,18,517,18,517,14.3,.542,.503,.438,.265,1.5,2.9,24.1,1.7,0.3,15.9,20.0,105,115,,0.9,-0.4,0.5,.040
Edwige Lawson-Wade,SAS,G,33,724,33,724,12.6,.540,.489,.702,.238,3.0,5.6,20.9,2.6,0.2,18.4,15.8,106,107,,1.1,0.3,1.4,.078
Kara Lawson,CON,G,34,854,34,854,12.5,.535,.502,.518,.154,1.1,5.7,22.6,0.8,0.0,15.4,16.0,107,105,,1.4,0.7,2.1,.097
Shalee Lehning,ATL,G,33,775,33,775,9.5,.516,.514,.340,.283,3.9,6.3,28.0,1.5,0.6,33.9,9.4,100,103,,0.4,0.9,1.3,.067
Betty Lennox,LAS,G,11,128,11,128,13.6,.555,.533,.783,.130,3.9,9.0,23.2,0.8,0.0,12.6,20.0,110,108,,0.3,0.0,0.4,.111
Yelena Leuchanka,ATL,C,32,339,32,339,10.4,.537,.481,.048,.410,9.2,13.5,5.5,2.3,1.8,27.1,20.3,88,97,,-0.3,0.7,0.3,.041
Taylor Lilley,PHO,G,21,227,21,227,9.4,.557,.517,.741,.190,1.6,4.4,9.1,2.3,0.3,20.3,14.7,98,112,,0.1,0.0,0.0,.008
Camille Smith,SEA,F,34,838,34,838,18.4,.563,.516,.090,.445,10.8,12.9,10.1,3.5,2.2,16.4,19.7,110,95,,2.0,2.0,4.0,.193
