Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Svetlana Abrosimova,MIN,F,22,462,22,462,13.0,.458,.424,.381,.331,4.8,10.5,21.5,3.8,0.4,21.3,21.5,87,90,,-0.2,1.1,0.9,.079
Chantelle Anderson,SAC,C,30,231,30,231,6.8,.480,.391,.000,.578,7.9,10.1,4.1,0.8,2.5,23.7,22.3,85,100,,-0.2,0.2,0.0,.001
Mery Andrade,CHA,F,12,65,12,65,5.8,.541,.429,.143,.429,2.4,4.6,21.8,0.0,1.3,26.5,9.7,106,108,,0.1,0.0,0.1,.038
Elena Baranova,NYL,F,34,1048,34,1048,20.3,.582,.548,.365,.168,4.4,15.4,14.1,2.1,4.5,19.1,20.6,101,92,,2.0,2.2,4.2,.161
Adia Barnes,SEA,F,34,402,34,402,9.9,.405,.326,.087,.449,10.9,10.5,13.1,3.3,0.4,22.5,12.8,91,96,,0.1,0.6,0.7,.066
Alana Beard,WAS,G-F,34,1025,34,1025,20.3,.500,.446,.147,.392,3.4,8.8,18.4,3.9,2.9,15.2,25.1,98,95,,1.7,1.6,3.3,.128
Lucienne Berthieu,HOU,F-C,16,134,16,134,10.1,.441,.353,.000,.529,11.9,13.2,6.1,2.7,1.3,17.7,19.4,90,95,,0.0,0.2,0.2,.066
Tully Bevilaqua,SEA,G,34,358,34,358,12.2,.543,.492,.433,.483,2.2,4.9,14.1,6.1,0.5,26.3,13.3,95,91,,0.2,0.8,1.0,.116
Agnieszka Bibrzycka,SAS,G-F,24,465,24,465,13.2,.489,.450,.556,.172,1.5,4.1,18.2,2.7,1.3,16.5,21.1,94,103,,0.3,0.1,0.5,.041
Sue Bird,SEA,G,34,1136,34,1136,21.2,.604,.561,.448,.261,2.6,6.2,32.0,2.6,0.4,19.3,19.2,115,98,,4.7,1.3,6.0,.212
Tera Bjorklund,CHA,C,4,13,4,13,-4.8,.333,.333,.000,.000,0.0,0.0,0.0,0.0,0.0,25.0,17.1,52,112,,-0.1,0.0,-0.1,-0.235
Debbie Black,CON,G,31,347,31,347,12.1,.476,.464,.018,.071,4.8,6.8,24.2,3.2,0.0,20.6,10.4,103,99,,0.5,0.3,0.8,.094
Octavia Blue,HOU,F,13,155,13,155,11.0,.461,.381,.095,.310,10.3,8.9,6.7,0.4,0.0,12.8,18.0,98,104,,0.2,0.0,0.2,.057
Ruthie Bolton,SAC,G,34,469,34,469,15.3,.493,.474,.513,.123,4.7,7.2,12.9,2.9,0.0,8.5,18.5,110,98,,1.3,0.5,1.8,.157
Coretta Brown,IND,G,26,398,26,398,8.3,.452,.435,.519,.148,3.2,5.7,21.3,1.1,0.2,21.2,18.3,89,105,,0.0,0.0,0.0,-0.002
Kiesha Brown,WAS,G,26,371,26,371,13.5,.528,.472,.318,.273,3.0,8.5,20.9,2.0,0.5,25.1,17.3,94,101,,0.3,0.2,0.5,.054
Jessica Brungo,CON,F,33,314,33,314,7.7,.408,.390,.644,.085,4.1,7.7,14.9,0.7,1.1,16.4,11.6,91,102,,0.1,0.1,0.2,.024
Rebekkah Brunson,SAC,F,34,494,34,494,16.2,.471,.421,.000,.329,11.0,17.0,7.5,2.8,2.6,15.3,18.7,98,92,,0.6,1.0,1.6,.131
Janell Burse,SEA,C,29,514,29,514,12.9,.475,.429,.000,.563,13.2,12.5,6.8,2.6,6.0,21.6,17.8,91,93,,0.2,1.0,1.1,.087
Tasha Butts,MIN,F,30,423,30,423,7.9,.418,.363,.463,.313,6.5,9.6,11.7,1.8,1.4,20.2,13.2,86,94,,-0.1,0.7,0.6,.054
Edna Campbell,SAC,G,22,332,22,332,6.9,.481,.487,.513,.026,1.2,3.9,8.8,0.9,0.6,16.3,13.5,94,103,,0.1,0.1,0.2,.030
Dominique Canty,HOU,G,32,770,32,770,12.1,.487,.420,.013,.480,6.9,7.2,16.6,2.5,0.1,19.9,15.0,97,99,,0.8,0.7,1.5,.077
Amisha Carter,DET,F,2,13,2,13,-3.9,.568,,,,0.0,19.0,0.0,8.6,0.0,77.3,13.8,25,75,,-0.1,0.1,0.0,-0.143
Swin Cash*,DET,F,32,1105,32,1105,24.0,.548,.479,.060,.570,8.6,11.6,25.7,2.2,2.3,14.4,23.5,111,97,,4.6,1.4,5.9,.215
Tamika Catchings*,IND,F,34,1149,34,1149,26.3,.520,.444,.357,.380,8.7,14.4,23.8,3.5,3.0,12.4,27.0,111,94,,5.1,2.1,7.2,.250
Kaayla Chones,WAS,C,13,115,13,115,6.5,.440,.407,.000,.407,8.6,9.3,6.4,0.5,3.0,25.7,18.2,78,104,,-0.2,0.0,-0.2,-0.063
Kayte Christensen,PHO,F,32,407,32,407,6.0,.436,.388,.000,.388,9.3,12.0,10.1,3.1,1.6,31.2,10.6,84,95,,-0.2,0.6,0.4,.042
Shameka Christon,NYL,G,33,560,33,560,9.6,.452,.418,.434,.270,4.7,8.0,8.7,1.0,1.3,13.1,22.5,88,102,,-0.1,0.3,0.2,.012
Monique Coker,LAS,F-C,3,14,3,14,10.8,1.500,1.500,1.000,.000,9.6,4.6,37.2,0.0,6.3,75.0,13.7,86,102,,0.0,0.0,0.0,.000
Stacey Dales,WAS,F,31,782,31,782,14.1,.504,.469,.522,.241,2.7,5.2,19.0,1.5,0.3,12.8,18.1,104,104,,1.7,0.1,1.7,.088
Helen Darling,MIN,G,33,707,33,707,8.3,.444,.377,.423,.485,2.0,6.2,32.6,2.5,0.5,31.9,16.1,83,94,,-0.6,1.2,0.6,.031
Anna DeForge,PHO,G,34,1152,34,1152,20.5,.553,.505,.457,.258,2.8,7.5,20.1,2.6,0.6,13.4,22.8,108,98,,3.9,1.2,5.1,.177
Jennifer Derevjanik,CON,G,23,140,23,140,3.7,.353,.327,.462,.077,0.9,4.2,17.1,3.3,0.0,27.1,13.1,71,99,,-0.3,0.1,-0.1,-0.040
Tai Dillard,SAS,G,23,205,23,205,3.1,.340,.343,.333,.019,1.3,4.6,18.1,1.1,0.4,20.5,16.8,70,106,,-0.5,0.0,-0.6,-0.113
Tamecka Dixon,LAS,G,32,913,32,913,14.4,.506,.452,.041,.323,4.7,7.7,23.7,2.2,0.1,18.8,19.8,99,97,,1.4,1.2,2.6,.114
Bethany Donaphin,NYL,F-C,26,479,26,479,11.3,.493,.462,.000,.575,8.7,9.7,6.8,1.4,1.4,13.7,16.6,98,101,,0.6,0.3,0.8,.070
Katie Douglas,CON,G-F,34,1120,34,1120,15.9,.513,.472,.477,.240,3.8,7.7,15.4,2.6,1.0,12.8,18.1,104,98,,2.3,1.2,3.5,.125
Margo Dydek,SAS,C,34,682,34,682,17.0,.482,.435,.010,.279,6.0,16.6,19.2,1.7,6.3,21.5,22.0,88,95,,-0.1,1.1,1.0,.057
Simone Edwards,SEA,C,23,257,23,257,7.8,.379,.364,.000,.345,12.9,14.6,3.5,1.8,1.0,17.0,14.4,83,97,,-0.2,0.3,0.2,.025
Teresa Edwards*,MIN,G-F,34,697,34,697,10.9,.455,.433,.425,.150,5.5,8.5,25.0,3.9,1.0,30.4,21.5,77,91,,-1.5,1.6,0.1,.004
Barbara Farris,DET,F-C,26,422,26,422,10.3,.569,.513,.000,.675,8.1,8.9,3.1,1.1,0.4,20.0,14.2,101,103,,0.6,0.2,0.7,.070
Allison Feaster,CHA,F,33,1052,33,1052,15.1,.521,.465,.431,.274,3.3,5.9,13.8,1.6,0.5,15.5,23.3,100,105,,2.0,0.1,2.0,.077
Marie Ferdinand-Harris,SAS,G,17,509,17,509,17.5,.523,.444,.167,.395,4.8,7.2,12.4,3.7,0.4,15.5,22.3,100,100,,0.9,0.4,1.3,.103
Cheryl Ford,DET,F,31,912,31,912,17.6,.461,.411,.000,.551,13.9,20.1,7.3,2.5,2.4,13.2,20.8,98,92,,1.2,1.9,3.1,.136
Trina Frierson,SEA,F,5,22,5,22,2.3,.339,.222,.111,.333,18.1,15.2,0.0,0.0,0.0,8.8,24.9,86,102,,0.0,0.0,0.0,-0.006
Candace Futrell,CON,G,20,144,20,144,11.4,.466,.382,.447,.421,6.2,8.7,12.4,2.0,0.6,13.5,18.0,100,100,,0.2,0.1,0.3,.091
Adrienne Goodson,SAS,F,34,1068,34,1068,17.0,.514,.454,.050,.322,11.3,14.9,12.3,1.5,0.2,15.6,20.2,102,102,,2.2,0.5,2.7,.100
Shaunzinski Gortman,WAS,G,4,24,4,24,3.4,,,,,0.0,10.5,13.1,0.0,3.6,100.0,4.1,36,101,,-0.1,0.0,0.0,-0.073
