Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Natalie Achonwa,IND,F,24,195,24,195,17.0,.575,.545,.000,.303,10.4,15.6,5.7,2.7,0.4,13.8,20.2,108,102,,0.4,0.3,0.6,.130
Matee Ajavon,ATL,G,32,338,32,338,6.4,.387,.318,.110,.339,6.4,8.8,18.7,1.8,1.8,19.6,21.6,81,105,,-0.8,0.4,-0.4,-0.049
Kayla Alexander,SAS,C,25,489,25,489,17.0,.596,.546,.000,.433,11.2,13.8,5.3,1.2,2.1,14.3,18.5,111,106,,1.1,0.5,1.5,.124
Rebecca Allen,NYL,F-G,21,280,21,280,14.7,.574,.546,.306,.153,4.9,7.1,6.9,1.6,3.2,11.1,18.4,110,102,,0.5,0.4,0.9,.134
Ameryst Alston,NYL,G,1,0,1,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,
Jayne Appel-Marinelli,SAS,C,34,786,34,786,9.8,.491,.429,.034,.412,6.1,14.0,15.5,2.0,3.5,27.8,11.4,91,101,,-0.4,1.3,0.9,.046
Seimone Augustus*,MIN,G-F,29,765,29,765,12.6,.509,.482,.130,.153,2.3,6.7,15.1,1.0,1.2,14.7,21.8,98,102,,0.3,1.2,1.5,.080
Rachel Banham,CON,G,15,164,15,164,10.9,.547,.541,.755,.061,0.7,4.0,13.2,2.5,0.5,13.7,15.4,107,106,,0.2,0.1,0.3,.084
Mistie Bass,PHO,F,33,434,33,434,10.0,.522,.463,.000,.338,8.0,9.0,9.0,1.9,1.9,17.9,11.8,106,106,,0.4,0.4,0.8,.073
Vicki Baugh,SAS,F-C,11,148,11,148,10.8,.595,.576,.000,.273,12.6,16.6,3.8,1.4,1.6,27.5,15.9,94,104,,0.0,0.2,0.2,.041
Alana Beard,LAS,G-F,34,997,34,997,11.0,.519,.498,.178,.182,4.2,7.0,10.9,3.0,1.6,15.7,12.9,102,98,,0.6,2.0,2.6,.104
Evgeniya Belyakova,LAS,F,21,238,21,238,4.1,.360,.343,.519,.296,1.1,4.0,8.9,2.9,0.3,11.6,13.6,78,101,,-0.4,0.4,0.0,-0.003
Alex Bentley,CON,G,34,979,34,979,11.3,.467,.440,.383,.148,1.1,3.9,14.5,1.6,0.2,9.5,22.8,98,109,,0.5,0.5,0.9,.039
Tiffany Bias,DAL,G,10,64,10,64,7.3,.513,.413,.478,.522,1.7,4.5,16.7,1.6,0.0,28.0,26.5,84,113,,-0.1,0.0,-0.2,-0.099
