Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Matee Ajavon,WAS,G,34,587,34,587,12.4,.451,.391,.324,.435,5.4,6.5,11.8,3.2,0.5,14.2,25.9,93,98,,0.1,0.9,0.9,.064
Nicky Anosike,MIN,F-C,30,896,30,896,24.2,.565,.492,.015,.732,9.6,15.1,16.6,4.6,2.5,14.8,20.3,113,97,,3.1,1.4,4.6,.205
La'Tangela Atkinson,SEA,G-F,2,46,2,46,20.1,.282,.250,.125,.250,17.3,25.2,18.0,11.9,2.0,31.1,13.2,76,69,,-0.1,0.3,0.2,.165
Seimone Augustus*,MIN,G-F,6,178,6,178,30.9,.661,.622,.163,.244,2.6,8.6,12.2,3.4,1.3,12.0,26.9,119,103,,0.9,0.1,1.0,.236
Sherill Baker,DET,G,1,11,1,11,33.3,.810,.667,.000,1.000,11.0,5.4,17.5,4.7,0.0,18.8,21.5,143,99,,0.1,0.0,0.1,.406
Mistie Bass,CHI,F,8,126,8,126,18.3,.532,.513,.051,.410,11.8,13.1,4.6,2.1,1.9,8.0,18.2,111,104,,0.3,0.1,0.4,.130
Suzy Batkovic-Brown,SEA,C,20,147,20,147,5.0,.505,.523,.256,.186,8.1,12.7,5.4,1.9,3.7,34.0,22.6,70,95,,-0.6,0.3,-0.3,-0.075
Ashley Battle,NYL,F,34,548,34,548,12.0,.526,.490,.311,.311,3.7,9.4,13.6,3.0,0.3,23.6,18.7,90,97,,-0.2,1.0,0.8,.058
Alana Beard,WAS,G-F,31,985,31,985,16.7,.504,.466,.244,.260,2.3,7.5,14.2,3.7,1.5,17.0,25.9,95,95,,0.6,1.9,2.5,.101
Tully Bevilaqua,IND,G,34,861,34,861,12.3,.510,.478,.591,.298,1.6,5.6,20.0,3.8,0.8,19.0,13.2,100,94,,0.8,1.8,2.5,.118
Sue Bird,SEA,G,31,1101,31,1101,15.6,.502,.480,.398,.109,1.4,4.6,32.1,2.3,0.2,17.0,20.4,102,100,,1.7,1.4,3.1,.112
Chante Black,CON,C,33,428,33,428,10.1,.437,.380,.011,.467,10.3,14.2,2.3,1.6,5.0,18.4,14.1,88,96,,-0.2,0.8,0.6,.056
Nikki Blue,WAS,G,16,91,16,91,6.4,.423,.354,.375,.417,2.6,6.6,21.9,3.9,0.0,31.4,19.7,75,96,,-0.2,0.2,-0.1,-0.035
Shannon Bobbitt,LAS,G,33,353,33,353,6.7,.391,.353,.435,.153,3.9,5.6,20.7,2.3,0.2,23.6,15.1,83,100,,-0.4,0.4,0.1,.007
Whitney Boddie,SAC,G,4,9,4,9,8.4,1.000,1.000,.000,.000,0.0,0.0,0.0,5.8,0.0,50.0,9.8,76,100,,0.0,0.0,0.0,.002
DeWanna Bonner,PHO,F-G,34,724,34,724,21.1,.551,.460,.047,.554,11.6,15.1,2.8,1.5,2.4,9.0,22.0,114,103,,2.7,0.5,3.2,.178
Kara Braxton,DET,C-F,28,504,28,504,22.2,.552,.527,.000,.308,15.8,19.9,16.5,2.0,3.1,18.3,24.6,104,95,,1.2,1.0,2.2,.175
Kiesha Brown,CON,G,34,393,34,393,11.2,.490,.455,.439,.179,2.5,7.9,16.9,1.7,0.6,17.9,18.3,93,100,,0.0,0.5,0.5,.054
Rebekkah Brunson,SAC,F,27,665,27,665,22.3,.549,.486,.004,.416,12.6,17.9,2.7,3.1,2.0,13.0,23.0,109,98,,2.0,1.1,3.0,.183
Janell Burse,SEA,C,34,541,34,541,16.9,.574,.510,.000,.552,7.6,12.7,3.6,2.1,5.1,16.3,18.7,106,94,,1.0,1.2,2.2,.164
Dominique Canty,CHI,G,34,776,34,776,11.0,.475,.392,.057,.613,2.9,4.9,24.0,1.9,0.5,18.8,17.9,97,108,,0.6,0.0,0.6,.031
Essence Carson,NYL,G,34,859,34,859,12.6,.497,.461,.318,.150,3.4,5.1,10.7,2.3,1.0,13.6,21.4,95,101,,0.4,1.0,1.3,.062
Swin Cash*,SEA,F,32,1094,32,1094,12.8,.474,.406,.087,.361,7.5,12.6,14.4,1.4,1.3,18.1,21.6,94,98,,0.3,1.7,2.0,.075
Iziane Castro Marques,ATL,F-G,34,915,34,915,14.6,.503,.469,.319,.204,2.5,4.7,12.6,1.9,0.2,14.6,25.8,98,102,,1.1,0.8,1.8,.080
Tamika Catchings*,IND,F,34,1084,34,1084,23.0,.526,.435,.300,.445,9.2,13.7,19.8,4.8,1.4,15.3,23.9,107,89,,3.0,3.1,6.1,.225
Shameka Christon,NYL,G,32,1014,32,1014,19.5,.574,.504,.533,.386,3.4,9.3,11.0,1.5,2.3,11.1,23.1,111,99,,3.4,1.4,4.8,.189
Kristi Cirone,CON,G,4,23,4,23,21.5,.554,.500,.600,.600,0.0,12.3,28.7,4.5,0.0,0.0,12.2,137,90,,0.1,0.1,0.2,.287
Marissa Coleman,WAS,G-F,28,525,28,525,10.8,.478,.431,.503,.283,4.9,8.6,7.3,1.9,1.4,16.0,17.5,95,99,,0.2,0.7,0.9,.071
Monique Currie,WAS,F,34,728,34,728,15.2,.509,.406,.240,.585,6.1,12.0,14.7,2.0,1.5,17.3,19.6,103,97,,1.2,1.2,2.4,.131
Helen Darling,SAS,G,34,642,34,642,7.6,.390,.307,.404,.505,2.7,5.9,24.7,2.5,0.6,23.1,12.6,90,104,,-0.1,0.4,0.3,.016
Jessica Davenport,IND,C,26,181,26,181,14.2,.564,.527,.000,.364,9.6,13.4,6.9,2.0,6.6,24.8,21.1,92,92,,0.0,0.4,0.5,.100
Tanae Davis-Cain,DET,G,1,4,1,4,-0.8,.184,.200,.600,.200,60.4,30.0,0.0,0.0,0.0,0.0,60.4,62,109,,-0.1,0.0,-0.1,-0.531
Anna DeForge,DET,G,7,113,7,113,4.5,.278,.278,.222,.000,6.4,10.6,13.4,1.8,0.0,28.0,9.8,70,100,,-0.2,0.1,-0.1,-0.028
Erika de Souza,ATL,F-C,34,928,34,928,20.0,.553,.528,.000,.295,14.6,19.0,6.8,1.7,3.6,16.1,19.4,108,95,,2.2,1.8,4.0,.175
Tamecka Dixon,IND,G,32,424,32,424,9.7,.461,.425,.075,.157,2.7,7.3,17.0,1.5,0.6,15.9,18.1,92,99,,0.0,0.6,0.6,.056
Scholanda Dorrell,SAC,G,34,633,34,633,9.6,.486,.430,.130,.451,3.8,5.3,7.5,2.7,0.9,18.9,19.9,91,104,,-0.1,0.4,0.3,.017
Katie Douglas,IND,G-F,31,1003,31,1003,20.4,.533,.481,.412,.266,2.8,7.2,18.6,2.9,0.6,12.8,26.4,104,96,,2.4,1.9,4.3,.171
Candice Dupree,CHI,F,34,1186,34,1186,18.9,.501,.454,.130,.273,7.9,13.8,12.4,1.6,2.8,13.2,23.8,101,103,,1.9,0.9,2.8,.093
Shyra Ely-Gash,CHI,F,34,497,34,497,15.0,.519,.475,.299,.254,5.5,10.8,7.9,1.3,1.3,13.9,24.0,99,106,,0.6,0.2,0.8,.062
Lauren Ervin,CON,F,8,56,8,56,9.0,.447,.471,.000,.118,7.6,13.2,0.0,0.9,0.0,10.1,15.8,88,100,,0.0,0.1,0.0,.029
Barbara Farris,DET,F-C,13,110,13,110,4.6,.530,.222,.000,1.778,3.3,9.8,6.6,2.4,0.0,35.9,10.1,84,98,,-0.1,0.2,0.1,.032
Marie Ferdinand-Harris,LAS,G,28,339,28,339,15.0,.499,.444,.163,.274,6.3,7.3,13.3,2.4,0.5,12.7,23.0,102,99,,0.6,0.5,1.1,.125
Cheryl Ford,DET,F,29,755,29,755,12.5,.459,.427,.013,.441,11.4,17.1,5.8,1.9,1.5,15.3,18.8,93,96,,0.2,1.3,1.5,.080
Sylvia Fowles,CHI,C,24,692,24,692,17.1,.626,.599,.000,.576,9.3,16.6,5.2,1.6,4.1,26.1,19.3,98,100,,0.7,0.8,1.5,.085
A'Quonesia Franklin,SEA,G,2,20,2,20,-6.7,.000,.000,.500,.000,0.0,6.4,7.7,2.7,0.0,20.0,11.8,12,97,,-0.1,0.0,-0.1,-0.200
Megan Frazee,SAS,F,29,326,29,326,16.0,.506,.468,.294,.310,10.4,16.0,9.0,1.3,1.2,12.8,23.5,100,102,,0.5,0.3,0.8,.097
Kerri Gardin,CON,F,33,596,33,596,13.8,.454,.396,.245,.560,9.7,13.6,11.0,2.2,3.2,16.1,17.6,94,96,,0.2,1.1,1.3,.087
Katie Gearlds,SEA,G-F,20,243,20,243,12.0,.541,.534,.703,.054,2.2,6.9,8.6,1.3,1.1,13.7,17.0,102,100,,0.3,0.3,0.6,.097
Yolanda Griffith*,IND,C-F,3,41,3,41,16.1,.595,.500,.000,.750,11.3,10.3,0.0,0.0,4.1,15.8,20.9,110,101,,0.1,0.0,0.2,.162
Sandrine Gruda,CON,F-C,26,810,26,810,14.9,.485,.467,.000,.266,8.7,11.6,8.5,1.5,4.0,15.9,23.5,91,98,,-0.1,1.2,1.1,.055
Becky Hammon*,SAS,G,31,1049,31,1049,23.5,.593,.532,.461,.318,3.0,6.1,30.8,2.5,0.9,17.9,27.6,109,104,,3.8,0.7,4.5,.171
Lindsey Harding,WAS,G,34,1194,34,1194,14.6,.509,.461,.165,.317,2.3,6.8,23.8,1.8,0.9,19.1,19.2,100,100,,1.4,1.4,2.8,.095
Laura Harper,SAC,F-C,33,460,33,460,13.0,.493,.388,.000,.707,14.7,15.4,7.3,1.5,4.1,21.6,18.6,97,102,,0.3,0.4,0.7,.064
Kristi Harrower,LAS,G,31,520,31,520,9.0,.419,.396,.351,.099,4.1,6.6,21.2,1.6,0.0,18.9,12.3,95,101,,0.2,0.6,0.7,.054
Vanessa Hayden,LAS,C,25,269,25,269,11.8,.443,.411,.000,.263,12.6,15.0,4.0,0.8,7.0,15.2,20.9,90,95,,-0.1,0.5,0.5,.067
Roneeka Hodges,MIN,G,33,902,33,902,14.7,.565,.540,.620,.120,2.6,6.7,12.6,1.2,1.3,11.0,16.0,113,108,,2.3,-0.1,2.2,.097
Ebony Hoffman,IND,F,34,1005,34,1005,12.5,.487,.430,.230,.246,6.5,12.0,9.9,3.0,1.0,19.1,19.2,92,93,,0.0,2.2,2.2,.088
Chamique Holdsclaw,ATL,F,25,708,25,708,14.9,.483,.423,.094,.292,4.6,8.8,13.2,2.3,0.7,17.1,25.4,94,99,,0.3,1.0,1.2,.070
Quanitra Hollingsworth,MIN,C,34,434,34,434,13.0,.512,.417,.000,.758,12.7,15.5,2.0,1.4,1.4,17.5,19.8,99,106,,0.5,0.2,0.7,.060
Amber Holt,CON,F,23,380,23,380,14.6,.468,.378,.407,.431,3.7,11.1,19.7,1.2,0.4,8.7,18.8,105,99,,0.7,0.5,1.2,.130
Alexis Hornbuckle,DET,G,32,850,32,850,10.4,.455,.439,.300,.225,6.5,11.1,16.7,2.6,0.9,22.8,15.8,89,98,,-0.3,1.3,1.0,.049
Charde Houston,MIN,F,34,792,34,792,21.6,.530,.496,.184,.263,6.5,14.3,15.9,2.8,2.1,13.2,27.0,103,101,,1.8,0.8,2.6,.133
Lauren Jackson*,SEA,F-C,26,843,26,843,26.1,.586,.530,.314,.394,7.5,13.9,5.8,2.5,4.8,9.2,26.2,116,92,,3.9,2.0,5.9,.279
Tiffany Jackson-Jones,NYL,F,34,495,34,495,14.4,.508,.450,.000,.430,8.5,14.1,9.4,2.3,2.3,19.5,20.7,93,95,,0.1,1.0,1.1,.087
Briann January,IND,G,33,683,33,683,11.7,.493,.398,.453,.453,3.9,5.6,20.5,2.8,0.4,19.8,19.0,97,98,,0.5,1.1,1.6,.093
Anete Jekabsone-Zogota,CON,G,27,644,27,644,11.5,.518,.498,.423,.120,2.0,6.9,16.9,0.7,0.0,16.3,20.3,96,103,,0.4,0.5,0.9,.053
Shannon Johnson,SEA,G,34,618,34,618,8.5,.522,.421,.570,.514,3.0,6.5,14.3,2.4,1.0,28.4,14.0,91,98,,-0.1,0.9,0.8,.054
Temeka Johnson,PHO,G,34,901,34,901,14.4,.541,.509,.310,.178,1.1,7.4,25.7,1.5,0.3,20.1,17.7,104,107,,1.5,0.2,1.7,.075
Vickie Johnson,SAS,G-F,32,737,32,737,12.6,.518,.489,.303,.146,3.9,9.1,18.5,1.2,0.4,16.5,15.0,103,105,,1.0,0.3,1.3,.070
Asjha Jones,CON,F,23,727,23,727,18.7,.513,.476,.047,.236,6.3,10.6,16.3,1.4,1.4,11.6,25.9,101,99,,1.3,0.9,2.2,.124
Cathrine Kraayeveld,NYL,F,34,888,34,888,11.5,.538,.511,.545,.186,4.3,10.5,6.7,1.3,1.3,18.8,18.4,94,99,,0.2,1.2,1.4,.064
Jennifer Lacy,ATL,F,32,362,32,362,5.8,.395,.346,.178,.308,10.0,11.0,3.6,1.2,1.5,16.5,16.7,84,101,,-0.3,0.4,0.0,.003
Crystal Langhorne,WAS,F-C,34,1013,34,1013,18.9,.606,.574,.007,.419,11.6,15.8,5.5,1.7,1.0,18.4,17.6,110,98,,2.6,1.6,4.2,.166
