Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Crystal Dangerfield,DAL,G,35,973,35,973,11.5,.492,.473,.332,.096,3.1,5.9,16.2,1.7,0.6,12.3,14.4,107,109,,1.1,0.5,1.6,.066
Elena Delle Donne,WAS,F-G,23,633,23,633,23.0,.583,.526,.208,.273,3.6,11.6,15.6,1.5,3.0,8.4,25.9,112,101,,1.9,1.1,2.9,.185
Jasmine Dickey,DAL,G,14,87,14,87,4.9,.396,.382,.029,.176,9.0,7.2,1.7,2.3,1.0,12.0,20.2,84,108,,-0.2,0.1,-0.1,-0.043
Ivana Dojkić,SEA,G,23,461,23,461,11.2,.544,.500,.462,.361,1.0,4.9,23.9,2.0,0.7,20.2,16.6,101,108,,0.3,0.3,0.6,.053
Stefanie Dolson,NYL,C,23,273,23,273,11.1,.627,.603,.382,.206,5.7,9.4,14.8,0.2,1.8,22.1,15.5,109,105,,0.4,0.3,0.7,.108
AD Durr,ATL,G,36,392,36,392,9.1,.480,.439,.362,.239,0.9,5.4,11.1,1.3,0.6,13.5,23.2,89,106,,-0.4,0.4,-0.1,-0.008
Emily Engstler,MIN,F,12,93,12,93,9.5,.428,.429,.333,.381,13.8,18.1,11.7,2.7,0.9,29.0,16.8,82,103,,-0.2,0.1,-0.1,-0.023
Dana Evans,CHI,G,39,837,39,837,11.8,.485,.425,.444,.276,1.0,3.3,22.6,1.6,0.4,14.4,22.5,97,109,,0.2,0.4,0.6,.029
Dulcy Fankam Mendjiadeu,SEA,F-C,34,470,34,470,12.3,.538,.523,.009,.374,13.8,18.0,4.4,1.4,2.0,18.9,14.5,102,105,,0.4,0.5,0.9,.075
Cayla George,LVA,C-F,32,273,32,273,1.8,.356,.361,.615,.029,6.8,12.3,6.5,1.8,1.5,20.4,21.8,68,100,,-1.2,0.5,-0.7,-0.106
Rebekah Gardner,CHI,G,3,59,3,59,17.4,.631,.536,.357,.429,1.9,11.0,17.9,5.2,1.4,23.1,16.4,110,97,,0.1,0.1,0.2,.164
Cyesha Goree,WAS,F,10,116,10,116,10.3,.556,.516,.438,.219,6.9,6.1,1.5,1.3,0.8,10.2,15.4,106,107,,0.1,0.1,0.2,.077
Allisha Gray,ATL,G,38,1244,38,1244,18.8,.578,.510,.251,.435,4.2,8.4,17.3,1.6,1.0,11.2,22.2,113,105,,3.5,1.4,5.0,.161
Chelsea Gray,LVA,G,40,1288,40,1288,21.8,.603,.560,.331,.233,1.1,7.1,34.0,2.2,1.6,16.6,21.2,117,100,,4.6,2.3,7.0,.216
Brittney Griner,PHO,C,31,856,31,856,25.1,.603,.561,.023,.348,5.7,14.1,17.6,1.0,4.9,12.8,28.2,110,107,,2.4,0.7,3.1,.146
Arella Guirantes,SEA,G,9,47,9,47,4.8,.330,.281,.375,.313,2.4,7.2,10.5,1.1,7.2,14.2,20.0,69,105,,-0.2,0.1,-0.1,-0.110
Megan Gustafson,PHO,C,34,514,34,514,20.2,.608,.564,.222,.320,11.4,15.8,9.5,1.3,2.3,14.3,23.5,111,109,,1.3,0.3,1.6,.124
Dearica Hamby,LAS,F,40,990,40,990,12.8,.491,.446,.134,.418,6.0,14.4,12.5,1.7,1.1,13.8,19.4,96,102,,0.0,1.6,1.6,.065
Linnae Harper,WAS,G,14,73,14,73,2.5,.385,.385,.423,.000,4.7,7.3,9.0,1.4,0.0,13.3,18.8,77,106,,-0.2,0.1,-0.1,-0.068
Tyasha Harris,CON,G,40,668,40,668,10.6,.523,.510,.402,.120,0.9,3.0,16.5,2.2,0.4,15.7,17.7,97,104,,0.1,0.8,0.9,.055
Bernadett Hatar,CON,C,6,47,6,47,5.4,.375,.375,.000,.000,7.6,11.5,3.4,4.4,3.9,20.0,19.3,69,94,,-0.2,0.1,0.0,-0.040
Tianna Hawkins,WAS,F,40,923,40,923,14.5,.570,.545,.328,.196,7.5,12.7,10.5,1.8,1.4,14.0,16.6,107,102,,1.3,1.4,2.8,.119
Tiffany Hayes,CON,G,40,1082,40,1082,16.0,.590,.544,.371,.357,4.2,6.6,16.4,1.6,0.3,12.1,19.5,114,105,,2.9,1.3,4.2,.154
Ruthy Hebard,CHI,F,19,175,19,175,20.5,.607,.585,.000,.377,11.8,15.5,6.8,1.5,3.3,6.1,16.8,126,104,,0.7,0.2,0.9,.200
Natisha Hiedeman,CON,G,40,1066,40,1066,9.3,.507,.486,.513,.146,0.9,4.7,15.7,1.7,0.3,14.6,16.7,97,105,,0.2,1.3,1.5,.055
Naz Hillmon,ATL,F,40,541,40,541,11.7,.587,.509,.009,.466,10.4,14.2,8.0,0.7,0.5,21.8,14.5,107,105,,0.7,0.6,1.2,.092
Khaalia Hillsman,CHI,C,1,1,1,1,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,115,,0.0,0.0,0.0,-0.015
Myisha Hines-Allen,WAS,F,35,617,35,617,9.4,.419,.381,.307,.214,6.8,14.7,20.7,1.9,0.9,18.1,21.3,86,101,,-1.1,1.1,0.0,.001
Jordan Horston,SEA,F,36,806,36,806,9.1,.418,.385,.149,.189,6.5,12.8,12.7,2.7,2.2,19.2,20.3,81,103,,-1.9,1.2,-0.7,-0.034
Natasha Howard,DAL,F,39,1289,39,1289,17.5,.536,.494,.236,.250,7.3,13.8,12.6,1.9,3.1,15.4,23.1,105,104,,2.0,1.7,3.7,.114
Rhyne Howard,ATL,G,39,1283,39,1283,16.7,.516,.469,.479,.281,2.3,8.4,19.4,2.0,1.7,10.2,25.1,103,103,,1.6,1.9,3.5,.108
Lexie Hull,IND,G,30,619,30,619,7.3,.446,.417,.414,.152,6.7,8.0,7.8,2.5,1.3,16.2,13.4,92,108,,-0.2,0.4,0.2,.011
Sabrina Ionescu,NYL,G,36,1134,36,1134,20.7,.602,.562,.620,.236,3.1,10.1,27.3,1.7,0.7,15.6,23.7,115,102,,3.8,1.8,5.6,.197
Moriah Jefferson,PHO,G,39,972,39,972,14.0,.507,.483,.281,.131,1.2,4.9,26.8,2.3,0.6,13.5,22.4,99,111,,0.6,0.2,0.8,.031
Marine Johannes,NYL,G,35,662,35,662,10.1,.556,.544,.707,.093,1.4,4.3,13.2,1.8,0.2,17.4,18.2,99,105,,0.3,0.8,1.0,.062
Brionna Jones,CON,F,13,412,13,412,22.9,.625,.579,.029,.414,11.9,15.4,13.6,3.0,1.5,14.9,21.4,117,98,,1.4,0.9,2.3,.225
Haley Jones,ATL,F-G,40,584,40,584,6.7,.405,.355,.169,.247,2.7,9.0,24.8,1.4,1.7,22.7,17.8,82,104,,-1.2,0.8,-0.4,-0.028
Jonquel Jones,NYL,C,40,1001,40,1001,20.1,.613,.575,.272,.240,12.3,19.1,11.8,1.2,4.2,18.4,20.1,113,98,,2.5,2.2,4.7,.189
Dorka Juhász,MIN,F,38,919,38,919,14.5,.516,.505,.241,.251,8.3,15.6,17.2,2.0,2.2,17.5,13.2,106,104,,1.0,1.2,2.1,.093
Sika Koné,CHI,F,20,186,20,186,12.9,.616,.553,.128,.553,13.6,18.7,8.5,0.8,0.4,26.4,19.1,103,106,,0.2,0.2,0.4,.083
Awak Kuier,DAL,F,37,399,37,399,10.3,.462,.407,.253,.297,6.4,13.4,7.0,0.9,5.3,17.6,13.2,95,105,,0.0,0.5,0.4,.044
Betnijah Laney,NYL,G-F,40,1201,40,1201,13.8,.596,.574,.382,.167,3.0,6.2,12.8,1.4,0.3,14.8,18.7,109,105,,2.0,1.4,3.4,.114
Jewell Loyd,SEA,G,38,1344,38,1344,20.1,.524,.445,.419,.371,3.4,7.5,20.2,1.4,1.0,10.6,33.0,104,108,,2.6,0.8,3.4,.102
Marina Mabrey,CHI,G,39,1169,39,1169,15.9,.542,.502,.464,.224,3.3,7.4,20.3,1.3,1.3,13.8,23.9,105,108,,1.8,0.8,2.6,.089
Ezi Magbegor,SEA,F-C,40,1304,40,1304,18.0,.576,.548,.184,.291,5.5,14.0,14.8,1.7,4.8,16.5,19.4,105,102,,1.8,2.0,3.8,.117
Kayla McBride,MIN,G,38,1208,38,1208,14.5,.560,.518,.551,.222,1.4,5.9,12.3,2.0,0.4,11.8,20.6,105,109,,1.6,0.7,2.2,.074
Teaira McCowan,DAL,C,30,783,30,783,20.7,.567,.551,.015,.364,14.9,19.7,9.3,1.0,3.9,12.7,19.5,115,104,,2.2,1.0,3.2,.166
Aari McDonald,ATL,G,24,565,24,565,10.2,.518,.479,.476,.256,1.2,4.8,21.1,1.3,0.0,17.6,17.2,98,107,,0.2,0.5,0.6,.043
Jade Melbourne,SEA,G,29,307,29,307,6.5,.495,.414,.313,.453,2.2,6.3,18.6,2.0,0.3,25.3,14.8,90,108,,-0.2,0.2,0.0,.001
Li Meng,WAS,G,34,539,34,539,8.9,.541,.512,.738,.159,1.3,3.9,10.7,0.9,0.2,13.8,17.3,98,108,,0.1,0.4,0.5,.037
Abby Meyers,WAS,G,9,36,9,36,8.8,.454,.385,.308,.231,3.2,6.5,0.0,1.4,5.2,6.5,19.5,89,102,,0.0,0.1,0.0,.027
Taylor Mikesell,ATL,G,6,29,6,29,21.7,.723,.650,.700,.400,0.0,3.9,12.4,0.0,0.0,7.8,19.3,136,110,,0.2,0.0,0.2,.226
Nikolina Milic,MIN,F,39,494,39,494,12.1,.533,.484,.115,.292,6.6,10.9,12.2,0.4,0.9,16.2,23.7,98,111,,0.2,0.1,0.3,.025
Diamond Miller,MIN,F,32,834,32,834,12.3,.497,.448,.291,.277,3.1,7.9,17.1,1.8,1.2,15.8,25.0,93,108,,-0.4,0.6,0.2,.007
Kelsey Mitchell,IND,G,40,1349,40,1349,16.6,.580,.533,.461,.297,1.1,2.9,16.4,1.4,0.1,12.8,23.9,110,113,,3.4,-0.1,3.3,.098
