Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Farhiya Abdi,LAS,F,18,237,18,237,5.4,.420,.411,.418,.089,2.8,7.8,6.5,1.6,0.7,13.7,19.6,79,103,,-0.4,0.1,-0.3,-0.046
Natalie Achonwa,IND,F,28,484,28,484,18.9,.594,.550,.000,.394,9.8,12.4,7.0,1.5,2.2,16.5,21.0,109,100,,1.4,0.6,2.0,.162
Danielle Adams,SAS,F-C,30,482,30,482,15.7,.521,.471,.356,.272,7.9,12.2,6.2,1.5,1.4,14.7,24.1,95,101,,0.4,0.4,0.8,.066
Matee Ajavon,ATL,G,33,580,33,580,13.7,.500,.414,.110,.448,4.2,8.5,23.4,4.1,0.7,23.5,18.9,95,98,,0.3,0.8,1.1,.074
Kayla Alexander,SAS,C,29,358,29,358,10.8,.462,.416,.000,.382,9.3,15.6,3.2,0.9,5.0,18.8,16.6,86,99,,-0.2,0.5,0.2,.024
Rebecca Allen,NYL,F-G,2,34,2,34,7.4,.300,.300,.400,.000,7.0,15.6,0.0,4.7,5.0,23.1,17.5,56,83,,-0.2,0.1,0.0,-0.032
Jayne Appel-Marinelli,SAS,C,30,673,30,673,9.8,.427,.382,.039,.333,6.5,16.3,10.6,1.8,4.2,25.5,10.8,82,96,,-0.6,1.1,0.6,.034
Seimone Augustus*,MIN,G-F,16,481,16,481,16.0,.482,.447,.106,.119,2.2,5.6,15.6,1.0,0.8,7.6,24.1,99,100,,0.7,0.5,1.2,.100
Valeriane Ayayi,SAS,F,16,147,16,147,7.0,.362,.354,.438,.146,6.2,11.2,7.7,2.9,2.5,15.0,19.0,72,98,,-0.4,0.2,-0.2,-0.052
Mistie Bass,PHO,F,33,458,33,458,17.6,.530,.514,.009,.404,11.0,13.0,9.5,3.1,4.1,14.1,15.8,106,93,,0.9,1.0,1.9,.166
Vicki Baugh,TUL,F-C,34,533,34,533,14.5,.529,.473,.007,.418,10.1,15.3,7.0,1.8,1.8,19.9,18.1,99,100,,0.6,0.5,1.2,.089
Alana Beard,LAS,G-F,15,365,15,365,13.9,.522,.500,.110,.100,1.1,7.3,18.4,2.6,1.5,16.1,16.6,98,100,,0.3,0.4,0.7,.075
Alex Bentley,CON,G,25,749,25,749,17.4,.496,.465,.334,.153,0.2,4.1,12.9,3.5,0.5,7.3,24.7,102,101,,1.4,0.7,2.1,.112
Tiffany Bias,PHO,G,15,95,15,95,6.6,.442,.414,.414,.207,0.0,1.3,20.3,1.1,0.0,15.9,19.1,87,104,,-0.1,0.0,0.0,-0.009
Sue Bird,SEA,G,27,773,27,773,13.7,.462,.428,.297,.176,0.8,5.1,36.4,1.6,0.2,18.0,22.9,90,104,,-0.1,0.4,0.3,.013
Abby Bishop,SEA,F,26,509,26,509,9.0,.480,.470,.519,.096,1.8,11.0,8.8,2.0,3.2,16.6,16.0,84,98,,-0.4,0.7,0.3,.024
Kelsey Bone,CON,C,34,961,34,961,19.8,.526,.508,.007,.222,6.2,13.7,14.8,1.5,1.6,13.7,27.1,100,101,,1.8,0.9,2.7,.110
DeWanna Bonner,PHO,F-G,33,1099,33,1099,21.0,.514,.414,.282,.483,4.2,10.1,18.8,2.2,2.0,10.6,24.9,106,96,,3.1,1.9,5.0,.182
Brittany Boyd,NYL,G,30,430,30,430,19.0,.507,.417,.199,.669,4.7,11.1,29.7,4.3,0.4,19.7,25.8,98,89,,0.6,1.2,1.8,.172
Crystal Bradford,LAS,F,15,142,15,142,5.7,.359,.333,.481,.130,3.7,8.7,8.3,2.3,1.1,8.1,21.3,78,101,,-0.3,0.1,-0.2,-0.048
Jessica Breland,CHI,F,33,706,33,706,17.1,.496,.471,.000,.148,11.6,15.8,9.3,1.7,3.8,12.5,16.1,107,98,,1.4,1.0,2.4,.137
Rebekkah Brunson,MIN,F,34,945,34,945,16.5,.510,.457,.017,.281,10.9,17.2,10.8,2.1,2.4,17.0,15.4,103,92,,1.5,2.2,3.7,.155
Cierra Burdick,ATL,F,11,208,11,208,12.0,.510,.425,.025,.400,5.6,10.2,10.2,2.5,2.4,16.1,11.6,105,101,,0.3,0.2,0.5,.094
Essence Carson,NYL,G,33,642,33,642,9.9,.450,.410,.239,.215,3.3,6.9,11.9,1.2,0.8,12.5,18.2,93,97,,0.1,1.0,1.1,.068
Sydney Carter,ATL,G,26,295,26,295,4.0,.316,.243,.417,.278,2.0,4.7,15.8,1.6,0.6,15.7,14.0,77,106,,-0.5,0.0,-0.4,-0.057
Swin Cash*,NYL,F,34,592,34,592,8.4,.466,.404,.241,.390,4.6,8.2,13.3,0.8,0.4,18.3,15.6,93,98,,0.1,0.8,0.9,.063
Tamika Catchings*,IND,F,30,799,30,799,22.9,.503,.410,.187,.440,7.6,16.5,15.9,3.6,2.5,11.4,25.0,106,92,,2.4,1.9,4.2,.212
Tina Charles,NYL,C,34,1053,34,1053,21.0,.493,.459,.009,.245,8.1,16.1,17.3,1.2,1.9,12.2,29.1,99,93,,1.8,2.4,4.2,.158
Karima Christmas-Kelly,TUL,F-G,32,919,32,919,17.5,.539,.459,.325,.522,8.6,10.1,10.6,2.0,0.8,11.1,17.1,116,103,,3.1,0.5,3.6,.155
Shameka Christon,PHO,G,12,76,12,76,14.4,.555,.500,.571,.214,1.7,3.9,17.8,1.4,0.0,8.9,21.4,111,102,,0.2,0.1,0.3,.156
Layshia Clarendon,IND,G,29,602,29,602,11.7,.513,.483,.185,.197,5.5,8.0,17.0,1.7,0.0,20.0,17.7,97,102,,0.5,0.5,1.0,.067
Alysha Clark,SEA,F,33,763,33,763,12.9,.646,.620,.430,.253,2.2,9.9,9.3,1.6,0.6,17.0,13.4,109,101,,1.4,0.7,2.1,.110
Courtney Clements,LAS,G,1,5,1,5,-14.5,.000,.000,1.000,.000,0.0,12.4,0.0,0.0,0.0,0.0,19.5,0,104,,-0.1,0.0,-0.1,-0.453
Natasha Cloud,WAS,G,34,657,34,657,9.7,.414,.355,.297,.367,1.9,8.6,28.8,2.4,0.3,24.8,14.3,88,96,,-0.3,1.1,0.8,.051
Marissa Coleman,IND,G-F,34,842,34,842,14.3,.485,.447,.378,.239,4.6,8.8,12.0,2.6,1.0,14.7,23.1,95,99,,0.6,1.1,1.7,.079
Nadia Colhado,ATL,C,6,32,6,32,7.4,.500,.500,.000,.000,3.7,3.8,5.2,1.6,10.5,25.0,10.8,84,100,,0.0,0.0,0.0,.016
Sydney Colson,SAS,G,34,541,34,541,11.3,.486,.444,.206,.327,2.1,4.2,32.0,2.7,1.4,25.5,14.1,92,102,,0.1,0.4,0.5,.037
Carla Cortijo,ATL,G,2,32,2,32,18.5,.651,.611,.222,.444,0.0,1.9,11.6,3.2,0.0,8.5,15.8,129,104,,0.1,0.0,0.2,.195
Anna Cruz,MIN,G,22,640,22,640,11.4,.532,.503,.234,.182,1.8,7.3,17.3,1.8,0.5,22.4,15.6,94,97,,0.2,1.0,1.2,.074
Monique Currie,PHO,F,34,724,34,724,14.3,.514,.466,.304,.233,3.3,9.0,13.0,2.3,1.3,13.9,21.6,97,97,,0.8,1.2,1.9,.106
Ana Dabovic,LAS,G,24,530,24,530,13.3,.556,.506,.361,.313,2.7,4.6,15.5,2.2,0.2,16.7,20.9,101,104,,0.8,0.2,1.0,.078
Elena Delle Donne,CHI,F-G,31,1032,31,1032,32.8,.591,.501,.259,.422,6.8,14.5,7.4,1.6,4.6,5.5,27.9,126,97,,7.3,1.6,8.9,.346
Skylar Diggins-Smith,TUL,G,9,289,9,289,24.9,.542,.456,.230,.389,4.2,4.8,32.1,2.6,0.8,10.9,25.6,117,104,,1.5,0.1,1.6,.226
Stefanie Dolson,WAS,C,34,841,34,841,17.3,.552,.512,.070,.207,7.0,13.6,12.7,1.0,3.2,16.2,22.0,101,95,,1.4,1.5,3.0,.141
Clarissa Dos Santos,CHI,C,31,544,31,544,13.1,.503,.461,.000,.340,11.8,15.2,6.1,1.7,2.5,19.0,16.3,99,99,,0.6,0.6,1.2,.090
