Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Farhiya Abdi,LAS,F,17,122,17,122,8.5,.429,.385,.000,.308,4.1,5.8,11.2,0.8,0.6,8.3,17.9,95,102,,0.1,0.1,0.2,.055
Danielle Adams,SAS,F-C,34,899,34,899,19.0,.525,.479,.323,.376,6.4,10.5,9.6,1.7,2.2,11.6,26.6,102,103,,2.0,0.5,2.5,.109
Matee Ajavon,WAS,G,34,772,34,772,12.2,.483,.400,.238,.456,3.7,4.4,23.0,2.2,0.3,19.3,22.4,94,102,,0.5,0.6,1.1,.055
Kayla Alexander,SAS,C,33,371,33,371,8.7,.473,.417,.000,.357,12.6,15.6,4.6,0.6,3.0,26.5,16.2,85,104,,-0.3,0.1,-0.1,-0.016
Jayne Appel-Marinelli,SAS,C,29,768,29,768,16.5,.596,.583,.025,.405,10.6,19.7,12.7,1.8,3.8,23.6,11.0,110,98,,1.4,1.1,2.5,.131
Seimone Augustus*,MIN,G-F,31,922,31,922,21.5,.570,.540,.167,.160,3.2,6.2,14.2,1.0,1.6,9.2,23.9,113,100,,3.6,0.9,4.5,.197
Mistie Bass,CON,F,33,593,33,593,18.5,.571,.550,.000,.404,8.9,13.6,10.2,1.9,3.6,19.2,18.7,102,97,,1.0,0.9,1.9,.129
Alana Beard,LAS,G-F,32,703,32,703,10.5,.498,.462,.043,.184,2.3,6.1,9.7,2.9,1.1,17.4,15.6,93,96,,0.2,1.1,1.3,.075
Alex Bentley,ATL,G,34,753,34,753,12.6,.467,.447,.299,.134,1.6,3.6,21.8,2.3,0.3,11.5,19.5,98,99,,0.9,0.9,1.7,.092
Chante Black,SAS,C,1,10,1,10,1.8,.500,.500,.000,.000,10.8,11.7,0.0,0.0,7.9,50.0,18.2,55,104,,-0.1,0.0,-0.1,-0.206
Kelsey Bone,NYL,C,34,663,34,663,12.7,.487,.460,.005,.265,12.5,15.6,7.3,1.0,1.4,17.8,19.7,93,100,,0.2,0.7,0.9,.056
DeWanna Bonner,PHO,F-G,34,1119,34,1119,18.4,.550,.479,.426,.336,4.0,10.3,12.6,1.8,0.7,11.1,20.4,110,102,,3.3,0.7,4.0,.144
