Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Natalie Achonwa,MIN,F,22,332,22,332,16.4,.564,.516,.022,.297,9.0,15.7,18.3,1.4,1.9,17.6,16.8,111,105,,0.7,0.4,1.0,.124
Julie Allemand,CHI,G,25,402,25,402,10.8,.545,.492,.517,.300,2.8,5.8,28.3,1.8,0.6,32.7,11.4,104,105,,0.4,0.4,0.8,.081
Lindsay Allen,MIN,G,9,134,9,134,21.4,.686,.632,.368,.342,0.0,6.1,38.5,0.8,0.0,13.8,16.9,136,110,,0.7,0.0,0.8,.233
Rebecca Allen,NYL,F-G,25,523,25,523,11.3,.485,.456,.491,.142,1.8,9.3,10.1,2.1,3.9,11.8,17.9,92,102,,-0.2,0.8,0.6,.047
Yvonne Anderson,CON,G,11,101,11,101,10.4,.602,.538,.385,.269,3.7,5.4,17.7,1.5,1.8,27.4,17.4,101,102,,0.1,0.2,0.2,.093
Kristine Anigwe,PHO,F-C,10,65,10,65,5.1,.521,.500,.000,1.000,9.1,11.8,4.9,0.8,2.7,29.4,14.4,86,109,,-0.1,0.0,0.0,-0.021
Ariel Atkins,WAS,G,36,1081,36,1081,16.4,.543,.500,.436,.234,3.7,6.4,13.9,2.4,0.8,9.5,22.9,107,99,,2.0,2.0,4.1,.151
Amy Atwell,LAS,F,4,32,4,32,-6.1,.167,.167,.667,.000,3.7,3.8,8.8,0.0,0.0,18.2,15.5,44,118,,-0.2,0.0,-0.2,-0.274
Shakira Austin,WAS,C-F,36,776,36,776,17.4,.576,.547,.004,.489,9.5,17.8,7.5,1.7,3.6,16.6,19.4,105,95,,1.1,2.0,3.1,.160
Rachel Banham,MIN,G,36,630,36,630,12.6,.570,.551,.634,.128,0.6,4.4,21.8,0.7,0.6,16.2,21.0,104,111,,0.9,0.1,1.0,.061
Kierstan Bell,LVA,F,21,121,21,121,5.5,.388,.348,.667,.121,3.8,8.8,8.0,0.8,2.2,12.6,14.6,83,107,,-0.2,0.1,-0.1,-0.024
Katie Benzan,WAS,G,3,27,3,27,21.3,.836,.833,.778,.444,4.3,4.4,6.9,0.0,3.4,15.7,21.9,129,103,,0.1,0.0,0.2,.248
Monique Billings,ATL,F,23,401,23,401,17.0,.534,.470,.009,.436,12.9,21.1,11.2,2.4,1.9,18.2,18.8,104,97,,0.5,0.9,1.4,.137
Sue Bird,SEA,G,31,818,31,818,15.0,.555,.536,.682,.076,0.8,4.1,34.8,2.4,0.4,21.6,15.5,108,103,,1.3,1.1,2.5,.120
DeWanna Bonner,CON,F-G,33,991,33,991,16.9,.554,.504,.394,.293,3.2,9.6,14.5,2.1,1.0,11.5,20.0,113,99,,2.4,1.9,4.4,.177
Lexie Brown,LAS,G,34,850,34,850,11.8,.569,.566,.630,.028,1.1,5.6,13.0,2.0,0.8,11.6,12.9,107,111,,0.9,0.1,1.1,.050
Kennedy Burke,WAS,G-F,16,222,16,222,15.6,.534,.520,.432,.230,4.2,9.4,5.5,3.8,1.7,8.9,18.6,102,94,,0.2,0.6,0.8,.139
Rae Burrell,LAS,G-F,3,44,3,44,-0.3,.253,.167,.667,.222,2.7,4.2,3.2,2.3,0.0,9.2,11.2,61,112,,-0.1,0.0,-0.1,-0.111
Veronica Burton,DAL,G,36,548,36,548,10.1,.522,.408,.566,.421,3.8,5.9,17.9,3.2,1.8,28.0,10.2,102,105,,0.3,0.6,0.9,.065
Maya Caldwell,ATL,G,9,214,9,214,17.0,.643,.635,.432,.068,2.7,6.0,17.4,1.6,0.9,15.5,18.6,113,105,,0.5,0.2,0.7,.138
Liz Cambage,LAS,C,25,584,25,584,21.5,.583,.517,.061,.483,6.7,16.8,16.4,1.4,6.5,17.0,26.0,105,104,,1.1,0.7,1.7,.119
Jordin Canada,LAS,G,32,865,32,865,12.8,.468,.397,.185,.362,1.0,5.2,32.7,2.6,0.5,19.3,20.3,94,110,,-0.2,0.3,0.1,.004
Bridget Carleton,MIN,F,36,606,36,606,8.8,.533,.507,.615,.193,2.4,7.4,10.0,1.3,0.7,13.7,12.4,105,108,,0.5,0.3,0.8,.056
DiJonai Carrington,CON,G-F,36,631,36,631,11.1,.516,.461,.305,.374,7.5,10.7,9.2,2.4,0.4,20.0,20.5,96,99,,0.0,1.2,1.3,.081
Chennedy Carter,LAS,G,24,393,24,393,13.7,.500,.455,.053,.291,2.7,7.0,22.2,1.9,2.1,16.8,29.5,91,110,,-0.4,0.1,-0.3,-0.028
Kaila Charles,ATL,G-F,1,2,1,2,-9.9,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,111,,0.0,0.0,0.0,.009
Alysha Clark,WAS,F,29,766,29,766,12.7,.565,.541,.505,.117,3.5,10.2,12.7,1.8,1.0,15.6,14.7,105,99,,0.8,1.5,2.3,.122
Natasha Cloud,WAS,G,34,1065,34,1065,15.1,.523,.469,.438,.295,1.8,6.8,36.8,1.7,0.9,21.3,19.2,104,100,,1.4,1.9,3.2,.121
Nia Clouden,CON,G,28,250,28,250,5.8,.479,.453,.547,.321,1.0,5.6,11.7,1.2,0.4,16.6,12.7,97,103,,0.0,0.4,0.4,.062
Alaina Coates,IND,C,8,75,8,75,15.6,.795,.636,.000,1.364,8.8,12.4,4.4,1.3,3.4,22.1,13.0,134,110,,0.3,0.0,0.3,.172
Nia Coffey,ATL,F,16,336,16,336,4.7,.445,.391,.307,.307,2.4,14.3,5.9,1.5,0.6,23.4,19.7,75,101,,-1.0,0.6,-0.4,-0.053
Charli Collier,DAL,C,17,78,17,78,3.9,.513,.444,.074,.519,6.0,7.7,4.4,0.7,0.0,23.2,24.7,86,111,,-0.1,0.0,-0.1,-0.068
Napheesa Collier,MIN,F,4,91,4,91,10.3,.499,.462,.269,.269,2.6,7.7,7.0,1.1,1.0,3.3,14.8,109,109,,0.1,0.0,0.2,.076
Sydney Colson,LVA,G,18,123,18,123,5.4,.409,.359,.344,.156,2.8,3.6,20.2,0.8,0.0,17.0,14.9,92,111,,-0.1,0.0,0.0,-0.013
Kahleah Copper,CHI,G-F,31,891,31,891,16.8,.577,.530,.276,.352,4.6,11.7,12.9,0.8,0.1,13.0,24.8,107,104,,1.8,1.0,2.8,.128
Lorela Cubaj,NYL,F-C,11,88,11,88,3.4,.333,.333,.000,.000,12.2,15.1,6.8,0.0,1.9,29.4,8.9,82,107,,-0.1,0.1,0.0,-0.013
Elissa Cunane,MIN,C,3,10,3,10,9.6,.500,.500,.500,.000,24.0,29.0,0.0,0.0,0.0,33.3,13.4,90,106,,0.0,0.0,0.0,.012
Sophie Cunningham,PHO,G,28,827,28,827,15.3,.611,.581,.655,.180,2.7,8.8,9.7,1.7,1.1,9.1,17.6,114,107,,1.9,0.6,2.5,.120
Damiris Dantas,MIN,F,15,262,15,262,7.3,.407,.391,.663,.065,4.6,12.6,16.6,0.6,0.3,14.5,18.9,87,108,,-0.3,0.2,-0.1,-0.022
Elena Delle Donne,WAS,F-G,25,694,25,694,25.4,.590,.534,.294,.285,5.1,13.5,16.4,0.9,3.6,6.9,26.0,118,98,,2.9,1.5,4.4,.251
