Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Farhiya Abdi,LAS,F,17,142,17,142,5.7,.463,.443,.159,.068,2.6,3.9,5.7,0.4,0.0,11.7,16.5,90,107,,0.0,0.0,0.0,-0.006
Danielle Adams,SAS,F-C,34,700,34,700,17.4,.507,.465,.383,.238,7.0,12.4,8.8,1.7,2.7,10.5,27.3,100,103,,1.1,0.5,1.6,.093
Matee Ajavon,ATL,G,24,220,24,220,3.3,.389,.287,.167,.537,5.1,4.7,10.8,2.5,0.4,24.8,17.3,76,100,,-0.5,0.3,-0.2,-0.041
Kayla Alexander,SAS,C,33,298,33,298,10.6,.513,.434,.000,.408,10.6,13.7,3.3,0.7,2.6,19.7,17.5,96,106,,0.2,0.1,0.3,.036
Jayne Appel-Marinelli,SAS,C,34,843,34,843,13.6,.561,.542,.008,.331,9.2,19.8,13.7,1.0,2.8,24.0,10.8,107,101,,1.2,0.9,2.1,.101
Seimone Augustus*,MIN,G-F,24,749,24,749,18.4,.556,.529,.108,.156,2.2,6.9,14.1,0.7,0.2,9.9,24.3,107,105,,1.9,0.4,2.3,.122
Mistie Bass,PHO,F,34,493,34,493,13.9,.548,.509,.000,.421,10.7,13.2,5.6,1.7,1.9,15.1,15.2,108,96,,0.9,0.9,1.8,.150
Vicki Baugh,TUL,F-C,33,266,33,266,16.5,.624,.589,.000,.393,15.1,21.1,3.1,2.2,2.0,19.6,13.5,116,103,,0.7,0.2,0.9,.143
Alana Beard,LAS,G-F,33,913,33,913,11.2,.506,.479,.109,.183,2.5,5.8,14.8,2.1,1.3,17.5,16.9,95,102,,0.3,0.9,1.2,.054
Alex Bentley,CON,G,34,872,34,872,16.1,.491,.471,.239,.122,0.9,4.0,27.9,2.6,0.3,13.8,24.6,101,102,,1.4,0.8,2.2,.102
Tiffany Bias,PHO,G,17,68,17,68,-0.2,.436,.444,.333,.333,0.0,2.6,13.3,3.8,0.0,36.8,22.6,61,97,,-0.4,0.1,-0.3,-0.150
Sue Bird,SEA,G,33,963,33,963,12.6,.484,.445,.338,.195,0.8,5.0,26.7,1.5,0.1,17.1,22.4,93,106,,0.1,0.3,0.4,.018
Kelsey Bone,CON,C,34,793,34,793,13.2,.477,.451,.010,.214,8.1,13.7,10.7,1.5,1.6,16.8,22.0,93,100,,0.1,1.0,1.1,.058
DeWanna Bonner,PHO,F-G,34,994,34,994,16.4,.550,.502,.306,.324,4.5,8.3,12.5,2.6,1.1,12.8,17.5,108,96,,2.1,1.8,3.9,.159
Gennifer Brandon,CHI,F,16,122,16,122,9.1,.362,.333,.000,.394,11.0,19.4,4.0,1.3,4.2,20.5,18.2,73,96,,-0.3,0.2,-0.1,-0.038
Kara Braxton,NYL,C-F,4,31,4,31,12.2,.563,.500,.000,.250,3.8,7.6,17.5,1.7,2.5,31.1,19.1,87,99,,0.0,0.0,0.0,.021
Jessica Breland,CHI,F,32,849,32,849,16.1,.491,.461,.010,.184,9.0,14.9,13.1,1.8,5.1,18.1,20.8,93,97,,0.1,1.5,1.6,.076
Rebekkah Brunson,MIN,F,11,303,11,303,12.7,.438,.395,.000,.259,11.4,17.7,8.4,0.5,2.1,10.0,15.2,100,100,,0.3,0.4,0.7,.091
Heather Butler,SAS,G,11,38,11,38,-7.4,.279,.167,.667,.444,3.1,4.9,11.5,0.0,0.0,31.7,19.3,53,112,,-0.2,0.0,-0.2,-0.257
Kelley Cain,CON,C,8,45,8,45,6.9,.310,.250,.000,.250,12.5,16.0,3.5,2.3,6.9,14.5,20.2,73,95,,-0.1,0.1,0.0,-0.032
Essence Carson,NYL,G,26,365,26,365,5.9,.417,.389,.242,.121,2.9,6.9,10.7,1.3,0.9,20.0,16.4,78,101,,-0.6,0.4,-0.3,-0.028
Sydney Carter,IND,G,23,287,23,287,4.0,.390,.313,.300,.388,2.5,4.6,18.1,1.5,0.9,26.1,20.4,74,105,,-0.8,0.2,-0.7,-0.096
Tamika Catchings*,IND,F,16,430,16,430,25.8,.543,.480,.188,.401,5.9,15.0,15.6,3.4,2.5,12.2,29.1,108,95,,1.4,0.9,2.3,.216
Tina Charles,NYL,C,34,1119,34,1119,22.4,.509,.462,.000,.307,9.3,16.8,14.0,2.1,2.1,11.7,27.0,102,95,,2.2,2.3,4.4,.159
Karima Christmas-Kelly,IND,F-G,34,736,34,736,13.2,.487,.410,.348,.468,7.8,10.4,7.0,2.2,1.0,9.4,16.8,107,101,,1.4,0.8,2.2,.119
Shameka Christon,SAS,G,31,338,31,338,9.8,.497,.472,.757,.140,3.1,7.3,3.0,1.1,0.9,6.6,16.8,101,107,,0.3,0.0,0.4,.046
Layshia Clarendon,IND,G,29,398,29,398,9.0,.456,.426,.156,.197,3.7,6.7,16.0,1.5,0.0,17.4,18.7,91,104,,-0.1,0.2,0.1,.014
Alysha Clark,SEA,F,34,561,34,561,9.6,.525,.504,.456,.184,6.1,8.6,6.5,1.6,1.4,15.1,14.0,98,104,,0.4,0.4,0.7,.052
Courtney Clements,CHI,G,33,376,33,376,8.3,.422,.384,.232,.121,4.5,8.4,9.6,1.7,0.4,11.1,14.2,91,103,,0.0,0.3,0.2,.025
Marissa Coleman,IND,G-F,34,815,34,815,13.3,.511,.470,.417,.221,4.2,8.7,8.6,1.8,1.1,11.9,19.2,103,102,,1.3,0.8,2.0,.100
Nadia Colhado,ATL,C,16,127,16,127,9.8,.488,.500,.000,.167,3.5,13.0,1.4,2.0,3.7,15.1,17.9,86,93,,-0.1,0.3,0.2,.061
Anna Cruz,NYL,G,34,922,34,922,12.8,.517,.498,.208,.165,1.8,7.5,23.3,2.5,0.8,22.1,16.2,94,98,,0.2,1.4,1.6,.070
