Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Svetlana Abrosimova,MIN,F,34,720,34,720,13.3,.490,.461,.270,.257,7.1,8.6,13.5,2.5,0.1,18.5,20.5,94,105,,0.4,0.1,0.5,.027
Chantelle Anderson,SAS,C,23,413,23,413,13.8,.580,.527,.000,.402,7.6,11.6,6.9,0.9,1.8,18.0,17.4,105,102,,0.8,0.3,1.1,.108
La'Tangela Atkinson,IND,G-F,33,419,33,419,9.8,.475,.466,.195,.448,7.4,11.5,9.6,2.3,1.0,24.6,15.2,85,92,,-0.3,0.9,0.6,.060
Seimone Augustus*,MIN,G-F,34,1127,34,1127,22.7,.537,.481,.137,.266,1.6,6.6,10.1,1.0,1.2,9.3,30.4,107,107,,4.1,-0.2,3.9,.138
Sherill Baker,NYL,G,34,614,34,614,12.9,.455,.404,.131,.223,4.6,5.7,13.0,4.1,0.1,15.4,25.0,87,103,,-0.4,0.3,-0.1,-0.007
Mistie Bass,HOU,F,27,273,27,273,15.6,.500,.531,.000,.531,13.5,14.4,10.7,2.2,0.9,11.2,15.2,107,94,,0.6,0.5,1.1,.159
Jacqueline Batteast,DET,F,26,174,26,174,4.4,.315,.296,.259,.130,8.7,8.3,6.9,0.6,1.5,6.5,15.5,82,98,,-0.2,0.2,0.1,.015
Ashley Battle,NYL,F,33,455,33,455,12.0,.470,.436,.326,.177,3.5,8.6,13.3,3.7,0.5,20.0,19.7,85,102,,-0.4,0.3,0.0,-0.004
Alana Beard,WAS,G-F,32,1000,32,1000,25.0,.574,.534,.217,.318,3.0,9.5,19.2,3.1,2.2,14.4,28.0,110,99,,4.0,1.2,5.3,.211
Tully Bevilaqua,IND,G,34,1011,34,1011,11.2,.535,.500,.573,.286,1.2,4.8,13.9,3.8,0.1,20.6,12.0,99,92,,0.8,2.3,3.1,.124
Agnieszka Bibrzycka,SAS,G-F,32,752,32,752,16.9,.540,.506,.505,.170,1.5,5.0,12.8,1.8,1.2,12.3,22.7,103,103,,1.6,0.4,2.0,.104
Sue Bird,SEA,G,34,1066,34,1066,17.2,.536,.495,.459,.204,3.0,6.0,26.3,3.0,0.4,19.5,19.1,106,100,,2.5,1.1,3.6,.135
Nikki Blue,WAS,G,24,181,24,181,12.4,.399,.269,.222,.574,5.0,7.1,29.9,5.2,0.0,21.0,21.2,91,97,,0.0,0.3,0.3,.060
LaToya Bond,CHA,G,34,608,34,608,8.9,.503,.430,.291,.487,1.3,4.7,22.7,3.0,1.1,29.4,19.7,83,98,,-0.8,0.8,0.0,.001
Kara Braxton,DET,C-F,34,360,34,360,10.7,.445,.406,.014,.336,13.7,18.7,14.1,1.6,2.6,24.4,26.7,82,89,,-0.7,1.0,0.3,.033
Coretta Brown,CHI,G,15,252,15,252,6.1,.384,.373,.746,.136,1.8,5.2,18.2,2.1,0.0,22.4,14.6,77,109,,-0.4,-0.1,-0.5,-0.080
Edwina Brown,HOU,G-F,4,28,4,28,3.0,.340,.200,.000,.400,4.5,8.8,5.6,1.9,0.0,25.4,13.2,67,96,,-0.1,0.0,0.0,-0.033
Kiesha Brown,NYL,G,16,58,16,58,14.0,.425,.325,.200,.400,4.3,8.7,31.4,1.9,0.0,11.3,21.5,98,106,,0.1,0.0,0.1,.054
Jessica Brungo,CON,F,4,7,4,7,-8.0,,,,,0.0,0.0,0.0,0.0,0.0,100.0,6.4,0,104,,0.0,0.0,0.0,-0.201
Rebekkah Brunson,SAC,F,34,603,34,603,17.9,.489,.461,.000,.368,15.4,20.2,5.5,1.9,2.3,14.4,20.7,101,92,,1.0,1.4,2.4,.158
Janell Burse,SEA,C,27,741,27,741,16.9,.558,.514,.005,.493,11.2,15.0,5.4,1.2,2.6,17.0,19.8,105,99,,1.7,0.9,2.6,.140
Latasha Byears,WAS,G-F,26,332,26,332,10.4,.484,.449,.000,.187,14.5,16.8,5.0,1.9,0.5,23.2,20.4,89,101,,-0.1,0.3,0.2,.024
Dominique Canty,HOU,G,15,431,15,431,16.6,.590,.514,.029,.733,3.5,7.4,18.7,2.1,0.0,20.1,18.9,107,96,,1.1,0.7,1.8,.165
Jamie Carey,CON,G,24,286,24,286,8.0,.523,.500,.690,.086,0.4,3.2,17.4,1.3,0.0,22.0,12.2,98,99,,0.2,0.3,0.6,.078
Swin Cash*,DET,F,34,991,34,991,12.8,.464,.385,.040,.443,7.4,9.8,19.5,1.1,0.9,18.6,21.2,95,96,,0.7,1.6,2.4,.096
Iziane Castro Marques,SEA,F-G,34,657,34,657,13.7,.559,.534,.335,.304,3.2,6.8,12.6,1.8,0.2,18.2,18.5,103,102,,1.2,0.5,1.6,.099
Tamika Catchings*,IND,F,32,1072,32,1072,26.1,.534,.447,.269,.513,7.8,14.2,22.8,4.7,2.8,13.9,24.4,110,85,,4.0,3.7,7.7,.287
Kaayla Chones,SEA,C,3,14,3,14,-15.3,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,33.3,9.7,0,109,,-0.1,0.0,-0.1,-0.264
