Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Svetlana Abrosimova,CON,F,6,107,6,107,10.6,.412,.333,.333,.333,3.2,10.5,18.6,3.9,0.0,21.0,21.7,82,91,,-0.2,0.2,0.1,.036
Matee Ajavon,HOU,G,34,604,34,604,12.0,.423,.355,.237,.322,6.8,6.1,19.1,2.6,0.9,14.3,27.6,90,102,,0.0,0.4,0.4,.026
Charel Allen,SAC,G,6,49,6,49,7.0,.500,.500,.375,.000,4.8,7.6,12.1,1.1,0.0,27.3,19.7,82,103,,-0.1,0.0,0.0,-0.033
Jolene Anderson,CON,G,24,367,24,367,7.4,.366,.341,.548,.119,3.4,8.9,11.6,1.0,0.2,10.8,17.9,83,99,,-0.4,0.4,0.1,.006
Nicky Anosike,MIN,F-C,34,920,34,920,19.5,.525,.438,.004,.735,9.6,14.7,8.0,4.1,3.7,12.3,16.2,110,93,,2.4,1.9,4.3,.185
La'Tangela Atkinson,SAC,G-F,5,73,5,73,8.0,.394,.375,.063,.250,4.8,11.9,19.3,3.6,2.3,36.0,16.7,68,94,,-0.2,0.1,-0.1,-0.051
Morenike Atunrase,SAS,G-F,33,348,33,348,7.6,.377,.345,.471,.184,5.9,8.2,11.2,2.4,2.9,21.7,16.2,75,94,,-0.7,0.7,0.0,-0.004
Seimone Augustus*,MIN,G-F,31,1042,31,1042,22.1,.539,.490,.127,.238,3.1,6.7,16.1,1.6,0.9,8.7,25.2,110,104,,3.9,0.4,4.3,.165
Sherill Baker,IND,G,13,110,13,110,19.4,.472,.324,.027,.919,7.5,12.1,26.2,4.3,0.7,17.5,26.1,98,90,,0.2,0.3,0.5,.164
Mistie Bass,HOU,F,32,365,32,365,15.1,.528,.505,.011,.548,12.2,12.9,9.2,1.9,2.1,19.0,17.3,100,100,,0.5,0.4,0.9,.094
Ashley Battle,NYL,F,34,336,34,336,13.8,.504,.434,.306,.510,6.4,9.5,13.0,2.4,0.2,18.9,20.2,96,99,,0.3,0.4,0.7,.082
Alana Beard,WAS,G-F,33,1092,33,1092,16.3,.494,.448,.304,.308,0.4,6.6,22.5,2.7,1.5,16.5,26.3,96,99,,1.1,1.2,2.3,.086
Kimberly Beck,SEA,G,17,93,17,93,12.1,.730,.667,.667,.667,2.7,7.8,10.4,2.3,1.8,25.6,7.7,122,95,,0.2,0.2,0.4,.151
Val Berezhynska,SAS,C,2,6,2,6,-20.0,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,15.7,0,104,,-0.1,0.0,-0.1,-0.363
Tully Bevilaqua,IND,G,30,876,30,876,10.5,.514,.500,.563,.177,1.6,4.7,13.3,3.6,0.4,17.0,10.7,101,95,,0.8,1.6,2.3,.107
