Rk,Team,Overall
9,Washington Mystics,16-18
6,Connecticut Sun,18-16
3,Indiana Fever,21-13
1,Detroit Shock,24-10
11,Houston Comets,13-21
12,Los Angeles Sparks,10-24
13,Minnesota Lynx,10-24
4,San Antonio Stars,20-14
8,New York Liberty,16-18
10,Chicago Sky,14-20
2,Phoenix Mercury,23-11
5,Sacramento Monarchs,19-15
7,Seattle Storm,17-17
