Rk,Team,Overall
9,Connecticut Sun,16-18
2,Indiana Fever,22-12
11,New York Liberty,13-21
7,Washington Mystics,16-18
6,Los Angeles Sparks,18-16
1,Phoenix Mercury,23-11
12,Sacramento Monarchs,12-22
10,Minnesota Lynx,14-20
5,Detroit Shock,18-16
8,Chicago Sky,16-18
3,Seattle Storm,20-14
12,San Antonio Stars,15-19
4,Atlanta Dream,18-16
