Rk,Team,Overall
3,Washington Mystics,22-12
5,Atlanta Dream,19-15
11,Minnesota Lynx,13-21
4,Indiana Fever,21-13
2,New York Liberty,22-12
6,Connecticut Sun,17-17
8,San Antonio Stars,14-20
7,Phoenix Mercury,15-19
1,Seattle Storm,28-6
10,Los Angeles Sparks,13-21
12,Tulsa Shock,6-28
9,Chicago Sky,14-20
