Rk,Team,Overall
9,Connecticut Sun,15-19
3,Chicago Sky,21-13
5,Indiana Fever,20-14
1,New York Liberty,23-11
12,San Antonio Stars,8-26
11,Seattle Storm,10-24
6,Tulsa Shock,18-16
4,Phoenix Mercury,20-14
8,Atlanta Dream,15-19
7,Washington Mystics,18-16
10,Los Angeles Sparks,14-20
2,Minnesota Lynx,22-12
