Rk,Team,Overall
7,San Antonio Stars,16-18
8,Chicago Sky,15-19
10,Connecticut Sun,13-21
3,Atlanta Dream,19-15
9,New York Liberty,15-19
4,Indiana Fever,16-18
1,Phoenix Mercury,29-5
11,Seattle Storm,12-22
2,Minnesota Lynx,25-9
12,Tulsa Shock,12-22
5,Los Angeles Sparks,16-18
6,Washington Mystics,16-18
