Rk,Team,Overall
12,Connecticut Sun,10-24
8,Indiana Fever,16-18
3,Los Angeles Sparks,24-10
4,Phoenix Mercury,19-15
9,San Antonio Stars,12-22
5,Atlanta Dream,17-17
6,Washington Mystics,17-17
10,New York Liberty,11-23
1,Minnesota Lynx,26-8
2,Chicago Sky,24-10
7,Seattle Storm,17-17
11,Tulsa Shock,11-23
