Rk,Team,Overall
3,Detroit Shock,23-11
1,Connecticut Sun,26-8
14,Chicago Sky,5-29
5,Indiana Fever,21-13
2,Los Angeles Sparks,25-9
13,Minnesota Lynx,10-24
12,New York Liberty,11-23
7,Washington Mystics,18-16
9,Phoenix Mercury,18-16
4,Sacramento Monarchs,21-13
11,Charlotte Sting,11-23
6,Houston Comets,18-16
8,Seattle Storm,18-16
10,San Antonio Stars,13-21
