Rk,Team,Overall
8,Washington Mystics,9-13
10,Atlanta Dream,7-15
9,Dallas Wings,8-14
12,New York Liberty,2-20
1,Las Vegas Aces,18-4
2,Seattle Storm,18-4
4,Minnesota Lynx,14-8
11,Indiana Fever,6-16
3,Los Angeles Sparks,15-7
7,Connecticut Sun,10-12
6,Chicago Sky,12-10
5,Phoenix Mercury,13-9
