Rk,Team,Overall
4,Dallas Wings,22-18
5,Atlanta Dream,19-21
8,Chicago Sky,18-22
3,Connecticut Sun,27-13
10,Indiana Fever,13-27
6,Minnesota Lynx,19-21
1,Las Vegas Aces,34-6
12,Phoenix Mercury,9-31
7,Washington Mystics,19-21
2,New York Liberty,32-8
9,Los Angeles Sparks,17-23
11,Seattle Storm,11-29
