Rk,Team,Overall
3,Connecticut Sun,25-11
9,Minnesota Lynx,14-22
6,Dallas Wings,18-18
11,Los Angeles Sparks,13-23
1,Las Vegas Aces,26-10
4,Seattle Storm,22-14
7,New York Liberty,16-20
10,Atlanta Dream,14-22
2,Chicago Sky,26-10
8,Phoenix Mercury,15-21
5,Washington Mystics,22-14
12,Indiana Fever,5-31
