Rk,Team,Overall
12,Indiana Fever,6-28
10,Chicago Sky,13-21
4,Connecticut Sun,21-13
6,Los Angeles Sparks,19-15
2,Atlanta Dream,23-11
9,Las Vegas Aces,14-19
7,Minnesota Lynx,18-16
3,Washington Mystics,21-12
5,Phoenix Mercury,20-14
11,New York Liberty,7-27
1,Seattle Storm,26-8
8,Dallas Wings,15-19
