Rk,Team,Overall
1,Connecticut Sun,26-8
13,Charlotte Sting,6-28
5,Houston Comets,19-15
7,Los Angeles Sparks,17-17
3,Indiana Fever,21-13
6,New York Liberty,18-16
2,Sacramento Monarchs,25-9
11,Minnesota Lynx,14-20
4,Seattle Storm,20-14
9,Phoenix Mercury,16-18
10,Washington Mystics,16-18
8,Detroit Shock,16-18
12,San Antonio Stars,7-27
