Rk,Team,Overall
8,Seattle Storm,15-19
9,Chicago Sky,12-22
3,New York Liberty,22-12
7,Dallas Wings,16-18
2,Los Angeles Sparks,26-8
4,Connecticut Sun,21-13
1,Minnesota Lynx,27-7
6,Washington Mystics,18-16
5,Phoenix Mercury,18-16
10,Atlanta Dream,12-22
12,San Antonio Stars,8-26
11,Indiana Fever,9-25
