Rk,Team,Overall
6,Chicago Sky,16-16
12,Indiana Fever,6-26
1,Connecticut Sun,26-6
11,Atlanta Dream,8-24
7,Dallas Wings,14-18
10,Los Angeles Sparks,12-20
2,Las Vegas Aces,24-8
5,Phoenix Mercury,19-13
3,Minnesota Lynx,22-10
9,Washington Mystics,12-20
8,New York Liberty,12-20
4,Seattle Storm,21-11
