Rk,Team,Overall
2,Connecticut Sun,21-13
7,New York Liberty,19-15
5,Atlanta Dream,20-14
3,Indiana Fever,21-13
1,Minnesota Lynx,27-7
6,Phoenix Mercury,19-15
4,Seattle Storm,21-13
10,Chicago Sky,14-20
8,San Antonio Stars,18-16
12,Tulsa Shock,3-31
9,Los Angeles Sparks,15-19
11,Washington Mystics,6-28
