Rk,Team,Overall
11,New York Liberty,10-24
12,Atlanta Dream,8-26
6,Seattle Storm,18-16
10,Dallas Wings,10-24
9,Indiana Fever,13-21
2,Connecticut Sun,23-11
3,Los Angeles Sparks,22-12
7,Minnesota Lynx,18-16
4,Las Vegas Aces,21-13
8,Phoenix Mercury,15-19
1,Washington Mystics,26-8
5,Chicago Sky,20-14
