Rk,Team,Overall
3,Connecticut Sun,28-12
10,Chicago Sky,13-27
4,Las Vegas Aces,27-13
11,Dallas Wings,9-31
12,Los Angeles Sparks,8-32
2,Minnesota Lynx,30-10
8,Atlanta Dream,15-25
1,New York Liberty,32-8
5,Seattle Storm,25-15
7,Phoenix Mercury,19-21
9,Washington Mystics,14-26
6,Indiana Fever,20-20
