Rk,Team,Overall
9,Houston Comets,17-17
7,Sacramento Monarchs,18-16
12,Chicago Sky,12-22
8,Indiana Fever,17-17
11,Phoenix Mercury,16-18
5,Los Angeles Sparks,20-14
3,Seattle Storm,22-12
2,Detroit Shock,22-12
6,New York Liberty,19-15
10,Minnesota Lynx,16-18
13,Washington Mystics,10-24
4,Connecticut Sun,21-13
1,San Antonio Stars,24-10
14,Atlanta Dream,4-30
