Rk,Team,Overall
2,Connecticut Sun,25-9
6,Atlanta Dream,19-15
4,Indiana Fever,22-12
10,Tulsa Shock,9-25
7,Seattle Storm,16-18
11,Phoenix Mercury,7-27
5,San Antonio Stars,21-13
1,Minnesota Lynx,27-7
9,Chicago Sky,14-20
12,Washington Mystics,5-29
8,New York Liberty,15-19
3,Los Angeles Sparks,24-10
