Rk,Team,Overall
3,Connecticut Sun,18-16
11,Indiana Fever,15-19
7,Detroit Shock,17-17
10,Charlotte Sting,16-18
4,New York Liberty,18-16
8,Washington Mystics,17-17
9,Phoenix Mercury,17-17
12,Houston Comets,13-21
6,Sacramento Monarchs,18-16
5,Minnesota Lynx,18-16
1,Los Angeles Sparks,25-9
2,Seattle Storm,20-14
13,San Antonio Stars,9-25
