Rk,Team,Overall
5,Indiana Fever,17-17
11,Dallas Wings,11-23
8,Phoenix Mercury,16-18
12,San Antonio Stars,7-27
7,Seattle Storm,16-18
4,Chicago Sky,18-16
9,Connecticut Sun,14-20
10,Washington Mystics,13-21
1,Minnesota Lynx,28-6
6,Atlanta Dream,17-17
3,New York Liberty,21-13
2,Los Angeles Sparks,26-8
