Player,Team,Pos,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,MIN,F,22,11,21.0,2.2,6.3,0.353,0.9,2.4,0.377,1.3,3.9,0.337,1.3,2.1,0.609,0.8,3.4,2.0,1.4,0.1,2.0,1.9,6.6
Chantelle Anderson,SAC,C,30,0,7.7,0.8,2.1,0.391,0.0,0.0,,0.8,2.1,0.391,0.9,1.2,0.73,0.5,1.1,0.2,0.1,0.2,0.8,1.5,2.6
Mery Andrade,CHA,F,12,0,5.4,0.3,0.6,0.429,0.0,0.1,0.0,0.3,0.5,0.5,0.3,0.3,1.0,0.1,0.3,0.6,0.0,0.1,0.3,1.0,0.8
Elena Baranova,NYL,F,34,33,30.8,4.3,9.3,0.463,1.6,3.4,0.461,2.7,5.9,0.465,1.4,1.6,0.925,1.0,7.2,2.0,1.1,1.7,2.4,2.6,11.6
Adia Barnes,SEA,F,34,2,11.8,0.6,2.0,0.304,0.1,0.2,0.5,0.5,1.9,0.286,0.6,0.9,0.71,1.0,1.9,0.9,0.7,0.1,0.7,1.1,2.0
Alana Beard,WAS,G-F,34,34,30.1,4.7,11.2,0.418,0.6,1.6,0.375,4.1,9.5,0.426,3.1,4.4,0.718,0.8,4.2,2.7,2.0,1.0,2.4,2.9,13.1
Lucienne Berthieu,HOU,F-C,16,0,8.4,0.8,2.1,0.353,0.0,0.0,,0.8,2.1,0.353,0.8,1.1,0.722,0.8,1.7,0.3,0.4,0.1,0.6,1.8,2.3
Tully Bevilaqua,SEA,G,34,0,10.5,0.7,1.8,0.4,0.3,0.8,0.423,0.4,1.0,0.382,0.6,0.9,0.69,0.2,0.8,0.9,1.1,0.1,0.8,1.4,2.3
Agnieszka Bibrzycka,SAS,G-F,24,9,19.4,2.3,6.3,0.364,1.1,3.5,0.31,1.2,2.8,0.433,1.0,1.1,0.885,0.2,1.2,1.7,0.9,0.3,1.3,1.6,6.6
Sue Bird,SEA,G,34,34,33.4,4.4,9.6,0.463,1.9,4.3,0.438,2.6,5.3,0.483,2.1,2.5,0.859,0.6,3.1,5.4,1.5,0.1,2.6,1.4,12.9
