Player,Team,Pos,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Farhiya Abdi,LAS,F,17,0,7.2,0.9,2.3,0.385,0.0,0.0,,0.9,2.3,0.385,0.5,0.7,0.667,0.2,0.7,0.5,0.1,0.1,0.2,0.9,2.2
Danielle Adams,SAS,F-C,34,24,26.4,5.0,11.7,0.426,1.2,3.8,0.326,3.8,7.9,0.474,3.1,4.4,0.707,1.6,4.7,1.2,0.9,0.7,1.8,2.8,14.4
Matee Ajavon,WAS,G,34,27,22.7,2.8,7.7,0.364,0.6,1.8,0.306,2.2,5.9,0.382,2.8,3.5,0.79,0.7,1.7,2.9,0.9,0.1,2.2,2.2,8.9
Kayla Alexander,SAS,C,33,1,11.2,1.1,2.5,0.417,0.0,0.0,,1.1,2.5,0.417,0.7,0.9,0.733,1.3,3.0,0.3,0.1,0.4,1.1,1.4,2.8
Jayne Appel-Marinelli,SAS,C,29,29,26.5,2.4,4.2,0.579,0.0,0.1,0.333,2.4,4.1,0.585,1.0,1.7,0.592,2.6,8.9,2.0,0.9,1.3,1.5,2.9,5.9
Seimone Augustus*,MIN,G-F,31,31,29.7,6.9,13.3,0.516,0.6,2.2,0.29,6.2,11.1,0.561,1.9,2.1,0.879,0.8,3.2,2.5,0.6,0.6,1.5,1.1,16.3
Mistie Bass,CON,F,33,5,18.0,2.8,5.2,0.55,0.0,0.0,,2.8,5.2,0.55,1.3,2.1,0.609,1.5,4.4,1.0,0.7,0.9,1.5,1.8,7.0
Alana Beard,LAS,G-F,32,32,22.0,2.7,5.8,0.459,0.0,0.3,0.125,2.6,5.5,0.475,0.9,1.1,0.824,0.4,2.3,1.4,1.3,0.3,1.3,2.3,6.2
Alex Bentley,ATL,G,34,10,22.1,3.3,8.4,0.398,0.8,2.5,0.329,2.5,5.9,0.427,0.8,1.1,0.711,0.3,1.4,2.8,1.0,0.1,1.1,2.3,8.3
Chante Black,SAS,C,1,0,10.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0
Kelsey Bone,NYL,C,34,2,19.5,2.9,6.3,0.46,0.0,0.0,0.0,2.9,6.3,0.463,1.1,1.7,0.632,2.1,5.4,0.7,0.4,0.4,1.5,2.6,6.9
DeWanna Bonner,PHO,F-G,34,33,32.9,4.7,11.5,0.41,1.6,4.9,0.325,3.1,6.6,0.473,3.5,3.9,0.901,1.0,5.8,2.4,1.1,0.3,1.6,1.3,14.5
Cierra Bravard,SEA,F,6,0,4.5,0.2,0.5,0.333,0.2,0.3,0.5,0.0,0.2,0.0,0.0,0.0,,0.5,0.8,0.0,0.2,0.2,0.5,2.0,0.5
Kara Braxton,NYL,C-F,34,33,21.8,3.8,7.9,0.481,0.0,0.0,,3.8,7.9,0.481,1.1,1.6,0.661,2.5,6.6,1.2,0.6,0.4,2.3,2.9,8.7
Jessica Breland,IND,F,30,2,14.6,2.3,5.2,0.439,0.0,0.0,,2.3,5.2,0.439,0.7,0.9,0.741,1.7,4.0,0.6,0.6,1.0,1.1,1.3,5.3
Rebekkah Brunson,MIN,F,33,33,29.2,4.5,9.0,0.497,0.0,0.0,1.0,4.4,8.9,0.495,1.7,2.7,0.636,2.7,8.9,1.5,1.3,0.9,1.2,2.1,10.6
Liz Cambage,TUL,C,20,16,25.0,5.3,9.5,0.561,0.0,0.0,,5.3,9.5,0.561,5.7,7.4,0.776,2.5,8.3,1.1,0.5,2.4,3.1,2.9,16.3
Michelle Campbell,CHI,F,31,0,7.7,0.5,1.6,0.314,0.0,0.0,,0.5,1.6,0.314,0.7,1.0,0.733,0.7,1.5,0.2,0.2,0.2,0.5,1.3,1.7
Essence Carson,NYL,G,4,4,29.5,5.5,10.0,0.55,0.3,0.8,0.333,5.3,9.3,0.568,3.0,3.5,0.857,1.0,5.5,1.8,0.5,0.5,2.5,1.5,14.3
Sydney Carter,CON,G,15,1,17.3,1.4,4.0,0.35,0.3,1.3,0.211,1.1,2.7,0.415,1.1,1.3,0.8,0.3,1.5,1.8,0.5,0.3,1.7,1.1,4.1
Swin Cash*,CHI,F,34,34,28.3,3.5,8.4,0.415,0.5,1.9,0.27,3.0,6.5,0.457,1.9,2.2,0.853,1.3,5.6,2.2,0.9,0.6,1.9,3.0,9.3
Iziane Castro Marques,CON,F-G,28,9,15.8,2.1,5.9,0.352,0.5,1.6,0.326,1.5,4.3,0.361,1.3,1.8,0.725,0.5,1.7,1.0,0.5,0.1,1.3,1.3,6.0
Tamika Catchings*,IND,F,30,30,31.4,6.0,15.1,0.396,1.2,3.7,0.321,4.8,11.3,0.421,4.5,5.3,0.861,1.5,7.1,2.4,2.8,1.0,1.7,2.5,17.7
Tina Charles,CON,C,29,29,32.8,7.5,18.8,0.4,0.0,0.1,0.0,7.5,18.7,0.402,2.9,3.9,0.752,3.4,10.1,1.4,0.9,1.0,2.2,2.0,18.0
Karima Christmas-Kelly,IND,F-G,34,28,26.9,3.0,8.0,0.373,0.9,2.9,0.3,2.1,5.0,0.415,1.8,2.2,0.811,1.9,4.1,1.1,1.9,0.3,1.2,2.4,8.6
Shameka Christon,SAS,G,33,14,22.4,2.5,8.1,0.307,1.5,4.7,0.321,1.0,3.4,0.288,1.0,1.2,0.868,0.3,1.7,0.7,0.5,0.3,0.7,1.7,7.5
Layshia Clarendon,IND,G,30,4,19.4,1.8,5.5,0.331,0.2,0.9,0.259,1.6,4.6,0.345,0.3,0.7,0.409,0.6,1.8,1.8,0.5,0.0,1.3,2.2,4.2
Alysha Clark,SEA,F,33,0,15.3,1.5,3.2,0.453,0.5,1.2,0.39,1.0,2.0,0.492,0.6,0.8,0.76,1.0,2.5,0.4,0.4,0.2,1.1,1.5,4.0
Courtney Clements,ATL,G,26,0,9.4,0.8,3.8,0.202,0.3,1.5,0.231,0.4,2.3,0.183,0.3,0.5,0.75,0.4,0.9,0.3,0.2,0.1,0.3,1.0,2.2
Marissa Coleman,LAS,G-F,34,3,17.5,1.7,4.0,0.43,0.6,1.5,0.4,1.1,2.5,0.447,0.6,1.0,0.636,0.9,2.9,1.0,0.7,0.1,0.9,1.3,4.6
Monique Currie,WAS,F,34,34,25.9,3.6,8.9,0.401,0.6,1.9,0.344,2.9,7.0,0.416,2.7,3.3,0.814,1.0,5.0,1.5,1.1,0.2,1.8,2.9,10.5
Elena Delle Donne,CHI,F-G,30,30,31.4,5.7,13.5,0.426,1.4,3.2,0.438,4.3,10.3,0.422,5.2,5.6,0.929,1.4,5.6,1.8,0.7,1.8,1.3,1.6,18.1
Erika de Souza,ATL,F-C,34,34,29.9,5.5,9.9,0.553,0.0,0.0,,5.5,9.9,0.553,1.9,2.7,0.677,2.6,9.9,1.3,1.3,1.8,1.6,2.6,12.9
Skylar Diggins-Smith,TUL,G,32,21,26.4,2.8,8.5,0.328,0.6,2.4,0.244,2.2,6.0,0.363,2.3,2.8,0.833,0.5,1.9,3.8,1.3,0.3,2.9,2.0,8.5
Katie Douglas,IND,G-F,4,4,35.8,5.3,13.5,0.389,1.8,6.8,0.259,3.5,6.8,0.519,2.8,2.8,1.0,1.3,2.8,1.5,1.8,0.5,2.8,0.8,15.0
Candice Dupree,PHO,F,32,32,33.0,6.4,12.4,0.515,0.0,0.1,0.0,6.4,12.3,0.519,2.4,2.7,0.897,1.5,6.4,1.9,1.1,0.4,2.0,1.8,15.2
Kelly Faris,CON,G,24,3,14.1,0.8,2.0,0.367,0.3,1.0,0.28,0.5,1.0,0.458,0.3,0.4,0.778,0.5,2.2,0.7,0.3,0.2,0.6,1.3,2.1
Sylvia Fowles,CHI,C,32,32,31.3,6.2,10.6,0.586,0.0,0.0,,6.2,10.6,0.586,3.9,5.7,0.685,3.7,11.5,0.4,0.9,2.4,2.1,2.1,16.3
Briana Gilbreath-Butler,PHO,G,34,30,22.4,1.8,4.5,0.395,0.4,1.5,0.255,1.4,3.0,0.465,0.4,0.7,0.625,0.8,3.2,1.5,0.7,0.4,0.7,1.8,4.4
Sasha Goodlett,IND,C,25,1,7.5,0.8,2.1,0.358,0.0,0.0,,0.8,2.1,0.358,0.2,0.3,0.857,0.6,1.6,0.2,0.1,0.1,0.4,0.7,1.8
Angel Goodrich,TUL,G,31,16,21.9,1.9,4.4,0.423,0.3,1.0,0.25,1.6,3.4,0.476,0.4,0.7,0.545,0.5,1.8,2.9,1.2,0.1,1.7,1.1,4.4
Kalana Greene,CON,G,34,31,26.1,2.1,5.1,0.407,0.1,0.8,0.154,1.9,4.3,0.452,0.9,1.2,0.732,1.1,3.7,1.5,1.1,0.4,1.1,1.6,5.1
Kelsey Griffin,CON,F,34,34,25.4,3.2,7.2,0.443,0.4,1.1,0.308,2.9,6.1,0.469,1.9,2.6,0.733,1.8,5.0,0.9,1.2,0.7,1.0,2.7,8.7
Brittney Griner,PHO,C,27,27,25.9,5.1,9.3,0.556,0.0,0.0,,5.1,9.3,0.556,2.3,3.2,0.724,1.4,6.3,1.0,0.5,3.0,1.7,3.0,12.6
Becky Hammon*,SAS,G,1,1,12.0,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0
Lindsey Harding,LAS,G,33,33,30.6,4.1,9.2,0.441,0.1,0.7,0.182,3.9,8.5,0.461,2.7,3.5,0.759,0.5,2.7,5.2,1.0,0.4,2.5,1.8,10.9
Amber Harris,MIN,F,30,1,8.8,0.9,2.4,0.375,0.1,0.5,0.143,0.8,1.9,0.431,0.5,0.7,0.714,0.4,1.5,0.7,0.1,0.2,0.5,0.9,2.4
Tianna Hawkins,SEA,F,33,0,9.7,1.5,2.8,0.527,0.2,0.6,0.238,1.3,2.1,0.614,0.3,0.4,0.846,0.5,1.6,0.2,0.3,0.1,0.7,1.8,3.4
Tiffany Hayes,ATL,G,23,4,22.3,3.5,8.6,0.406,1.0,2.7,0.377,2.5,5.9,0.419,3.3,4.4,0.745,0.9,3.7,1.7,1.2,0.1,1.7,2.3,11.3
Aneika Henry-Morello,ATL,F-C,34,1,12.8,1.6,3.5,0.45,0.0,0.0,,1.6,3.5,0.45,0.8,1.0,0.765,1.3,3.9,0.5,0.3,0.5,0.8,1.2,3.9
Allison Hightower,CON,G,21,21,32.0,5.1,12.1,0.424,1.1,3.1,0.364,4.0,9.0,0.444,1.3,1.9,0.7,0.4,3.1,3.0,1.1,0.3,1.5,2.7,12.8
Tayler Hill,WAS,G,34,7,17.4,1.9,5.6,0.328,1.0,3.1,0.333,0.8,2.6,0.322,1.7,2.1,0.843,0.2,1.7,1.5,0.7,0.1,1.1,0.9,6.5
Roneeka Hodges,TUL,G,33,8,17.2,1.8,4.5,0.387,1.2,3.5,0.36,0.5,1.1,0.472,0.2,0.2,0.875,0.1,1.2,1.0,0.5,0.1,0.5,0.9,5.0
Ebony Hoffman,LAS,F,33,0,12.5,1.4,3.3,0.426,0.0,0.4,0.071,1.4,2.8,0.479,0.2,0.3,0.889,0.4,1.9,1.0,0.5,0.3,0.7,2.2,3.1
