Player,Team,Pos,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,IND,F,34,17,18.3,2.9,5.2,0.557,0.0,0.0,,2.9,5.2,0.557,1.3,1.7,0.763,1.1,3.7,0.7,0.4,0.5,0.9,2.2,7.1
Danielle Adams,CON,F-C,19,0,4.4,0.8,2.4,0.356,0.6,1.6,0.387,0.2,0.7,0.286,0.3,0.3,1.0,0.4,0.6,0.2,0.2,0.2,0.4,1.3,2.6
Matee Ajavon,ATL,G,31,2,8.1,0.7,2.5,0.289,0.0,0.1,0.0,0.7,2.3,0.306,1.0,1.3,0.795,0.3,1.2,1.0,0.4,0.0,0.9,1.0,2.4
Evelyn Akhator,DAL,F,15,0,4.1,0.3,1.1,0.25,0.0,0.0,,0.3,1.1,0.25,0.3,0.4,0.833,0.5,0.6,0.0,0.1,0.2,0.3,0.4,0.9
Kayla Alexander,SAS,C,34,10,15.4,2.8,4.9,0.582,0.0,0.0,,2.8,4.9,0.582,0.6,0.6,0.909,1.3,3.1,0.5,0.4,0.5,0.9,2.0,6.2
Lindsay Allen,NYL,G,28,0,13.4,0.8,2.2,0.371,0.0,0.5,0.0,0.8,1.8,0.469,0.3,0.4,0.7,0.4,1.5,2.2,0.6,0.0,0.7,0.9,1.9
Rebecca Allen,NYL,F-G,33,0,9.2,1.2,3.1,0.376,0.5,1.3,0.341,0.7,1.7,0.404,0.1,0.2,0.333,0.4,2.0,0.5,0.4,0.4,0.5,1.1,2.8
Ameryst Alston,NYL,G,2,0,1.5,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.0,0.0,0.5,0.0,1.0
Seimone Augustus*,MIN,G-F,32,32,27.7,4.6,9.2,0.502,0.6,1.4,0.432,4.0,7.8,0.514,1.0,1.2,0.868,0.4,2.9,4.0,0.6,0.1,1.4,1.0,10.9
Rachel Banham,CON,G,30,0,9.4,1.1,3.4,0.327,0.5,1.9,0.281,0.6,1.5,0.386,0.5,0.7,0.8,0.1,1.1,0.7,0.1,0.0,0.4,0.9,3.3
