Player,Team,Pos,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,MIN,F,34,29,24.8,3.9,8.8,0.443,1.3,3.0,0.446,2.6,5.8,0.442,1.1,1.3,0.837,1.6,4.4,2.5,1.3,0.1,2.0,2.5,10.1
Chantelle Anderson,SAS,C,11,1,7.8,0.9,1.8,0.5,0.0,0.0,,0.9,1.8,0.5,0.7,1.1,0.667,0.5,1.8,0.3,0.1,0.5,0.5,1.0,2.5
La'Tangela Atkinson,SAC,G-F,28,0,8.1,0.8,1.7,0.468,0.0,0.1,0.0,0.8,1.6,0.489,0.5,0.7,0.737,0.5,1.6,0.5,0.4,0.2,1.2,0.5,2.1
Seimone Augustus*,MIN,G-F,34,34,32.1,8.7,17.1,0.508,0.8,1.8,0.419,7.9,15.3,0.518,4.4,5.1,0.873,1.1,4.0,2.3,1.2,0.6,2.4,1.7,22.6
Alison Bales,IND,C,17,0,9.9,1.4,2.5,0.571,0.0,0.0,,1.4,2.5,0.571,0.4,0.5,0.875,0.7,2.6,0.1,0.2,0.8,0.4,0.8,3.2
Mistie Bass,HOU,F,19,0,5.3,0.5,1.7,0.281,0.0,0.1,0.0,0.5,1.6,0.29,0.2,0.8,0.25,0.7,1.5,0.3,0.3,0.3,0.6,0.8,1.2
Ashley Battle,NYL,F,34,5,22.3,2.6,7.2,0.365,0.9,2.7,0.312,1.8,4.4,0.397,1.3,1.7,0.776,0.9,3.7,1.6,1.0,0.1,1.4,1.5,7.4
Alana Beard,WAS,G-F,33,33,35.4,6.8,16.3,0.416,1.4,4.4,0.322,5.4,11.9,0.45,3.8,4.5,0.847,0.8,4.2,3.0,1.9,0.7,2.8,3.2,18.8
Tully Bevilaqua,IND,G,34,34,26.5,1.9,4.4,0.44,1.0,2.6,0.371,1.0,1.8,0.541,0.4,0.6,0.682,0.4,2.2,2.7,1.6,0.1,1.6,2.6,5.3
Sue Bird,SEA,G,29,29,31.7,4.1,9.5,0.428,1.6,4.6,0.338,2.5,4.9,0.51,0.8,0.9,0.846,0.3,2.0,4.9,1.5,0.3,2.3,1.6,10.4
Nikki Blue,WAS,G,30,1,14.0,1.2,3.6,0.324,0.2,0.9,0.222,1.0,2.7,0.358,1.0,1.2,0.838,0.4,2.1,1.6,0.7,0.2,1.2,1.8,3.6
Lindsay Bowen,NYL,G,6,1,6.2,0.5,1.7,0.3,0.5,1.0,0.5,0.0,0.7,0.0,0.0,0.0,,0.0,0.3,0.2,0.0,0.0,0.7,0.0,1.5
Kara Braxton,DET,C-F,31,20,17.6,2.7,6.1,0.447,0.0,0.0,,2.7,6.1,0.447,1.3,1.9,0.672,1.7,5.4,0.5,0.5,0.5,2.0,2.9,6.7
Rebekkah Brunson,SAC,F,33,29,28.2,4.3,9.0,0.473,0.0,0.1,0.0,4.3,8.9,0.48,2.9,4.2,0.686,3.9,8.9,0.7,1.3,0.9,1.8,2.4,11.5
Janell Burse,SEA,C,29,29,24.4,3.2,7.2,0.445,0.0,0.0,0.0,3.2,7.2,0.447,2.4,3.5,0.693,2.3,5.3,0.8,0.4,1.0,2.0,3.0,8.8
Latasha Byears,HOU,G-F,30,0,10.9,2.2,3.7,0.591,0.0,0.0,,2.2,3.7,0.591,0.7,1.2,0.583,1.2,2.5,0.5,0.8,0.2,1.2,2.0,5.0
Dominique Canty,CHI,G,30,27,25.9,2.9,8.0,0.361,0.1,0.5,0.25,2.8,7.5,0.369,2.7,3.8,0.704,0.6,2.1,4.1,1.0,0.1,1.9,1.4,8.6
Jamie Carey,CON,G,33,0,12.7,1.1,3.1,0.366,1.0,2.2,0.451,0.2,0.9,0.167,0.2,0.2,0.75,0.0,0.9,0.9,0.1,0.0,0.5,0.9,3.4
Swin Cash*,DET,F,31,31,30.9,4.1,9.9,0.41,0.0,0.1,0.0,4.1,9.8,0.414,3.0,3.9,0.76,1.7,6.1,2.5,0.6,0.4,2.6,2.3,11.1
Iziane Castro Marques,SEA,F-G,34,34,28.3,4.1,9.7,0.42,1.8,4.6,0.385,2.3,5.1,0.451,2.4,3.0,0.802,0.6,2.8,2.8,1.0,0.1,1.9,2.1,12.3
Tamika Catchings*,IND,F,21,21,32.3,5.1,12.3,0.417,1.1,3.5,0.311,4.0,8.8,0.459,5.2,6.3,0.82,2.6,9.0,4.7,3.1,1.0,3.0,3.0,16.6
Cori Chambers,CON,G,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Kayte Christensen,CHI,F,23,7,9.2,0.9,2.1,0.417,0.0,0.0,,0.9,2.1,0.417,0.3,0.8,0.444,0.7,1.9,0.3,0.4,0.2,0.9,2.6,2.1
Shameka Christon,NYL,G,33,32,32.3,3.6,9.9,0.36,1.2,3.6,0.328,2.4,6.3,0.378,2.8,3.5,0.795,1.0,4.5,2.1,1.0,0.6,2.5,3.0,11.2
Claire Coggins,CHI,G,20,1,9.8,1.0,3.9,0.247,0.5,2.5,0.2,0.5,1.4,0.333,0.1,0.2,0.25,0.2,0.8,0.4,0.3,0.1,1.0,1.4,2.5
Stacey Dales,CHI,F,31,30,27.3,3.5,10.1,0.347,2.2,6.5,0.338,1.3,3.6,0.363,1.1,1.3,0.846,0.5,1.8,2.7,0.6,0.0,1.8,1.7,10.3
Helen Darling,SAS,G,33,19,20.7,1.4,3.6,0.383,0.5,1.2,0.366,0.9,2.4,0.392,0.8,1.1,0.771,0.2,2.1,3.1,1.4,0.0,1.6,2.5,4.1
Jessica Davenport,NYL,C,33,13,11.6,1.8,4.2,0.445,0.0,0.0,0.0,1.8,4.1,0.449,1.6,2.0,0.818,0.7,2.7,0.3,0.2,0.9,1.3,2.0,5.3
Dee Davis,HOU,G,3,0,6.3,0.7,2.0,0.333,0.7,1.0,0.667,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.7,0.7,2.0
Anna DeForge,IND,G,34,34,23.4,3.3,7.9,0.418,1.3,3.1,0.41,2.0,4.8,0.423,0.9,0.9,0.906,0.8,3.3,1.5,0.8,0.1,1.4,1.1,8.7
Jennifer Derevjanik,PHO,G,23,0,8.7,0.6,1.3,0.433,0.0,0.4,0.1,0.5,0.9,0.6,0.4,0.5,0.818,0.2,1.0,1.0,0.3,0.0,0.7,0.8,1.6
Erika de Souza,CON,F-C,32,2,12.2,2.0,3.7,0.534,0.0,0.0,,2.0,3.7,0.534,0.3,0.7,0.476,1.2,3.0,0.4,0.2,0.9,1.1,1.7,4.3
Tamecka Dixon,HOU,G,18,0,27.2,5.0,11.4,0.439,0.3,0.9,0.294,4.7,10.4,0.452,1.7,2.0,0.861,0.7,3.2,3.2,1.3,0.3,2.1,2.3,12.0
Shay Doron,NYL,G,7,2,5.0,0.6,1.6,0.364,0.1,0.1,1.0,0.4,1.4,0.3,0.1,0.3,0.5,0.0,0.4,0.0,0.4,0.0,0.1,0.3,1.4
Scholanda Dorrell,SAC,G,34,0,15.4,2.0,5.0,0.406,0.2,0.9,0.25,1.8,4.1,0.442,1.5,2.1,0.714,0.7,1.4,0.9,1.1,0.3,1.4,1.6,5.8
Katie Douglas,CON,G-F,34,34,33.3,6.1,14.2,0.428,2.0,5.9,0.338,4.1,8.3,0.491,2.8,3.6,0.779,1.4,4.6,3.7,1.9,0.3,2.8,2.0,17.0
Megan Duffy,MIN,G,5,0,9.6,0.2,1.8,0.111,0.2,1.6,0.125,0.0,0.2,0.0,0.8,0.8,1.0,0.4,1.0,1.4,0.2,0.0,0.8,1.4,1.4
Candice Dupree,CHI,F,33,33,32.7,6.4,14.3,0.446,0.0,0.2,0.0,6.4,14.1,0.451,3.8,4.8,0.775,2.4,7.7,1.4,0.9,1.2,2.5,2.5,16.5
Margo Dydek,CON,C,32,30,20.1,2.8,5.8,0.487,0.1,0.2,0.4,2.8,5.7,0.489,0.9,1.2,0.789,1.2,6.5,1.0,0.4,2.1,1.6,2.3,6.7
Shyra Ely-Gash,SEA,F,29,0,9.7,0.7,2.1,0.323,0.2,0.5,0.333,0.5,1.6,0.319,0.7,1.1,0.645,0.3,1.3,0.4,0.3,0.0,0.7,1.0,2.2
Barbara Farris,NYL,F-C,28,0,8.5,0.7,2.1,0.345,0.0,0.0,,0.7,2.1,0.345,0.5,0.6,0.813,0.6,1.5,0.5,0.2,0.0,0.7,1.1,1.9
Marie Ferdinand-Harris,SAS,G,34,12,14.1,1.8,5.0,0.359,0.2,0.8,0.222,1.6,4.2,0.385,1.1,1.2,0.9,1.0,2.4,0.8,0.6,0.1,1.1,1.6,4.8
