Player,Team,Pos,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Candice Dupree,PHO,F,34,34,31.2,6.2,11.6,0.533,0.0,0.0,,6.2,11.6,0.533,2.1,2.5,0.849,1.2,7.6,2.4,0.9,0.5,1.4,1.4,14.5
Aaryn Ellenberg,CHI,G,2,0,0.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelly Faris,CON,G,25,0,7.7,0.3,1.3,0.242,0.2,0.6,0.267,0.2,0.7,0.222,0.3,0.4,0.8,0.2,1.2,0.4,0.1,0.1,0.3,0.7,1.1
Jamierra Faulkner,CHI,G,34,18,20.4,2.8,7.8,0.362,0.4,1.4,0.265,2.4,6.4,0.384,1.8,2.2,0.838,0.3,2.0,3.5,1.0,0.2,2.4,1.9,7.9
Sylvia Fowles,CHI,C,20,18,29.8,5.1,9.3,0.546,0.0,0.0,,5.1,9.3,0.546,3.3,4.2,0.783,2.3,10.2,0.6,1.4,2.1,2.9,3.3,13.4
Markeisha Gatling,CHI,C,29,1,11.0,1.6,2.4,0.648,0.0,0.0,,1.6,2.4,0.648,0.6,0.8,0.727,0.8,2.4,0.0,0.1,0.4,0.7,2.2,3.7
Briana Gilbreath-Butler,CON,G,6,0,6.0,0.2,1.0,0.167,0.0,0.3,0.0,0.2,0.7,0.25,0.0,0.0,,0.0,0.8,0.0,0.2,0.2,0.3,0.5,0.3
Sasha Goodlett,CHI,C,34,15,12.9,1.3,2.9,0.454,0.0,0.0,,1.3,2.9,0.454,0.8,1.1,0.722,0.8,2.3,0.3,0.3,0.5,0.6,1.5,3.4
Angel Goodrich,TUL,G,28,0,6.5,0.4,0.9,0.5,0.0,0.1,0.5,0.4,0.8,0.5,0.1,0.3,0.571,0.1,0.4,0.8,0.3,0.0,0.7,0.5,1.0
Kalana Greene,WAS,G,20,0,3.9,0.3,0.8,0.4,0.0,0.1,0.0,0.3,0.7,0.462,0.2,0.2,0.75,0.0,0.6,0.1,0.4,0.0,0.0,0.5,0.8
Nikki Greene,LAS,F-C,11,0,3.5,0.2,0.9,0.2,0.0,0.0,,0.2,0.9,0.2,0.1,0.1,1.0,0.3,1.0,0.0,0.1,0.1,0.5,0.9,0.5
Kelsey Griffin,CON,F,31,10,19.2,1.7,5.1,0.327,0.3,1.0,0.267,1.4,4.2,0.341,0.8,1.1,0.706,1.9,5.1,0.8,1.3,0.5,0.6,2.4,4.4
Brittney Griner,PHO,C,34,34,30.7,6.4,11.1,0.578,0.0,0.0,,6.4,11.1,0.578,2.7,3.4,0.802,1.8,8.0,1.6,0.6,3.8,1.9,3.2,15.6
Sandrine Gruda,LAS,F-C,34,0,12.0,1.5,3.8,0.392,0.0,0.0,,1.5,3.8,0.392,0.8,1.1,0.667,1.2,3.0,0.6,0.4,0.1,1.3,1.3,3.8
Becky Hammon*,SAS,G,32,32,24.5,2.8,6.8,0.417,1.5,3.7,0.398,1.4,3.1,0.44,1.1,1.1,1.0,0.1,1.4,4.2,0.4,0.1,1.7,1.2,8.3
Lindsey Harding,LAS,G,31,10,22.7,2.3,6.8,0.333,0.2,0.7,0.227,2.1,6.1,0.346,1.1,1.4,0.786,0.5,1.8,3.2,1.0,0.0,1.5,1.6,5.7
Bria Hartley,WAS,G,34,29,27.1,3.4,9.0,0.38,1.0,3.0,0.327,2.4,6.0,0.407,1.9,2.4,0.78,0.6,2.1,3.1,0.7,0.1,2.5,1.8,9.7
Jasmine Hassell,IND,F,2,0,10.5,1.5,2.5,0.6,0.0,0.0,,1.5,2.5,0.6,0.0,0.0,,0.0,0.0,0.5,1.5,0.0,1.0,2.5,3.0
Tianna Hawkins,WAS,F,34,0,10.6,1.7,3.5,0.479,0.1,0.5,0.294,1.5,3.0,0.51,0.7,0.9,0.719,1.4,3.0,0.5,0.4,0.2,1.0,2.0,4.2
Tiffany Hayes,ATL,G,34,32,28.4,4.2,9.0,0.466,1.2,3.3,0.357,3.0,5.7,0.528,3.3,4.3,0.76,0.9,3.0,2.5,1.0,0.3,1.2,2.4,12.9
