Player,Team,Pos,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Lindsay Allen,MIN,G,29,20,24.1,2.2,5.6,0.399,0.2,1.2,0.206,2.0,4.4,0.45,1.4,1.8,0.792,0.6,2.4,4.5,0.6,0.1,1.3,2.1,6.2
Rebecca Allen,CON,F-G,40,27,21.5,2.5,6.0,0.408,1.0,2.9,0.348,1.5,3.1,0.464,0.5,0.7,0.704,0.7,2.8,0.9,0.9,1.3,0.9,1.9,6.4
Laeticia Amihere,ATL,F,21,0,7.0,0.8,2.0,0.405,0.0,0.0,0.0,0.8,2.0,0.415,1.0,2.0,0.537,0.2,1.0,0.2,0.2,0.4,0.5,1.0,2.7
Ariel Atkins,WAS,G,27,27,25.1,3.9,9.3,0.414,1.6,4.6,0.339,2.3,4.7,0.488,2.3,2.5,0.897,0.7,3.1,2.3,1.2,0.3,1.3,2.6,11.5
Shakira Austin,WAS,C-F,19,17,23.2,4.1,8.1,0.5,0.0,0.0,,4.1,8.1,0.5,1.9,3.1,0.61,1.5,7.0,0.9,0.8,0.9,1.8,2.3,10.0
Rachel Banham,MIN,G,32,1,13.6,1.9,5.2,0.37,1.3,3.3,0.402,0.6,1.8,0.31,0.3,0.4,0.786,0.1,1.0,1.7,0.3,0.1,1.1,1.4,5.5
Kierstan Bell,LVA,F,36,0,11.8,1.5,4.3,0.346,0.6,2.3,0.244,0.9,2.0,0.465,0.2,0.3,0.6,0.4,1.6,0.5,0.4,0.1,0.4,1.3,3.7
Grace Berger,IND,G,36,0,14.6,1.6,3.5,0.449,0.4,0.9,0.471,1.1,2.6,0.441,0.6,0.7,0.84,0.2,1.6,1.9,0.5,0.2,1.0,1.1,4.2
Morgan Bertsch,CHI,F,28,5,14.2,1.7,3.7,0.456,0.6,1.3,0.444,1.1,2.4,0.463,0.4,0.6,0.75,0.4,1.7,0.7,0.4,0.3,1.1,1.8,4.4
Monique Billings,ATL,F,39,9,16.7,1.7,4.3,0.407,0.0,0.1,0.0,1.7,4.2,0.417,1.3,1.6,0.836,1.4,5.0,0.8,0.4,0.3,1.0,1.9,4.8
DeWanna Bonner,CON,F-G,40,40,30.1,5.8,13.7,0.425,1.9,5.7,0.329,4.0,8.0,0.494,3.9,4.5,0.862,0.9,5.6,2.2,1.1,0.6,1.5,1.6,17.4
Aliyah Boston,IND,F-C,40,40,31.2,5.8,10.1,0.578,0.1,0.3,0.4,5.7,9.8,0.583,2.7,3.6,0.745,3.1,8.4,2.2,1.3,1.3,1.9,3.1,14.5
Kalani Brown,DAL,C,32,5,16.4,2.8,4.5,0.629,0.0,0.0,0.0,2.8,4.4,0.634,2.2,2.7,0.802,1.7,4.5,1.0,0.2,0.7,1.3,2.0,7.8
Lexie Brown,LAS,G,12,11,30.3,4.5,9.3,0.486,2.3,5.4,0.415,2.3,3.8,0.587,1.2,1.3,0.875,0.2,2.1,2.4,0.9,0.3,1.3,1.2,12.4
Leigha Brown,CON,G,25,0,5.2,0.3,1.0,0.308,0.0,0.4,0.1,0.3,0.6,0.438,0.2,0.2,0.667,0.2,0.8,0.4,0.2,0.1,0.4,0.8,0.8
Rae Burrell,LAS,G-F,29,3,11.1,1.2,3.2,0.387,0.6,1.4,0.39,0.7,1.8,0.385,0.6,0.7,0.81,0.4,1.2,0.6,0.4,0.1,0.5,0.9,3.6
Veronica Burton,DAL,G,40,13,13.9,0.6,2.1,0.294,0.3,1.2,0.271,0.3,0.9,0.324,0.8,0.9,0.912,0.6,1.8,2.2,0.7,0.3,0.4,1.4,2.4
Maya Caldwell,IND,G,30,1,10.1,0.7,2.4,0.292,0.1,1.0,0.138,0.6,1.4,0.395,0.4,0.5,0.857,0.3,0.9,0.6,0.3,0.1,0.7,0.9,1.9
Jordin Canada,LAS,G,38,38,32.6,4.3,10.6,0.404,1.1,3.2,0.333,3.2,7.4,0.436,3.6,4.2,0.873,0.2,3.1,6.0,2.3,0.2,2.7,2.3,13.3
Emma Cannon,IND,F,30,3,10.5,2.0,4.5,0.455,0.4,1.1,0.382,1.6,3.3,0.48,1.3,1.5,0.909,0.8,3.1,0.5,0.1,0.1,1.1,1.4,5.8
Bridget Carleton,MIN,F,38,4,15.1,1.1,3.1,0.345,0.8,2.3,0.337,0.3,0.8,0.367,0.3,0.4,0.733,0.5,2.3,0.9,0.3,0.1,0.4,1.3,3.2
DiJonai Carrington,CON,G-F,32,0,17.2,2.9,7.0,0.417,0.7,1.9,0.371,2.2,5.0,0.435,1.8,2.3,0.757,0.8,2.9,1.3,0.6,0.1,1.1,2.1,8.3
Kaila Charles,SEA,G-F,4,0,10.3,0.8,3.0,0.25,0.0,0.5,0.0,0.8,2.5,0.3,0.0,0.0,,0.8,1.3,0.3,0.3,0.0,0.0,2.3,1.5
Layshia Clarendon,LAS,G,24,24,28.6,4.0,8.0,0.497,0.9,1.9,0.457,3.1,6.1,0.51,2.3,2.5,0.915,1.0,3.0,3.4,1.1,0.0,2.3,2.6,11.1
Alysha Clark,LVA,F,39,1,22.5,2.3,5.3,0.444,1.3,3.4,0.386,1.0,1.9,0.548,0.7,0.8,0.818,0.5,3.4,1.1,0.6,0.2,0.7,2.2,6.7
Natasha Cloud,WAS,G,37,37,32.4,4.0,10.7,0.377,1.2,4.1,0.298,2.8,6.6,0.426,3.4,3.8,0.9,0.2,3.7,6.2,1.1,0.3,2.6,2.6,12.7
Nia Clouden,LAS,G,5,1,10.8,0.6,2.0,0.3,0.2,0.6,0.333,0.4,1.4,0.286,0.2,0.4,0.5,0.0,0.4,1.8,0.0,0.0,1.6,1.0,1.6
Nia Coffey,ATL,F,31,31,21.9,2.7,6.2,0.432,1.1,2.6,0.402,1.6,3.5,0.455,0.5,0.8,0.625,0.5,4.8,1.5,0.5,1.2,1.4,2.2,6.9
Napheesa Collier,MIN,F,37,37,33.5,8.0,16.6,0.485,0.9,3.1,0.298,7.1,13.5,0.527,4.5,5.4,0.84,1.9,8.5,2.5,1.6,1.2,2.4,2.4,21.5
Sydney Colson,LVA,G,28,0,4.8,0.4,1.0,0.444,0.2,0.6,0.375,0.2,0.4,0.545,0.2,0.2,0.833,0.1,0.4,0.8,0.3,0.0,0.2,0.9,1.3
Zia Cooke,LAS,G,39,4,14.1,1.7,5.8,0.289,0.5,1.8,0.261,1.2,4.0,0.301,1.0,1.2,0.813,0.3,0.9,0.8,0.3,0.3,0.7,0.9,4.8
Kahleah Copper,CHI,G-F,38,38,31.2,6.9,15.4,0.448,1.8,4.5,0.404,5.1,10.9,0.466,3.1,4.0,0.77,0.7,4.4,2.0,0.9,0.3,2.5,2.4,18.7
Lauren Cox,CON,F,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lorela Cubaj,ATL,F-C,3,0,6.3,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,,0.0,2.3,0.0,0.0,0.3,0.3,1.3,0.0
Sophie Cunningham,PHO,G,31,31,29.0,3.6,8.7,0.413,1.9,5.5,0.337,1.7,3.1,0.546,2.3,2.6,0.875,0.5,2.8,2.1,0.6,0.4,1.5,3.2,11.3
Crystal Dangerfield,DAL,G,35,32,27.8,3.4,8.0,0.425,0.8,2.7,0.29,2.6,5.3,0.492,0.6,0.8,0.815,0.8,2.9,3.1,0.9,0.2,1.2,1.3,8.2
Elena Delle Donne,WAS,F-G,23,23,27.5,6.2,12.7,0.485,1.0,2.7,0.393,5.1,10.1,0.509,3.3,3.5,0.938,0.9,5.4,2.1,0.8,0.9,1.3,1.9,16.7
