Player,Team,Pos,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,SEA,F,34,1,20.2,2.9,6.9,0.415,1.1,3.0,0.376,1.7,3.9,0.444,0.7,1.3,0.568,0.7,3.1,2.0,1.2,0.1,1.8,2.1,7.6
Jessica Adair,MIN,C,1,0,14.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,3.0,4.0,0.75,4.0,8.0,0.0,0.0,0.0,0.0,4.0,5.0
Matee Ajavon,WAS,G,34,0,14.6,1.9,5.6,0.346,0.3,1.4,0.184,1.7,4.2,0.401,1.7,2.2,0.773,0.5,1.6,1.4,1.1,0.1,1.5,1.8,5.9
Nicky Anosike,MIN,F-C,31,30,29.9,2.7,7.2,0.372,0.0,0.0,,2.7,7.2,0.372,3.8,5.0,0.773,2.6,6.8,1.9,2.0,1.0,2.1,3.0,9.2
Jayne Appel-Marinelli,SAS,C,28,0,10.9,1.4,2.5,0.535,0.0,0.1,0.333,1.3,2.4,0.544,0.7,1.2,0.559,0.8,2.5,0.5,0.3,0.2,0.7,1.4,3.4
Seimone Augustus*,MIN,G-F,25,25,33.3,7.0,16.4,0.429,1.4,4.3,0.336,5.6,12.1,0.462,1.4,2.0,0.667,0.4,3.2,1.9,0.7,0.3,1.4,1.3,16.9
Alison Bales,ATL,C,34,3,15.6,1.2,2.9,0.433,0.1,0.4,0.417,1.1,2.5,0.435,1.3,1.6,0.796,0.9,3.8,0.8,0.7,1.1,0.7,1.8,3.9
Mistie Bass,CHI,F,34,20,18.9,2.0,3.8,0.527,0.0,0.1,0.0,2.0,3.7,0.535,0.9,1.4,0.625,1.6,3.9,1.1,0.6,0.4,1.1,1.4,4.9
Ashley Battle,SAS,F,5,0,7.0,0.8,2.4,0.333,0.0,1.0,0.0,0.8,1.4,0.571,0.0,0.0,,0.8,1.8,0.2,0.0,0.0,0.6,1.0,1.6
Tully Bevilaqua,IND,G,34,27,19.4,1.4,3.5,0.383,0.8,2.3,0.338,0.6,1.3,0.465,0.4,0.7,0.583,0.5,2.1,1.6,1.4,0.1,1.2,1.9,3.9
Sue Bird,SEA,G,33,33,30.5,4.1,9.4,0.434,1.8,4.5,0.399,2.3,4.9,0.466,1.1,1.3,0.857,0.2,2.7,5.8,1.5,0.2,1.8,1.4,11.1
Abby Bishop,SEA,F,16,0,6.8,1.0,2.8,0.356,0.4,1.5,0.25,0.6,1.3,0.476,0.4,0.7,0.545,0.7,1.3,0.3,0.1,0.1,0.8,1.6,2.8
Chante Black,TUL,C,34,23,20.9,2.4,4.4,0.537,0.0,0.0,,2.4,4.4,0.537,0.5,1.4,0.347,2.5,6.5,0.6,0.5,1.6,1.3,2.1,5.2
Nikki Blue,NYL,G,15,0,5.1,0.4,1.4,0.286,0.1,0.4,0.167,0.3,1.0,0.333,0.3,0.5,0.714,0.1,0.4,0.9,0.3,0.0,0.6,0.8,1.2
DeWanna Bonner,PHO,F-G,32,4,25.4,4.1,8.9,0.465,0.6,1.7,0.358,3.5,7.2,0.489,3.1,3.7,0.84,2.1,6.1,1.3,0.7,1.2,1.3,1.8,12.0
Kiesha Brown,TUL,G,27,8,17.8,2.1,5.3,0.389,0.7,1.7,0.391,1.4,3.6,0.388,0.9,1.0,0.821,0.3,2.0,2.4,0.6,0.0,1.5,1.4,5.7
Rebekkah Brunson,MIN,F,30,30,30.5,3.9,9.1,0.429,0.0,0.0,0.0,3.9,9.1,0.43,3.5,5.3,0.663,4.0,10.3,0.8,1.2,1.0,1.6,3.0,11.3
Dominique Canty,CHI,G,34,34,26.0,3.1,7.2,0.43,0.1,0.3,0.182,3.0,6.9,0.442,2.8,4.0,0.693,1.0,2.6,3.4,1.0,0.2,2.2,2.6,9.0
Essence Carson,NYL,G,34,0,9.6,1.5,3.6,0.407,0.1,0.7,0.16,1.4,2.9,0.469,0.6,0.9,0.688,0.4,1.6,0.7,0.4,0.2,0.8,0.7,3.7
Swin Cash*,SEA,F,34,34,30.8,4.7,10.9,0.435,1.0,2.5,0.407,3.7,8.4,0.444,3.3,4.1,0.807,1.9,6.0,2.0,0.6,0.5,2.9,3.1,13.8
Iziane Castro Marques,ATL,F-G,34,34,28.9,6.5,14.6,0.444,1.4,4.6,0.295,5.1,10.0,0.512,2.6,4.0,0.659,0.4,1.7,2.6,0.8,0.1,2.8,2.1,16.9
Tamika Catchings*,IND,F,34,34,31.4,6.1,12.6,0.484,1.4,3.1,0.448,4.7,9.5,0.495,4.6,5.4,0.849,1.7,7.1,4.0,2.3,0.9,2.7,2.7,18.2
Tina Charles,CON,C,34,34,31.0,6.1,12.4,0.487,0.0,0.0,0.0,6.1,12.4,0.488,3.4,4.5,0.763,3.8,11.7,1.5,0.7,1.7,2.1,2.1,15.5
Joy Cheek,IND,F,7,0,4.9,0.7,1.7,0.417,0.1,0.4,0.333,0.6,1.3,0.444,0.6,0.6,1.0,0.0,0.4,0.1,0.0,0.0,0.7,1.0,2.1
Shameka Christon,CHI,G,10,9,21.3,2.8,7.8,0.359,1.4,3.5,0.4,1.4,4.3,0.326,1.5,1.6,0.938,0.3,2.4,2.4,0.3,0.2,0.9,2.3,8.5
Marissa Coleman,WAS,G-F,34,1,19.5,2.2,5.6,0.397,1.2,3.0,0.402,1.0,2.6,0.391,0.9,1.2,0.756,0.7,3.3,1.5,0.9,0.4,1.2,2.0,6.5
Monique Currie,WAS,F,34,34,26.2,4.3,9.9,0.436,1.1,2.4,0.446,3.2,7.4,0.433,4.4,5.0,0.877,1.3,4.8,1.6,1.4,0.4,2.6,3.5,14.1
Helen Darling,SAS,G,33,1,11.8,0.5,1.8,0.3,0.2,0.7,0.273,0.4,1.2,0.316,0.7,1.0,0.647,0.3,1.0,1.4,0.6,0.0,1.0,1.5,1.9
Jessica Davenport,IND,C,33,0,14.2,2.9,5.1,0.571,0.0,0.2,0.143,2.9,4.9,0.59,1.5,2.1,0.725,0.8,2.8,0.5,0.4,0.8,1.2,2.0,7.4
Erika de Souza,ATL,F-C,34,34,25.6,5.6,9.8,0.571,0.0,0.0,,5.6,9.8,0.571,1.2,2.2,0.547,2.8,8.3,0.9,0.8,1.2,1.8,3.2,12.4
Scholanda Dorrell,TUL,G,34,33,24.6,4.3,10.6,0.402,0.7,2.2,0.303,3.6,8.4,0.428,2.7,3.8,0.708,0.9,2.4,1.7,1.6,0.4,2.5,2.7,11.9
Katie Douglas,IND,G-F,34,34,29.8,5.0,11.1,0.449,2.0,5.1,0.391,3.0,6.0,0.498,1.7,2.1,0.831,0.8,3.4,3.3,1.4,0.4,2.0,1.6,13.7
Candice Dupree,PHO,F,34,34,29.8,6.8,10.2,0.664,0.0,0.0,0.0,6.8,10.2,0.666,2.1,2.3,0.936,2.2,7.6,1.3,1.0,0.8,1.9,2.5,15.7
Marie Ferdinand-Harris,LAS,G,30,24,24.3,3.4,8.2,0.409,0.5,1.6,0.292,2.9,6.6,0.437,1.7,2.1,0.839,0.6,2.7,1.2,0.9,0.2,1.1,2.1,8.9
Sylvia Fowles,CHI,C,34,34,32.0,6.7,11.5,0.582,0.0,0.0,1.0,6.7,11.5,0.581,4.4,5.8,0.76,2.2,9.9,1.5,1.1,2.6,2.4,2.2,17.8
