Player,Team,Pos,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Farhiya Abdi,LAS,F,18,5,13.2,1.6,4.4,0.354,0.5,1.8,0.273,1.1,2.6,0.413,0.2,0.4,0.571,0.3,1.7,0.5,0.4,0.1,0.7,1.7,3.8
Natalie Achonwa,IND,F,28,17,17.3,3.1,5.7,0.55,0.0,0.0,,3.1,5.7,0.55,1.7,2.3,0.746,1.4,3.5,0.6,0.5,0.5,1.3,2.1,8.0
Danielle Adams,SAS,F-C,30,2,16.1,2.6,6.4,0.414,0.7,2.3,0.324,1.9,4.1,0.463,1.4,1.7,0.827,1.1,3.3,0.5,0.5,0.3,1.2,1.5,7.4
Matee Ajavon,ATL,G,33,11,17.6,2.0,4.9,0.405,0.1,0.5,0.167,1.9,4.4,0.434,1.8,2.2,0.822,0.6,2.5,2.4,1.4,0.2,1.8,2.4,5.9
Kayla Alexander,SAS,C,29,0,12.3,1.3,3.1,0.416,0.0,0.0,,1.3,3.1,0.416,0.8,1.2,0.647,1.0,3.3,0.2,0.2,0.8,0.8,1.5,3.3
Rebecca Allen,NYL,F-G,2,0,17.0,1.5,5.0,0.3,0.0,2.0,0.0,1.5,3.0,0.5,0.0,0.0,,1.0,4.5,0.0,1.5,1.0,1.5,0.5,3.0
Jayne Appel-Marinelli,SAS,C,30,28,22.4,1.3,3.4,0.382,0.0,0.1,0.0,1.3,3.3,0.398,0.7,1.1,0.647,1.3,6.2,1.4,0.8,1.3,1.3,2.5,3.3
Seimone Augustus*,MIN,G-F,16,16,30.1,6.0,13.6,0.44,0.2,1.4,0.13,5.8,12.2,0.477,1.6,1.6,1.0,0.6,2.9,2.4,0.6,0.3,1.2,1.1,13.8
Valeriane Ayayi,SAS,F,16,0,9.2,0.9,3.0,0.313,0.3,1.3,0.19,0.7,1.7,0.407,0.2,0.4,0.429,0.5,1.8,0.4,0.5,0.3,0.6,1.1,2.3
Mistie Bass,PHO,F,33,7,13.9,1.7,3.3,0.514,0.0,0.0,0.0,1.7,3.3,0.519,0.7,1.3,0.545,1.2,3.0,0.7,0.8,0.7,0.6,1.6,4.1
Vicki Baugh,TUL,F-C,34,6,15.7,2.0,4.3,0.473,0.0,0.0,0.0,2.0,4.3,0.476,1.3,1.8,0.738,1.4,4.1,0.6,0.5,0.4,1.3,2.0,5.4
Alana Beard,LAS,G-F,15,11,24.3,3.3,6.7,0.49,0.1,0.7,0.182,3.1,5.9,0.528,0.6,0.7,0.9,0.2,2.9,2.5,1.1,0.5,1.3,2.1,7.3
Alex Bentley,CON,G,25,25,30.0,5.7,13.9,0.409,1.6,4.6,0.336,4.1,9.2,0.446,1.8,2.1,0.83,0.0,2.0,2.0,2.0,0.2,1.2,2.6,14.7
Tiffany Bias,PHO,G,15,0,6.3,0.7,1.9,0.345,0.3,0.8,0.333,0.4,1.1,0.353,0.3,0.4,0.667,0.0,0.1,0.7,0.1,0.0,0.4,0.7,1.9
Sue Bird,SEA,G,27,27,28.6,4.0,10.3,0.384,0.9,3.1,0.301,3.0,7.3,0.418,1.4,1.8,0.796,0.2,2.3,5.4,0.9,0.1,2.4,1.2,10.3
Abby Bishop,SEA,F,26,14,19.6,2.0,5.2,0.385,0.9,2.7,0.329,1.1,2.5,0.446,0.3,0.5,0.615,0.3,3.5,1.0,0.7,0.8,1.1,2.8,5.2
Kelsey Bone,CON,C,34,33,28.3,6.6,13.0,0.508,0.0,0.1,0.0,6.6,12.9,0.511,1.8,2.9,0.622,1.4,6.1,1.9,0.8,0.6,2.3,2.8,15.0
DeWanna Bonner,PHO,F-G,33,33,33.3,4.8,12.7,0.378,0.9,3.6,0.254,3.9,9.1,0.427,5.3,6.1,0.866,1.1,5.7,3.3,1.3,0.8,1.8,1.8,15.8
Brittany Boyd,NYL,G,30,4,14.3,2.0,5.0,0.391,0.3,1.0,0.267,1.7,4.0,0.421,2.4,3.4,0.713,0.6,2.7,2.3,1.2,0.1,1.6,1.9,6.6
Crystal Bradford,LAS,F,15,1,9.5,1.0,3.6,0.278,0.4,1.7,0.231,0.6,1.9,0.321,0.3,0.5,0.714,0.3,1.3,0.5,0.4,0.1,0.3,1.3,2.7
Jessica Breland,CHI,F,33,30,21.4,3.0,6.4,0.471,0.0,0.0,,3.0,6.4,0.471,0.7,0.9,0.774,2.1,5.9,1.3,0.7,1.1,1.0,2.3,6.7
Rebekkah Brunson,MIN,F,34,34,27.8,3.1,6.8,0.455,0.0,0.1,0.25,3.1,6.7,0.458,1.6,1.9,0.831,2.6,8.1,1.8,1.1,0.8,1.6,2.1,7.8
Cierra Burdick,ATL,F,11,4,18.9,1.5,3.6,0.425,0.0,0.1,0.0,1.5,3.5,0.436,1.3,1.5,0.875,0.9,3.2,1.2,0.9,0.5,0.8,1.9,4.4
Essence Carson,NYL,G,33,12,19.5,2.4,6.2,0.38,0.4,1.5,0.245,2.0,4.7,0.423,1.0,1.3,0.773,0.5,2.3,1.3,0.4,0.2,1.0,1.2,6.1
Sydney Carter,ATL,G,26,7,11.3,0.6,2.8,0.208,0.2,1.2,0.167,0.4,1.6,0.238,0.6,0.8,0.8,0.2,0.9,1.2,0.3,0.1,0.6,0.6,2.0
Swin Cash*,NYL,F,34,28,17.4,1.6,4.1,0.376,0.2,1.0,0.235,1.3,3.1,0.421,1.2,1.6,0.727,0.7,2.4,1.4,0.3,0.1,1.1,1.4,4.5
Tamika Catchings*,IND,F,30,30,26.6,4.2,10.9,0.382,0.6,2.0,0.295,3.6,8.9,0.402,4.2,4.8,0.868,1.7,7.1,2.2,1.8,0.8,1.7,2.5,13.1
Tina Charles,NYL,C,34,34,31.0,7.1,15.6,0.458,0.0,0.1,0.2,7.1,15.5,0.46,2.7,3.8,0.715,2.1,8.5,2.4,0.7,0.7,2.4,1.6,17.1
Karima Christmas-Kelly,TUL,F-G,32,32,28.7,3.2,8.0,0.396,1.0,2.6,0.386,2.2,5.4,0.401,3.3,4.2,0.782,2.3,5.0,1.7,1.1,0.3,1.2,1.8,10.6
Shameka Christon,PHO,G,12,0,6.3,1.0,2.3,0.429,0.3,1.3,0.25,0.7,1.0,0.667,0.5,0.5,1.0,0.1,0.4,0.6,0.2,0.0,0.3,1.3,2.8
Layshia Clarendon,IND,G,29,12,20.8,2.7,6.0,0.445,0.4,1.1,0.406,2.2,4.9,0.454,0.9,1.2,0.765,1.0,2.7,2.0,0.7,0.0,1.6,2.0,6.7
Alysha Clark,SEA,F,33,31,23.1,2.6,4.8,0.544,0.7,2.1,0.353,1.9,2.7,0.689,0.9,1.2,0.775,0.4,3.7,1.2,0.7,0.2,1.1,2.4,6.9
Courtney Clements,LAS,G,1,0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Natasha Cloud,WAS,G,34,22,19.3,1.2,3.8,0.32,0.3,1.1,0.237,0.9,2.6,0.356,0.9,1.4,0.681,0.3,2.8,3.4,0.9,0.1,1.4,1.7,3.6
Marissa Coleman,IND,G-F,34,34,24.8,3.7,9.7,0.384,1.2,3.7,0.336,2.5,6.1,0.413,1.7,2.3,0.747,1.0,3.5,1.6,1.2,0.3,1.9,1.9,10.4
Nadia Colhado,ATL,C,6,0,5.3,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.0,0.0,,0.2,0.3,0.2,0.2,0.7,0.3,1.0,1.0
Sydney Colson,SAS,G,34,5,15.9,1.3,3.1,0.411,0.2,0.6,0.318,1.1,2.5,0.435,0.7,1.0,0.686,0.3,1.1,2.8,0.8,0.3,1.2,1.8,3.5
Carla Cortijo,ATL,G,2,0,16.0,2.5,4.5,0.556,0.5,1.0,0.5,2.0,3.5,0.571,1.5,2.0,0.75,0.0,0.5,1.0,1.0,0.0,0.5,1.5,7.0
Anna Cruz,MIN,G,22,17,29.1,3.3,7.0,0.474,0.4,1.6,0.25,2.9,5.4,0.542,1.0,1.3,0.786,0.5,3.6,3.0,1.0,0.2,2.2,1.9,8.0
Monique Currie,PHO,F,34,34,21.3,3.1,7.4,0.411,0.8,2.3,0.364,2.2,5.2,0.432,1.5,1.7,0.864,0.6,3.2,1.5,0.9,0.4,1.3,2.7,8.4
Ana Dabovic,LAS,G,24,8,22.1,3.1,6.9,0.446,0.8,2.5,0.333,2.3,4.4,0.509,1.8,2.2,0.808,0.5,1.6,1.9,0.9,0.0,1.6,2.9,8.8
Elena Delle Donne,CHI,F-G,31,31,33.3,7.7,16.7,0.46,1.4,4.3,0.313,6.3,12.4,0.512,6.7,7.0,0.95,1.9,8.4,1.4,1.1,2.0,1.2,1.7,23.4
Skylar Diggins-Smith,TUL,G,9,9,32.1,5.7,14.0,0.405,1.4,3.2,0.448,4.2,10.8,0.392,5.0,5.4,0.918,1.2,2.7,5.0,1.6,0.3,2.0,1.8,17.8
Stefanie Dolson,WAS,C,34,33,24.7,4.4,8.8,0.495,0.3,0.6,0.476,4.1,8.2,0.496,1.6,1.8,0.871,1.4,5.6,1.6,0.5,1.1,1.9,2.9,10.6
Clarissa Dos Santos,CHI,C,31,7,17.5,2.1,4.5,0.461,0.0,0.0,,2.1,4.5,0.461,1.1,1.5,0.688,1.8,4.6,0.7,0.6,0.6,1.2,2.5,5.3
Candice Dupree,PHO,F,33,33,31.2,5.8,11.4,0.512,0.0,0.0,0.0,5.8,11.3,0.513,2.5,3.1,0.802,1.2,5.1,1.7,1.0,0.4,1.5,1.4,14.1
Kelly Faris,CON,G,32,9,14.5,1.0,2.6,0.381,0.3,0.9,0.31,0.7,1.7,0.418,0.7,0.8,0.778,0.5,1.7,1.0,0.4,0.1,0.5,1.6,2.9
Jamierra Faulkner,CHI,G,33,0,9.6,1.7,4.0,0.414,0.1,0.7,0.182,1.5,3.4,0.459,0.6,0.8,0.808,0.1,1.0,1.7,0.4,0.2,1.2,1.2,4.1
Cayla George,PHO,C-F,34,2,12.7,2.0,4.6,0.427,0.5,1.8,0.283,1.5,2.9,0.515,0.6,0.6,0.864,0.8,3.1,0.7,0.4,0.6,0.8,2.1,5.0
Markeisha Gatling,SEA,C,25,4,13.7,2.0,4.0,0.495,0.0,0.0,,2.0,4.0,0.495,1.3,1.5,0.868,0.9,3.7,0.3,0.4,0.6,1.0,2.1,5.3
Jacki Gemelos,CHI,G,17,0,5.0,0.5,1.2,0.4,0.2,0.6,0.3,0.3,0.6,0.5,0.0,0.1,0.0,0.1,0.5,0.4,0.3,0.1,0.3,0.2,1.1
Briana Gilbreath-Butler,IND,G,3,0,7.7,0.3,1.7,0.2,0.0,0.3,0.0,0.3,1.3,0.25,0.0,0.0,,0.0,0.7,0.0,0.3,0.3,0.3,0.3,0.7
Sasha Goodlett,CHI,C,16,5,13.1,0.9,1.6,0.538,0.0,0.0,,0.9,1.6,0.538,0.4,0.4,0.857,0.8,1.9,0.3,0.2,0.6,0.9,1.1,2.1
Angel Goodrich,SEA,G,23,5,15.8,1.3,3.3,0.408,0.1,0.4,0.3,1.2,2.9,0.424,0.2,0.4,0.5,0.2,1.7,3.0,0.6,0.0,1.2,0.8,3.0
Chelsea Gray,CON,G,34,0,16.0,2.5,6.0,0.424,0.7,1.9,0.348,1.9,4.0,0.46,1.2,1.4,0.816,0.5,2.3,2.7,0.6,0.1,1.7,1.3,6.9
Nikki Greene,CON,F-C,12,0,8.4,0.3,0.8,0.4,0.0,0.0,,0.3,0.8,0.4,0.5,0.6,0.857,0.8,2.0,0.2,0.3,0.4,0.5,1.8,1.2
Brittney Griner,PHO,C,26,26,30.7,5.7,10.0,0.565,0.0,0.0,,5.7,10.0,0.565,3.8,4.9,0.773,1.7,8.1,1.3,0.3,4.0,2.2,2.7,15.1
Dearica Hamby,SAS,F,31,16,17.4,2.3,6.4,0.354,0.2,0.5,0.353,2.1,5.8,0.354,1.4,2.2,0.642,1.4,4.1,0.7,0.4,0.2,1.3,1.3,6.1
Jennifer Hamson,LAS,C,25,2,6.5,0.6,1.2,0.552,0.0,0.0,,0.6,1.2,0.552,0.3,1.2,0.276,0.6,1.5,0.2,0.2,0.5,0.2,0.9,1.6
Alex Harden,PHO,G,32,0,12.2,0.8,2.8,0.27,0.2,0.7,0.261,0.6,2.1,0.273,0.4,0.4,0.923,0.3,1.4,0.9,0.7,0.4,0.9,1.4,2.1
Bria Hartley,WAS,G,25,0,12.2,1.4,4.5,0.304,0.4,1.8,0.239,0.9,2.6,0.348,1.0,1.4,0.765,0.2,1.2,1.6,0.5,0.0,0.8,0.9,4.2
Tiffany Hayes,ATL,G,28,27,29.9,4.1,10.5,0.392,1.1,4.0,0.274,3.0,6.4,0.467,3.5,4.4,0.805,1.0,3.0,2.2,1.0,0.4,1.7,3.5,12.9
Aneika Henry-Morello,ATL,F-C,29,11,17.9,2.2,4.5,0.485,0.0,0.0,,2.2,4.5,0.485,0.8,1.1,0.75,1.4,4.7,0.4,0.3,0.9,1.6,2.5,5.2
Tayler Hill,WAS,G,32,0,17.0,2.5,7.1,0.348,1.2,3.6,0.319,1.3,3.5,0.378,1.4,1.9,0.726,0.3,1.3,0.9,0.9,0.1,0.9,1.0,7.5
Roneeka Hodges,ATL,G,23,9,19.5,2.2,5.7,0.382,1.2,3.3,0.36,1.0,2.4,0.411,0.9,1.2,0.75,0.4,2.0,1.3,0.2,0.2,1.0,1.3,6.4
Quanitra Hollingsworth,SEA,C,27,0,12.3,1.0,2.2,0.45,0.0,0.0,0.0,1.0,2.2,0.458,1.2,1.9,0.66,0.8,3.6,0.3,0.4,0.3,1.4,2.4,3.2
Jordan Hooper,TUL,F,34,5,17.1,1.6,4.4,0.358,1.1,3.3,0.342,0.5,1.2,0.4,0.4,0.6,0.684,0.7,2.1,0.3,0.4,0.1,0.5,1.1,4.7
Andrea Hoover,LAS,G,12,1,14.3,1.3,3.9,0.319,0.7,2.3,0.286,0.6,1.6,0.368,0.6,0.6,1.0,0.3,1.3,0.3,0.2,0.1,0.7,1.5,3.8
Natasha Howard,IND,F,30,2,11.4,1.6,4.1,0.379,0.0,0.1,0.0,1.6,4.1,0.385,1.0,1.4,0.721,0.9,2.6,0.4,0.4,0.4,0.9,2.0,4.2
Tiffany Jackson-Jones,TUL,F,12,0,14.6,1.4,2.8,0.5,0.0,0.0,,1.4,2.8,0.5,1.3,1.5,0.833,1.3,4.3,0.7,0.5,0.4,1.3,0.9,4.1
Briann January,IND,G,29,29,27.0,2.8,6.6,0.426,0.9,2.0,0.431,1.9,4.6,0.424,1.7,2.0,0.845,0.5,1.8,3.4,1.0,0.2,2.2,2.2,8.1
Shenise Johnson,IND,G,31,27,26.2,3.9,8.4,0.467,1.0,2.4,0.413,2.9,5.9,0.489,2.1,2.6,0.805,1.3,4.9,2.4,1.1,0.2,1.8,2.2,10.9
Temeka Johnson,LAS,G,34,11,21.2,1.8,5.5,0.323,0.5,2.0,0.246,1.3,3.4,0.368,1.1,1.3,0.841,0.3,2.4,3.6,0.7,0.0,1.5,2.2,5.1
Asjha Jones,MIN,F,31,12,17.5,2.5,6.0,0.411,0.0,0.1,0.0,2.5,5.8,0.42,0.6,1.0,0.6,0.8,2.8,1.6,0.5,0.5,1.1,2.2,5.5
Shae Kelley,MIN,F,8,0,2.4,0.0,0.4,0.0,0.0,0.0,,0.0,0.4,0.0,0.1,0.3,0.5,0.0,0.4,0.1,0.1,0.0,0.1,0.1,0.1
Brianna Kiesel,TUL,G,34,15,18.1,1.8,5.3,0.333,0.4,1.5,0.231,1.4,3.8,0.375,1.2,1.6,0.755,0.2,0.8,1.9,0.8,0.1,1.2,1.8,5.1
Lynetta Kizer,IND,F,33,14,17.9,3.4,6.9,0.491,0.0,0.1,0.0,3.4,6.8,0.496,1.5,1.8,0.879,1.3,3.5,0.4,0.6,0.2,1.4,2.8,8.3
Betnijah Laney,CHI,G-F,32,2,12.8,1.2,3.1,0.394,0.0,0.2,0.0,1.2,2.9,0.419,0.5,0.7,0.696,0.6,2.1,0.6,0.5,0.2,0.6,1.3,2.9
Crystal Langhorne,SEA,F-C,34,34,25.7,4.6,8.4,0.545,0.0,0.1,0.0,4.6,8.4,0.549,1.9,2.6,0.75,1.1,5.7,0.9,1.1,0.4,2.1,1.9,11.1
Erlana Larkins,IND,F,21,3,16.8,1.1,2.8,0.407,0.0,0.0,,1.1,2.8,0.407,1.2,1.8,0.684,1.7,4.2,1.3,1.0,0.2,0.7,1.6,3.5
Ivory Latta,WAS,G,34,25,27.3,4.2,10.4,0.406,2.3,6.0,0.389,1.9,4.4,0.43,2.6,2.9,0.909,0.2,1.8,2.5,0.7,0.0,1.7,1.9,13.4
Jantel Lavender,LAS,F,34,34,33.8,6.2,11.8,0.525,0.1,0.3,0.333,6.1,11.6,0.529,2.0,2.2,0.882,2.0,8.3,1.8,0.4,1.2,2.1,1.7,14.5
Kara Lawson,WAS,G,22,21,25.0,3.2,8.2,0.389,1.2,3.7,0.321,2.0,4.5,0.444,2.0,2.2,0.938,0.4,3.0,3.6,0.6,0.1,1.1,1.0,9.6
Jasmine Lister,LAS,G,7,0,9.3,1.1,2.1,0.533,0.6,0.7,0.8,0.6,1.4,0.4,0.0,0.0,,0.6,1.3,0.6,0.3,0.0,1.0,0.6,2.9
Tricia Liston,MIN,F,31,2,12.0,1.1,2.6,0.42,0.9,2.0,0.429,0.2,0.6,0.389,0.3,0.3,1.0,0.2,1.0,0.7,0.3,0.0,0.3,0.8,3.4
Camille Smith,CON,F,34,34,27.0,3.1,7.7,0.406,1.1,3.3,0.345,2.0,4.4,0.453,0.9,1.0,0.879,1.4,3.6,1.6,1.2,0.2,1.7,2.7,8.2
Jewell Loyd,SEA,G,34,23,25.9,3.7,8.9,0.411,0.3,1.4,0.208,3.4,7.5,0.449,3.1,3.4,0.904,1.0,3.5,1.9,0.6,0.2,2.0,1.6,10.7
Maggie Lucas,IND,G,30,0,15.0,1.8,4.8,0.372,1.0,2.8,0.373,0.8,2.1,0.371,1.0,1.2,0.838,0.0,0.8,0.9,0.4,0.1,0.6,1.4,5.7
Sancho Lyttle,ATL,F,24,24,30.0,4.3,9.1,0.475,0.0,0.2,0.2,4.3,8.9,0.481,1.6,2.2,0.736,2.8,8.3,2.2,2.3,0.6,1.6,2.9,10.3
Victoria Macaulay,CHI,F,4,0,6.3,0.5,1.8,0.286,0.0,0.0,,0.5,1.8,0.286,0.0,0.0,,0.3,1.0,0.0,0.5,0.3,0.8,1.8,1.0
Tess Madgen,PHO,G,8,0,7.4,0.4,1.0,0.375,0.4,0.6,0.6,0.0,0.4,0.0,0.1,0.3,0.5,0.1,0.8,0.3,0.8,0.3,0.5,1.0,1.3
Ally Malott,WAS,F,24,0,9.0,1.2,2.8,0.439,0.5,1.1,0.407,0.8,1.6,0.462,0.3,0.4,0.8,0.2,1.0,0.3,0.1,0.1,0.6,0.6,3.3
Kayla McBride,SAS,G,27,25,28.0,4.9,12.7,0.382,2.0,5.3,0.373,2.9,7.4,0.388,2.1,2.4,0.879,0.2,3.1,1.6,1.1,0.1,1.7,1.2,13.8
Angel McCoughtry,ATL,F-G,34,26,30.0,6.9,16.7,0.413,1.1,3.0,0.363,5.8,13.7,0.424,5.2,6.5,0.805,1.9,5.3,2.8,2.1,0.5,3.1,3.4,20.1
Emma Meesseman,WAS,F,34,34,27.2,5.2,9.4,0.556,0.2,0.4,0.462,5.1,9.0,0.56,1.0,1.2,0.829,1.8,6.3,1.7,0.9,1.3,1.3,2.8,11.6
DeLisha Milton-Jones,ATL,F,18,1,8.9,0.9,2.6,0.34,0.1,0.6,0.1,0.8,2.1,0.405,0.3,0.5,0.556,0.6,1.8,0.4,0.4,0.1,0.7,1.7,2.1
Leilani Mitchell,PHO,G,34,26,23.0,2.4,6.3,0.374,1.3,3.3,0.396,1.1,3.0,0.35,0.7,0.8,0.889,0.4,2.1,2.7,1.0,0.1,1.4,1.7,6.7
Alex Montgomery,SAS,G-F,14,3,16.7,2.1,5.5,0.377,0.3,1.4,0.2,1.8,4.1,0.439,0.5,0.7,0.7,1.1,4.1,0.7,0.6,0.5,1.1,1.7,4.9
Maya Moore,MIN,F,33,33,33.4,7.2,17.2,0.42,2.1,5.8,0.359,5.1,11.3,0.452,4.1,4.8,0.855,1.9,6.7,3.5,1.7,0.8,2.4,2.8,20.6
Kaleena Mosqueda-Lewis,SEA,F,27,0,12.3,2.3,5.9,0.39,0.7,2.4,0.281,1.6,3.5,0.463,0.5,0.6,0.875,0.2,0.9,0.6,0.2,0.1,0.8,1.0,5.8
Nneka Ogwumike,LAS,F,24,23,32.7,6.1,11.7,0.525,0.0,0.5,0.083,6.1,11.2,0.545,3.5,4.0,0.866,2.0,7.0,2.1,1.0,0.5,1.8,2.4,15.8
Jenna O'Hea,SEA,F,34,14,20.9,1.9,4.9,0.381,1.1,2.8,0.383,0.8,2.2,0.378,1.1,1.1,0.923,0.1,1.9,2.4,0.6,0.3,1.2,1.6,5.9
Jennifer O'Neill,MIN,G,13,0,7.8,0.6,1.8,0.348,0.4,0.7,0.556,0.2,1.1,0.214,0.6,0.6,1.0,0.2,1.1,0.8,0.2,0.1,0.7,0.7,2.2
Inga Orekhova,CON,G,4,0,2.8,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.3,0.3,0.0,0.0,0.0,0.3,0.0,0.0
Courtney Paris,TUL,C,34,34,25.0,3.1,6.3,0.486,0.0,0.0,,3.1,6.3,0.486,0.5,1.2,0.425,3.0,9.3,1.3,0.4,1.2,1.0,3.1,6.6
Candace Parker,LAS,F-C,16,16,34.4,7.3,14.8,0.489,0.8,2.7,0.279,6.5,12.1,0.536,4.1,5.1,0.815,1.1,10.1,6.3,1.9,1.8,2.5,2.4,19.4
Cheyenne Parker,CHI,F,30,0,9.3,0.9,2.3,0.4,0.0,0.0,,0.9,2.3,0.4,0.3,0.9,0.385,1.0,2.5,0.2,0.2,0.7,0.5,1.3,2.2
Kayla Pedersen,CON,F,33,1,15.5,1.2,2.7,0.433,0.0,0.0,,1.2,2.7,0.433,0.6,0.7,0.826,0.9,2.6,1.2,0.7,0.2,0.6,1.5,2.9
Jia Perkins,SAS,G,26,26,27.3,4.8,12.7,0.376,1.0,3.5,0.272,3.8,9.2,0.416,2.8,3.2,0.88,0.8,3.0,1.7,1.5,0.3,1.2,1.7,13.3
Devereaux Peters,MIN,F,33,0,14.6,1.3,3.0,0.449,0.1,0.2,0.375,1.2,2.7,0.456,0.4,0.5,0.867,0.9,3.4,0.8,0.2,0.9,0.9,1.1,3.2
Erin Phillips,LAS,G,12,12,30.9,2.2,7.6,0.286,1.0,3.8,0.267,1.2,3.8,0.304,1.4,1.7,0.85,0.8,3.0,3.1,0.9,0.2,1.5,2.4,6.8
Plenette Pierson,TUL,F,30,29,28.1,5.1,11.6,0.437,0.6,1.6,0.362,4.5,10.0,0.449,2.1,2.6,0.808,1.2,4.1,1.9,1.0,0.4,1.8,2.9,12.8
Theresa Plaisance,TUL,F,25,1,8.2,0.6,2.3,0.281,0.3,1.0,0.32,0.3,1.3,0.25,0.3,0.4,0.7,0.8,1.9,0.2,0.2,0.2,0.1,1.2,1.9
Jeanette Pohlen-Mavunga,IND,G,26,1,10.0,0.8,2.0,0.404,0.6,1.5,0.395,0.2,0.5,0.429,0.2,0.3,0.75,0.2,0.8,0.6,0.5,0.0,0.4,0.9,2.4
Cappie Pondexter,CHI,G,29,29,30.2,5.6,12.8,0.439,0.8,2.2,0.381,4.8,10.6,0.451,2.9,3.5,0.824,0.2,3.8,2.1,1.0,0.2,1.4,2.1,15.0
Armintie Herrington,WAS,G,25,3,10.4,0.7,1.7,0.419,0.0,0.0,0.0,0.7,1.7,0.429,0.2,0.6,0.4,0.6,1.8,1.0,0.5,0.0,0.6,1.1,1.7
Epiphanny Prince,NYL,G,24,23,28.6,5.7,12.1,0.467,1.1,3.0,0.356,4.6,9.1,0.505,2.6,2.9,0.9,0.8,2.9,3.4,2.0,0.2,1.6,1.3,15.0
LaToya Sanders,WAS,F-C,23,0,18.1,2.0,4.9,0.402,0.0,0.0,,2.0,4.9,0.402,1.1,1.5,0.765,2.0,5.7,0.9,0.9,2.1,0.8,2.6,5.0
Allie Quigley,CHI,G,32,7,22.5,4.4,10.2,0.431,1.1,3.3,0.34,3.3,6.8,0.475,1.2,1.4,0.826,0.3,1.8,1.7,0.4,0.5,1.4,1.3,11.1
Noelle Quinn,PHO,G,34,1,18.6,1.6,3.8,0.422,0.4,1.1,0.324,1.2,2.7,0.462,0.6,0.7,0.792,0.2,2.6,1.9,0.4,0.3,0.9,1.4,4.1
Danielle Robinson,SAS,G,30,30,30.1,3.5,9.0,0.39,0.0,0.2,0.0,3.5,8.8,0.398,2.2,2.4,0.903,0.5,2.5,5.0,0.7,0.1,2.6,1.2,9.2
Sugar Rodgers,NYL,G,33,5,18.7,2.5,7.5,0.34,1.2,3.9,0.32,1.3,3.6,0.361,1.8,2.0,0.881,0.7,2.2,1.5,0.7,0.2,1.0,2.1,8.1
Tierra Ruffin-Pratt,WAS,G,32,31,23.9,2.5,6.7,0.371,0.4,1.3,0.326,2.0,5.3,0.382,2.1,2.7,0.759,0.8,3.0,2.1,0.8,0.3,1.3,2.6,7.4
Shoni Schimmel,ATL,G,32,16,19.8,2.7,7.0,0.378,1.5,4.0,0.383,1.1,3.0,0.371,0.8,0.9,0.857,0.4,2.5,3.2,0.8,0.2,2.4,1.1,7.6
Odyssey Sims,TUL,G,23,19,31.4,5.0,13.4,0.369,0.8,3.8,0.207,4.2,9.7,0.432,5.3,6.3,0.847,0.7,3.4,3.8,1.1,0.0,2.8,2.4,16.0
Michelle Snow,LAS,C,2,0,13.0,1.5,3.5,0.429,0.0,0.0,,1.5,3.5,0.429,0.0,1.0,0.0,0.0,1.5,0.0,0.0,0.5,2.0,2.0,3.0
Kiah Stokes,NYL,C,34,6,25.4,2.4,4.4,0.547,0.0,0.1,0.0,2.4,4.4,0.554,1.0,1.4,0.688,1.8,6.4,0.8,0.7,2.0,1.1,2.2,5.8
Shekinna Stricklen,CON,F,34,0,17.6,2.8,6.8,0.411,1.5,4.2,0.359,1.3,2.6,0.494,0.6,0.8,0.786,0.7,1.9,0.6,0.6,0.2,0.6,1.4,7.7
Carolyn Swords,NYL,C,34,22,15.0,2.0,3.9,0.508,0.0,0.0,,2.0,3.9,0.508,1.1,1.4,0.809,1.5,4.0,0.6,0.5,0.6,1.1,2.8,5.1
Alyssa Thomas,CON,F,24,23,26.0,2.9,7.0,0.411,0.0,0.0,,2.9,7.0,0.411,3.0,4.3,0.692,2.5,5.3,1.4,1.2,0.2,1.8,2.7,8.8
