Player,Team,Pos,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Matee Ajavon,WAS,G,34,4,17.3,2.5,7.4,0.336,0.8,2.4,0.341,1.7,5.0,0.333,2.2,3.2,0.673,0.8,1.9,1.1,1.1,0.1,1.5,2.5,8.0
Nicky Anosike,MIN,F-C,30,29,29.9,4.3,8.8,0.491,0.0,0.1,0.25,4.3,8.7,0.494,4.5,6.5,0.696,2.4,7.4,2.7,2.7,0.9,2.0,2.9,13.2
La'Tangela Atkinson,SEA,G-F,2,1,23.0,1.0,4.0,0.25,0.0,0.5,0.0,1.0,3.5,0.286,0.5,1.0,0.5,3.0,9.0,2.5,5.0,0.5,2.0,2.5,2.5
Seimone Augustus*,MIN,G-F,6,6,29.7,8.2,14.3,0.57,1.5,2.3,0.643,6.7,12.0,0.556,3.2,3.5,0.905,0.7,4.2,1.5,2.0,0.5,2.2,0.8,21.0
Sherill Baker,DET,G,1,0,11.0,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0
Mistie Bass,CHI,F,8,5,15.8,2.5,4.9,0.513,0.0,0.3,0.0,2.5,4.6,0.541,1.1,2.0,0.563,1.5,3.4,0.4,0.6,0.4,0.5,1.5,6.1
Suzy Batkovic-Brown,SEA,C,20,0,7.4,1.1,2.2,0.488,0.2,0.6,0.273,0.9,1.6,0.563,0.1,0.4,0.25,0.5,1.5,0.2,0.3,0.3,1.2,1.5,2.4
Ashley Battle,NYL,F,34,3,16.1,1.9,4.4,0.426,0.6,1.4,0.413,1.3,3.0,0.431,0.9,1.4,0.696,0.5,2.5,1.2,0.9,0.1,1.5,1.4,5.2
Alana Beard,WAS,G-F,31,30,31.8,6.1,14.1,0.429,1.0,3.5,0.299,5.0,10.7,0.471,2.7,3.7,0.737,0.6,4.0,2.2,2.3,0.6,3.2,3.1,15.9
Tully Bevilaqua,IND,G,34,32,25.3,2.0,5.3,0.376,1.1,3.1,0.346,0.9,2.2,0.419,1.1,1.6,0.667,0.4,2.3,2.9,1.8,0.2,1.4,2.2,6.1
Sue Bird,SEA,G,31,31,35.5,5.0,12.2,0.408,1.7,4.8,0.36,3.2,7.3,0.441,1.1,1.3,0.854,0.4,2.5,5.8,1.5,0.1,2.6,1.6,12.8
Chante Black,CON,C,33,8,13.0,1.1,2.8,0.38,0.0,0.0,0.0,1.1,2.8,0.385,0.8,1.3,0.628,1.2,3.2,0.2,0.4,0.8,0.8,1.6,2.9
Nikki Blue,WAS,G,16,0,5.7,0.4,1.5,0.292,0.2,0.6,0.333,0.3,0.9,0.267,0.4,0.6,0.7,0.1,0.6,0.8,0.4,0.0,0.8,0.8,1.5
Shannon Bobbitt,LAS,G,33,3,10.7,0.8,2.6,0.306,0.2,1.1,0.216,0.5,1.5,0.375,0.3,0.4,0.846,0.3,1.0,1.4,0.5,0.0,0.8,1.0,2.2
Whitney Boddie,SAC,G,4,0,2.3,0.3,0.3,1.0,0.0,0.0,,0.3,0.3,1.0,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.5
DeWanna Bonner,PHO,F-G,34,0,21.3,3.7,8.2,0.457,0.1,0.4,0.154,3.7,7.8,0.472,3.7,4.5,0.812,2.1,5.8,0.4,0.7,0.7,1.0,2.1,11.2
Kara Braxton,DET,C-F,28,2,18.0,3.8,7.2,0.527,0.0,0.0,,3.8,7.2,0.527,1.4,2.2,0.645,2.4,6.0,1.5,0.7,0.6,1.8,2.8,9.0
Kiesha Brown,CON,G,34,0,11.6,1.4,3.6,0.382,0.5,1.6,0.333,0.9,2.0,0.42,0.5,0.6,0.818,0.3,1.6,1.1,0.4,0.1,0.9,1.0,3.8
Rebekkah Brunson,SAC,F,27,17,24.6,4.6,9.4,0.486,0.0,0.0,0.0,4.6,9.4,0.488,3.1,3.9,0.783,2.5,7.0,0.3,1.5,0.6,1.7,2.1,12.3
Janell Burse,SEA,C,34,8,15.9,2.2,4.3,0.51,0.0,0.0,,2.2,4.3,0.51,1.7,2.4,0.738,0.9,3.1,0.3,0.6,0.9,1.0,2.1,6.1
Dominique Canty,CHI,G,34,34,22.8,2.2,5.7,0.381,0.1,0.3,0.364,2.1,5.4,0.383,2.4,3.5,0.689,0.5,1.9,3.2,0.8,0.1,1.7,2.8,6.9
Essence Carson,NYL,G,34,34,25.3,3.9,9.4,0.408,1.0,3.0,0.333,2.9,6.4,0.443,1.3,1.4,0.917,0.7,2.1,1.4,1.1,0.3,1.6,2.2,10.0
Swin Cash*,SEA,F,32,29,34.2,4.3,11.1,0.392,0.3,1.0,0.323,4.0,10.1,0.398,3.2,4.0,0.797,1.9,6.7,2.6,0.9,0.5,2.8,3.1,12.2
Iziane Castro Marques,ATL,F-G,34,33,26.9,5.4,13.1,0.413,1.4,4.2,0.345,4.0,8.9,0.446,2.1,2.7,0.78,0.6,2.2,2.0,1.1,0.1,2.4,2.2,14.4
Tamika Catchings*,IND,F,34,34,31.9,4.6,12.0,0.386,1.2,3.6,0.328,3.4,8.4,0.411,4.6,5.3,0.873,2.5,7.2,3.1,2.9,0.5,2.6,2.7,15.1
Shameka Christon,NYL,G,32,31,31.7,4.8,12.0,0.402,2.4,6.4,0.382,2.4,5.6,0.425,4.0,4.6,0.865,0.9,4.9,1.8,0.9,0.8,1.8,3.2,16.1
Kristi Cirone,CON,G,4,0,5.8,0.5,1.3,0.4,0.3,0.8,0.333,0.3,0.5,0.5,0.5,0.8,0.667,0.0,1.3,1.0,0.5,0.0,0.0,0.8,1.8
