Player,Team,Pos,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,MIN,F,22,0,15.1,2.1,4.1,0.516,0.0,0.1,0.0,2.1,4.0,0.528,1.0,1.2,0.815,1.1,4.1,1.7,0.4,0.3,1.0,1.6,5.3
Julie Allemand,CHI,G,25,4,16.1,1.0,2.4,0.417,0.4,1.2,0.29,0.6,1.2,0.552,0.6,0.7,0.833,0.4,1.6,3.4,0.6,0.1,1.3,0.9,3.0
Lindsay Allen,MIN,G,9,0,14.9,2.2,4.2,0.526,0.9,1.6,0.571,1.3,2.7,0.5,1.3,1.4,0.923,0.0,1.6,3.4,0.2,0.0,0.8,1.2,6.7
Rebecca Allen,NYL,F-G,25,19,20.9,2.6,6.8,0.379,1.0,3.3,0.313,1.5,3.4,0.442,0.8,1.0,0.833,0.3,3.4,1.2,0.8,1.0,1.0,1.9,7.0
Yvonne Anderson,CON,G,11,0,9.2,1.1,2.4,0.462,0.4,0.9,0.4,0.7,1.5,0.5,0.6,0.6,1.0,0.3,0.8,1.1,0.3,0.2,1.0,1.3,3.2
Kristine Anigwe,PHO,F-C,10,1,6.5,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.3,0.2,0.1,0.2,0.6,1.2,1.5
Ariel Atkins,WAS,G,36,36,30.0,5.1,12.2,0.42,1.9,5.3,0.365,3.2,6.9,0.464,2.4,2.9,0.845,0.9,3.3,2.3,1.3,0.3,1.4,2.8,14.6
Amy Atwell,LAS,F,4,1,8.0,0.3,2.3,0.111,0.3,1.5,0.167,0.0,0.8,0.0,0.0,0.0,,0.3,0.5,0.5,0.0,0.0,0.5,0.3,0.8
Shakira Austin,WAS,C-F,36,32,21.6,3.4,6.2,0.547,0.0,0.0,0.0,3.4,6.2,0.55,1.9,3.0,0.624,1.8,6.4,0.9,0.8,0.8,1.5,2.3,8.7
Rachel Banham,MIN,G,36,5,17.5,2.8,6.5,0.43,1.6,4.1,0.383,1.2,2.4,0.512,0.7,0.8,0.8,0.1,1.3,2.3,0.3,0.1,1.3,1.7,7.9
Kierstan Bell,LVA,F,21,1,5.8,0.5,1.6,0.303,0.1,1.0,0.136,0.3,0.5,0.636,0.2,0.2,1.0,0.2,0.9,0.3,0.1,0.1,0.2,0.5,1.3
Katie Benzan,WAS,G,3,0,9.0,1.7,3.0,0.556,1.7,2.3,0.714,0.0,0.7,0.0,1.0,1.3,0.75,0.3,0.7,0.3,0.0,0.3,0.7,2.3,6.0
Monique Billings,ATL,F,23,8,17.4,2.4,5.1,0.47,0.0,0.0,0.0,2.4,5.0,0.474,1.7,2.2,0.765,2.0,6.3,1.1,0.8,0.3,1.3,2.3,6.5
Sue Bird,SEA,G,31,31,26.4,2.7,6.8,0.403,1.8,4.6,0.389,0.9,2.2,0.433,0.5,0.5,1.0,0.2,1.9,6.0,1.2,0.1,1.9,0.7,7.8
DeWanna Bonner,CON,F-G,33,33,30.0,4.7,10.8,0.439,1.4,4.2,0.329,3.3,6.5,0.512,2.6,3.2,0.827,0.8,4.7,2.8,1.2,0.3,1.6,1.8,13.5
Lexie Brown,LAS,G,34,16,25.0,2.7,6.2,0.441,1.6,3.9,0.398,1.2,2.3,0.513,0.1,0.2,0.667,0.2,2.3,2.1,1.0,0.2,0.8,1.3,7.1
Kennedy Burke,WAS,G-F,16,4,13.9,2.1,4.6,0.446,0.7,2.0,0.344,1.4,2.6,0.524,0.6,1.1,0.588,0.5,2.2,0.4,1.0,0.3,0.5,1.1,5.4
Rae Burrell,LAS,G-F,3,1,14.7,0.3,3.0,0.111,0.3,2.0,0.167,0.0,1.0,0.0,0.7,0.7,1.0,0.3,1.0,0.3,0.7,0.0,0.3,1.3,1.7
Veronica Burton,DAL,G,36,6,15.2,0.7,2.1,0.329,0.3,1.2,0.279,0.4,0.9,0.394,0.9,0.9,1.0,0.5,1.5,1.9,0.9,0.3,1.0,1.4,2.6
Maya Caldwell,ATL,G,9,7,23.8,4.2,8.2,0.514,2.0,3.6,0.563,2.2,4.7,0.476,0.4,0.6,0.8,0.6,2.4,2.2,0.8,0.2,1.6,1.7,10.9
Liz Cambage,LAS,C,25,24,23.4,4.7,9.2,0.509,0.2,0.6,0.286,4.5,8.6,0.523,3.5,4.4,0.784,1.3,6.4,2.1,0.6,1.6,2.3,3.2,13.0
Jordin Canada,LAS,G,32,25,27.0,3.3,8.5,0.384,0.2,1.6,0.14,3.0,6.9,0.439,2.5,3.1,0.806,0.2,2.3,5.5,1.4,0.2,2.3,1.8,9.2
Bridget Carleton,MIN,F,36,2,16.8,1.5,3.8,0.4,0.8,2.3,0.349,0.7,1.4,0.481,0.5,0.7,0.731,0.3,2.1,1.1,0.4,0.1,0.6,1.6,4.3
DiJonai Carrington,CON,G-F,36,2,17.5,2.3,5.6,0.414,0.5,1.7,0.306,1.8,3.9,0.461,1.6,2.1,0.75,1.1,3.1,1.1,0.8,0.1,1.6,1.9,6.8
Chennedy Carter,LAS,G,24,2,16.4,3.5,7.9,0.45,0.1,0.4,0.2,3.5,7.5,0.464,1.7,2.3,0.745,0.4,1.9,1.9,0.6,0.4,1.8,2.2,8.9
Kaila Charles,ATL,G-F,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alysha Clark,WAS,F,29,29,26.4,3.1,6.8,0.464,1.0,3.4,0.303,2.1,3.3,0.629,0.7,0.8,0.913,0.8,4.5,2.0,1.0,0.3,1.3,1.9,8.0
Natasha Cloud,WAS,G,34,34,31.3,3.6,9.1,0.399,1.3,4.0,0.319,2.4,5.1,0.462,2.2,2.7,0.824,0.5,3.6,7.0,1.0,0.3,2.8,1.6,10.7
Nia Clouden,CON,G,28,0,8.9,0.6,1.9,0.34,0.4,1.0,0.414,0.2,0.9,0.25,0.4,0.6,0.588,0.1,0.8,0.8,0.2,0.0,0.4,0.9,2.1
Alaina Coates,IND,C,8,0,9.4,0.9,1.4,0.636,0.0,0.0,,0.9,1.4,0.636,1.8,1.9,0.933,0.8,2.0,0.3,0.3,0.4,0.6,2.3,3.5
Nia Coffey,ATL,F,16,16,21.0,2.2,6.3,0.347,0.6,1.9,0.29,1.6,4.4,0.371,1.4,1.9,0.742,0.4,5.2,0.8,0.6,0.1,2.2,2.2,6.4
