Player,Team,Pos,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,IND,F,34,34,26.0,4.0,7.6,0.527,0.0,0.0,,4.0,7.6,0.527,2.2,2.8,0.8,2.5,6.9,1.4,0.9,0.7,1.1,3.1,10.3
Kayla Alexander,IND,C,30,0,8.6,1.1,2.0,0.541,0.0,0.0,,1.1,2.0,0.541,0.5,0.6,0.824,0.7,2.2,0.2,0.1,0.3,0.6,1.2,2.7
Lindsay Allen,LVA,G,24,6,14.9,1.2,3.0,0.384,0.0,0.7,0.063,1.1,2.4,0.474,0.7,1.0,0.708,0.1,1.3,2.9,0.6,0.0,0.9,0.7,3.1
Rebecca Allen,NYL,F-G,28,0,10.4,1.4,3.6,0.376,0.4,1.4,0.263,1.0,2.3,0.444,0.8,0.9,0.84,0.5,1.7,0.3,0.3,0.4,0.6,1.3,3.8
Ariel Atkins,WAS,G,29,24,22.5,4.1,9.6,0.432,1.6,4.3,0.357,2.6,5.2,0.493,1.4,1.8,0.824,1.0,2.4,2.1,1.3,0.3,1.3,2.5,11.3
Seimone Augustus*,MIN,G-F,33,33,26.2,4.7,10.1,0.467,0.6,2.0,0.318,4.1,8.1,0.504,0.7,1.0,0.706,0.2,1.8,2.6,0.4,0.2,1.2,1.0,10.8
Rachel Banham,CON,G,33,5,12.8,1.7,4.0,0.414,0.9,2.5,0.37,0.8,1.6,0.481,1.0,1.2,0.868,0.2,0.9,1.5,0.5,0.1,0.5,1.7,5.2
Alana Beard,LAS,G-F,30,30,25.5,1.7,4.3,0.392,0.1,0.2,0.4,1.6,4.2,0.392,0.6,0.7,0.81,1.2,3.3,1.7,1.5,0.2,0.7,2.4,4.0
Hind Ben Abdelkader,IND,G,14,0,10.1,0.6,3.1,0.186,0.4,2.1,0.207,0.1,1.0,0.143,0.5,0.6,0.875,0.1,1.0,0.8,0.3,0.1,0.9,0.7,2.1
Monique Billings,ATL,F,32,0,11.0,1.3,2.9,0.441,0.0,0.0,,1.3,2.9,0.441,0.8,1.0,0.75,1.2,2.8,0.4,0.4,0.0,0.4,1.2,3.3
Sue Bird,SEA,G,31,31,26.6,3.7,8.0,0.466,1.9,4.3,0.448,1.8,3.6,0.487,0.8,0.9,0.828,0.2,1.7,7.1,1.1,0.1,1.9,1.2,10.1
Kelsey Bone,LVA,C,32,10,10.8,1.3,2.5,0.5,0.0,0.0,,1.3,2.5,0.5,0.3,0.6,0.5,0.6,2.2,1.2,0.1,0.1,0.9,1.9,2.8
