Player,Team,Pos,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,MIN,F,34,2,21.2,2.9,7.1,0.411,0.7,1.9,0.369,2.2,5.2,0.426,1.2,1.8,0.661,1.3,3.1,1.6,1.0,0.0,1.8,1.9,7.7
Chantelle Anderson,SAS,C,23,20,18.0,2.6,4.9,0.527,0.0,0.0,,2.6,4.9,0.527,1.5,2.0,0.778,1.2,3.7,0.7,0.3,0.4,1.3,3.2,6.7
La'Tangela Atkinson,IND,G-F,33,1,12.7,1.2,2.6,0.437,0.2,0.5,0.294,1.0,2.1,0.471,0.5,1.2,0.462,0.8,2.3,0.7,0.5,0.2,1.0,0.9,3.0
Seimone Augustus*,MIN,G-F,34,34,33.1,8.3,18.2,0.456,0.9,2.5,0.353,7.4,15.7,0.473,4.4,4.9,0.897,0.4,3.8,1.5,0.6,0.5,2.1,1.7,21.9
Sherill Baker,NYL,G,34,16,18.1,2.9,7.4,0.386,0.3,1.0,0.273,2.6,6.4,0.404,1.4,1.6,0.857,0.7,1.6,1.0,1.4,0.0,1.5,2.0,7.4
Mistie Bass,HOU,F,27,6,10.1,1.3,2.4,0.531,0.0,0.0,,1.3,2.4,0.531,0.4,1.3,0.324,1.1,2.4,0.6,0.4,0.1,0.4,1.2,2.9
Jacqueline Batteast,DET,F,26,1,6.7,0.6,2.1,0.278,0.1,0.5,0.143,0.5,1.5,0.325,0.2,0.3,0.571,0.5,1.0,0.3,0.1,0.1,0.2,0.8,1.4
Ashley Battle,NYL,F,33,2,13.8,1.6,4.3,0.383,0.5,1.4,0.326,1.2,2.9,0.411,0.6,0.8,0.8,0.4,1.9,0.9,0.9,0.1,1.2,1.0,4.3
Alana Beard,WAS,G-F,32,32,31.3,7.3,14.7,0.495,1.2,3.2,0.363,6.1,11.5,0.531,3.5,4.7,0.758,0.7,4.7,3.1,1.8,0.8,2.8,2.9,19.2
Tully Bevilaqua,IND,G,34,34,29.7,2.2,5.4,0.411,1.0,3.1,0.311,1.3,2.3,0.544,1.1,1.6,0.717,0.3,2.3,2.3,2.1,0.0,1.6,2.1,6.6
Agnieszka Bibrzycka,SAS,G-F,32,22,23.5,4.1,9.7,0.418,1.7,4.9,0.35,2.3,4.8,0.487,1.4,1.7,0.868,0.3,2.1,1.5,0.8,0.4,1.5,1.5,11.3
Sue Bird,SEA,G,34,34,31.4,4.0,9.8,0.411,1.6,4.5,0.366,2.4,5.3,0.45,1.7,2.0,0.868,0.7,3.0,4.8,1.8,0.1,2.6,1.8,11.4
Nikki Blue,WAS,G,24,0,7.5,0.6,2.3,0.259,0.0,0.5,0.083,0.5,1.8,0.31,1.0,1.3,0.806,0.3,0.8,1.5,0.8,0.0,0.8,1.5,2.3
