Player,Team,Pos,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,MIN,F,31,31,25.1,3.5,8.9,0.395,1.1,2.6,0.402,2.5,6.3,0.392,1.7,2.4,0.726,0.9,3.5,1.9,1.5,0.2,2.6,2.8,9.8
Mactabene Amachree,WAS,F,3,0,1.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.7,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Chantelle Anderson,SAS,C,34,19,19.7,2.4,5.2,0.466,0.0,0.0,,2.4,5.2,0.466,1.1,1.4,0.804,0.8,2.6,0.3,0.2,0.4,1.6,3.1,6.0
Janeth Arcain,HOU,G,34,34,31.7,3.8,8.9,0.421,0.1,0.5,0.188,3.7,8.5,0.434,2.4,2.8,0.883,0.6,2.7,1.6,1.6,0.2,1.6,2.5,10.1
Elena Baranova,NYL,F,33,33,28.9,3.2,7.2,0.441,1.0,2.6,0.388,2.2,4.6,0.47,1.4,1.7,0.855,1.2,6.9,1.8,0.8,1.4,1.8,2.4,8.7
Suzy Batkovic-Brown,SEA,C,29,0,15.9,2.6,6.0,0.437,0.1,0.2,0.286,2.6,5.8,0.443,1.6,2.0,0.776,0.9,3.2,0.9,0.6,0.8,1.1,2.9,6.9
Jacqueline Batteast,MIN,F,8,0,5.8,0.0,0.8,0.0,0.0,0.0,,0.0,0.8,0.0,0.0,0.0,,0.0,0.6,0.4,0.0,0.1,0.4,0.5,0.0
Ashley Battle,SEA,F,2,0,4.0,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0
Alana Beard,WAS,G-F,30,30,33.8,5.2,13.6,0.38,1.1,3.4,0.317,4.1,10.2,0.401,2.7,3.5,0.762,0.8,4.3,3.0,1.5,0.3,2.1,2.9,14.1
Jenni Benningfield,IND,F,10,0,5.2,0.3,0.8,0.375,0.0,0.2,0.0,0.3,0.6,0.5,0.3,0.4,0.75,0.3,0.6,0.4,0.1,0.1,0.4,0.5,0.9
Tully Bevilaqua,IND,G,31,31,28.2,2.0,5.2,0.389,1.4,3.7,0.379,0.6,1.5,0.413,0.8,1.4,0.545,0.4,2.0,2.6,1.9,0.0,1.6,2.2,6.3
Sue Bird,SEA,G,30,30,34.0,4.3,9.8,0.442,1.5,3.4,0.437,2.8,6.4,0.445,2.0,2.3,0.855,0.7,2.4,5.9,1.0,0.2,2.9,1.5,12.1
Kara Braxton,DET,C-F,33,2,13.8,2.9,6.4,0.462,0.0,0.0,0.0,2.9,6.3,0.464,1.0,1.8,0.55,1.3,3.0,0.4,0.5,0.4,1.6,2.4,6.9
Coretta Brown,IND,G,6,0,3.8,0.3,0.8,0.4,0.3,0.8,0.4,0.0,0.0,,0.0,0.0,,0.0,0.3,0.5,0.2,0.0,0.5,0.2,1.0
Jessica Brungo,CON,F,12,0,4.0,0.1,0.8,0.111,0.0,0.3,0.0,0.1,0.4,0.2,0.0,0.0,,0.1,0.5,0.2,0.0,0.0,0.2,0.3,0.2
Rebekkah Brunson,SAC,F,34,16,21.2,3.1,7.2,0.427,0.0,0.0,,3.1,7.2,0.427,1.6,2.7,0.598,2.2,5.5,0.5,0.8,0.4,1.2,1.8,7.8
Janell Burse,SEA,C,34,34,25.3,3.7,7.1,0.523,0.0,0.0,,3.7,7.1,0.523,2.5,3.6,0.699,2.4,5.9,0.7,0.6,1.2,2.3,4.1,10.0
Edna Campbell,SAS,G,28,2,8.9,0.8,2.4,0.313,0.2,0.7,0.263,0.6,1.7,0.333,0.0,0.0,1.0,0.1,0.5,0.5,0.3,0.0,0.5,0.7,1.7
Dominique Canty,HOU,G,33,32,30.2,2.9,7.2,0.399,0.0,0.1,0.0,2.9,7.1,0.406,2.4,3.3,0.727,0.8,3.3,3.1,0.9,0.1,2.0,2.3,8.2
Jamie Carey,CON,G,15,0,5.7,0.5,1.3,0.368,0.3,0.9,0.308,0.2,0.4,0.5,0.0,0.0,,0.1,0.4,0.5,0.1,0.0,0.3,0.6,1.2
Amisha Carter,NYL,F,3,0,4.3,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,,0.0,0.7,0.0,0.0,0.0,0.3,1.3,0.0
Swin Cash*,DET,F,21,21,21.8,2.3,6.0,0.381,0.1,0.5,0.2,2.2,5.5,0.397,1.0,1.5,0.656,2.0,4.2,2.0,0.6,0.3,2.2,2.1,5.7
Iziane Castro Marques,SEA,F-G,33,32,26.6,2.8,7.3,0.384,0.7,2.2,0.333,2.1,5.2,0.406,1.8,2.2,0.808,0.7,2.9,1.5,0.5,0.1,1.8,2.2,8.2
