Player,Team,Pos,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,MIN,F,21,1,12.0,1.2,2.9,0.426,0.0,0.0,0.0,1.2,2.9,0.433,1.2,1.3,0.893,0.6,2.1,1.2,0.6,0.2,0.6,1.6,3.7
Bella Alarie,DAL,C-F,31,11,13.1,1.0,2.1,0.5,0.0,0.1,0.0,1.0,2.0,0.516,0.5,0.6,0.85,1.4,3.3,0.5,0.6,0.6,0.6,1.4,2.6
Lindsay Allen,IND,G,32,8,17.8,2.0,4.8,0.428,0.4,1.5,0.298,1.6,3.3,0.486,0.9,1.2,0.811,0.3,1.5,3.0,0.5,0.1,1.0,1.1,5.4
Rebecca Allen,NYL,F-G,25,13,24.6,3.0,8.6,0.343,1.9,5.0,0.381,1.0,3.6,0.289,1.3,1.5,0.892,0.8,3.7,1.1,1.6,1.2,0.8,2.2,9.2
Jillian Alleyne,WAS,C-F,2,0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.5,2.0,0.0,0.5,0.0,0.0,0.0,0.0
Ariel Atkins,WAS,G,30,30,30.6,5.4,13.2,0.407,2.2,6.1,0.359,3.2,7.1,0.448,3.3,3.9,0.831,1.1,2.8,2.6,1.6,0.5,2.0,3.2,16.2
Rachel Banham,MIN,G,27,0,12.6,1.9,4.8,0.395,1.0,2.8,0.373,0.9,2.0,0.426,0.2,0.3,0.625,0.1,1.2,1.6,0.3,0.1,0.9,1.7,5.0
Monique Billings,ATL,F,31,9,23.9,3.2,6.5,0.495,0.0,0.1,0.0,3.2,6.5,0.5,1.7,2.5,0.675,2.8,6.5,1.0,1.2,1.0,1.4,2.5,8.1
Sue Bird,SEA,G,30,30,27.7,3.5,8.2,0.431,2.2,5.3,0.419,1.3,2.9,0.453,0.7,0.8,0.833,0.3,2.6,5.3,0.9,0.1,1.6,1.0,10.0
DeWanna Bonner,CON,F-G,32,32,31.9,5.0,12.6,0.395,1.4,4.3,0.317,3.6,8.3,0.436,3.9,4.3,0.892,0.7,6.4,3.5,1.3,0.7,2.2,1.6,15.2
Brittany Boyd,CHI,G,2,0,11.0,0.5,2.0,0.25,0.5,1.0,0.5,0.0,1.0,0.0,0.5,1.0,0.5,0.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0
Crystal Bradford,ATL,F,24,9,18.3,3.4,8.0,0.429,1.2,3.4,0.358,2.2,4.6,0.482,0.8,1.6,0.462,1.3,3.8,1.5,1.2,0.4,1.0,2.3,8.8
Jessica Breland,IND,F,26,18,20.9,2.6,6.9,0.372,0.2,0.6,0.313,2.4,6.3,0.378,0.5,0.7,0.684,1.4,6.3,2.0,0.6,1.5,1.8,2.0,5.8
Kalani Brown,ATL,C,1,0,5.0,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Lexie Brown,CHI,G,17,0,9.5,0.6,2.2,0.263,0.5,1.9,0.242,0.1,0.3,0.4,0.0,0.0,,0.0,0.7,1.1,0.4,0.0,0.5,0.6,1.6
Kennedy Burke,SEA,G-F,23,0,7.7,1.1,2.4,0.446,0.3,0.8,0.333,0.8,1.7,0.5,0.4,0.7,0.625,0.3,0.8,0.3,0.3,0.1,0.5,0.6,2.9
Liz Cambage,LVA,C,25,24,23.8,5.6,10.3,0.543,0.2,0.6,0.357,5.4,9.8,0.553,2.8,4.0,0.71,1.6,8.2,1.3,0.9,1.6,1.8,3.0,14.2
Jordin Canada,SEA,G,29,3,18.7,1.9,5.0,0.389,0.1,0.5,0.214,1.8,4.5,0.408,1.8,2.2,0.841,0.6,2.3,3.0,0.7,0.1,1.1,1.0,5.8
Bridget Carleton,MIN,F,32,10,19.3,1.7,4.3,0.401,0.8,2.3,0.365,0.9,2.0,0.444,0.5,0.6,0.8,0.7,2.3,1.5,0.8,0.2,0.8,1.5,4.8
DiJonai Carrington,CON,G-F,24,1,9.2,1.1,3.4,0.329,0.1,0.9,0.143,1.0,2.5,0.393,0.5,0.6,0.733,0.6,2.0,0.5,0.5,0.1,0.9,1.5,2.8
Chennedy Carter,ATL,G,11,11,25.5,5.5,12.0,0.455,0.1,0.8,0.111,5.4,11.2,0.48,3.2,3.6,0.875,0.5,1.3,3.3,0.7,0.4,2.1,3.0,14.2
