Player,Team,Pos,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,IND,F,24,0,8.1,1.5,2.8,0.545,0.0,0.0,,1.5,2.8,0.545,0.6,0.8,0.7,0.7,2.0,0.3,0.4,0.0,0.5,1.1,3.6
Matee Ajavon,ATL,G,32,2,10.6,1.1,3.7,0.305,0.1,0.4,0.231,1.0,3.3,0.314,0.9,1.3,0.75,0.6,1.6,1.2,0.4,0.3,1.0,1.6,3.3
Kayla Alexander,SAS,C,25,0,19.6,3.1,5.6,0.546,0.0,0.0,,3.1,5.6,0.546,1.8,2.4,0.754,1.9,4.5,0.5,0.4,0.5,1.1,2.2,8.0
Rebecca Allen,NYL,F-G,21,6,13.3,2.1,4.7,0.459,0.8,1.4,0.567,1.3,3.2,0.412,0.6,0.7,0.867,0.6,1.7,0.5,0.4,0.5,0.6,1.7,5.7
Ameryst Alston,NYL,G,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jayne Appel-Marinelli,SAS,C,34,34,23.1,1.5,3.5,0.429,0.0,0.1,0.0,1.5,3.4,0.443,1.1,1.4,0.735,1.2,5.4,2.1,0.9,1.0,1.6,3.3,4.1
Seimone Augustus*,MIN,G-F,29,29,26.4,4.8,10.3,0.46,0.4,1.3,0.333,4.3,9.0,0.479,1.3,1.6,0.804,0.5,2.9,2.4,0.5,0.4,1.9,1.5,11.2
Rachel Banham,CON,G,15,0,10.9,1.3,3.3,0.408,0.9,2.5,0.351,0.5,0.8,0.583,0.1,0.2,0.667,0.1,0.7,0.9,0.5,0.1,0.5,1.3,3.7
Mistie Bass,PHO,F,33,1,13.2,1.1,2.4,0.463,0.0,0.0,,1.1,2.4,0.463,0.7,0.8,0.815,0.8,1.9,0.8,0.5,0.3,0.6,1.5,2.9
Vicki Baugh,SAS,F-C,11,0,13.5,1.7,3.0,0.576,0.0,0.0,,1.7,3.0,0.576,0.5,0.8,0.667,1.5,3.7,0.3,0.4,0.3,1.3,2.3,4.0
Alana Beard,LAS,G-F,34,34,29.3,2.9,6.3,0.467,0.4,1.1,0.342,2.6,5.2,0.494,0.8,1.1,0.692,0.9,3.3,2.1,1.7,0.6,1.3,2.8,7.1
Evgeniya Belyakova,LAS,F,21,0,11.3,0.8,2.6,0.296,0.2,1.3,0.179,0.5,1.2,0.423,0.3,0.8,0.438,0.1,0.7,0.7,0.6,0.0,0.4,1.1,2.1
Alex Bentley,CON,G,34,34,28.8,5.0,12.9,0.385,1.4,4.9,0.286,3.6,8.0,0.446,1.5,1.9,0.785,0.3,1.9,2.5,0.9,0.1,1.4,2.5,12.9
Tiffany Bias,DAL,G,10,0,6.4,0.8,2.3,0.348,0.3,1.1,0.273,0.5,1.2,0.417,1.0,1.2,0.833,0.1,0.5,0.6,0.2,0.0,1.1,0.5,2.9
Sue Bird,SEA,G,34,34,31.6,4.7,10.5,0.449,2.1,4.8,0.444,2.6,5.7,0.454,1.3,1.6,0.786,0.2,2.9,5.8,1.0,0.2,2.5,1.4,12.8
